Unnamed: 0,CLE,BUF
First Downs,19,15
Rush-Yds-TDs,26-74-1,30-106-0
Cmp-Att-Yd-TD-INT,23-38-255-0-2,17-31-190-1-2
Sacked-Yards,2-14,1-9
Net Pass Yards,241,181
Total Yards,315,287
Fumbles-Lost,2-1,1-0
Turnovers,3,2
Penalties-Yards,10-76,6-45
Third Down Conv.,3-12,2-15
Fourth Down Conv.,0-1,2-2
Time of Possession,29:05,30:55
