Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
D'Andre Swift,DET,15,67,2,5,42,2.8,25,1.7,2,7.5
Adrian Peterson,DET,6,23,0,1,16,2.7,7,1.2,0,
Matthew Stafford,DET,2,12,0,1,12,6.0,0,0.0,0,
Jamal Agnew,DET,1,7,0,0,7,7.0,0,0.0,0,
Chase Daniel,DET,1,11,0,1,11,11.0,0,0.0,0,
T.J. Hockenson,DET,1,0,0,0,0,0.0,0,0.0,0,
C.J. Moore,DET,1,3,0,,3,3.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Derrick Henry,TEN,24,147,1,6,55,2.3,92,3.8,1,24.0
Darrynton Evans,TEN,8,30,0,2,15,1.9,15,1.9,0,
Ryan Tannehill,TEN,3,21,2,2,21,7.0,0,0.0,0,
Logan Woodside,TEN,3,-3,0,,-3,-1.0,0,0.0,0,
