Quarter,Time,Tm,Detail,DET,TEN
1.0,8:40,Titans,Derrick Henry 3 yard rush (Stephen Gostkowski kick),0,7
,1:34,Lions,Marvin Jones 2 yard pass from Matthew Stafford (Matt Prater kick),7,7
,1:22,Titans,Corey Davis 75 yard pass from Ryan Tannehill (Stephen Gostkowski kick),7,14
2.0,9:28,Titans,Ryan Tannehill 17 yard rush (Stephen Gostkowski kick),7,21
,3:31,Lions,"Safety, Ryan Tannehill sacked in end zone by Romeo Okwara",9,21
,1:02,Lions,D'Andre Swift 2 yard rush (Matt Prater kick failed),15,21
,0:00,Titans,Stephen Gostkowski 38 yard field goal,15,24
3.0,4:09,Lions,Matt Prater 53 yard field goal,18,24
4.0,14:30,Titans,Ryan Tannehill 3 yard rush (Derrick Henry run),18,32
,9:00,Titans,A.J. Brown 2 yard pass from Ryan Tannehill (Stephen Gostkowski kick),18,39
,6:23,Lions,D'Andre Swift 6 yard rush (Matt Prater kick),25,39
,2:07,Titans,Darrynton Evans 3 yard pass from Ryan Tannehill (Stephen Gostkowski kick),25,46
