Quarter,Time,Down,ToGo,Location,DET,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Lions won the coin toss and deferred, Titans to receive the opening kickoff.",,
1,15:00,,,DET 35,0,0,"Matt Prater kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,TEN 25,0,0,Derrick Henry left tackle for 2 yards (tackle by Romeo Okwara),0.610,0.330
1,14:26,2,8,TEN 27,0,0,Ryan Tannehill pass complete short right to Derrick Henry for 6 yards (tackle by Amani Oruwariye),0.330,0.430
1,13:50,3,2,TEN 33,0,0,Ryan Tannehill pass complete short right to A.J. Brown for 6 yards (tackle by Amani Oruwariye),0.430,1.530
1,13:13,1,10,TEN 39,0,0,Derrick Henry right tackle for -4 yards (tackle by Austin Bryant),1.530,0.450
1,12:37,2,14,TEN 35,0,0,Ryan Tannehill pass complete deep right to Jonnu Smith for 19 yards (tackle by Duron Harmon),0.450,2.520
1,11:56,1,10,DET 46,0,0,Derrick Henry left tackle for 4 yards (tackle by John Penisini),2.520,2.520
1,11:15,2,6,DET 42,0,0,Ryan Tannehill pass complete short left to A.J. Brown for 10 yards (tackle by Duron Harmon and Mike Ford),2.520,3.450
1,10:36,1,10,DET 32,0,0,Derrick Henry right guard for 5 yards (tackle by Christian Jones),3.450,3.580
1,10:10,2,5,DET 27,0,0,Ryan Tannehill pass complete short middle to MyCole Pruitt for 10 yards (tackle by Jayron Kearse and Jahlani Tavai),3.580,4.440
1,9:35,1,10,DET 17,0,0,Derrick Henry left guard for 9 yards (tackle by Frank Herron),4.440,5.480
1,9:04,2,1,DET 8,0,0,Derrick Henry up the middle for 5 yards (tackle by Kevin Strong and Duron Harmon),5.480,6.510
1,8:46,1,3,DET 3,0,6,"Derrick Henry left end for 3 yards, touchdown",6.510,7.000
1,8:40,,,DET 15,0,7,Stephen Gostkowski kicks extra point good,0.000,0.000
1,8:40,,,TEN 35,0,7,"Stephen Gostkowski kicks off 65 yards, touchback.",0.000,0.610
1,8:40,1,10,DET 25,0,7,Matthew Stafford pass complete short right to D'Andre Swift for no gain (tackle by Malcolm Butler),0.610,0.060
1,8:20,2,10,DET 25,0,7,Matthew Stafford pass complete short right to Marvin Jones for 6 yards (tackle by Malcolm Butler),0.060,0.170
1,8:01,3,4,DET 31,0,7,Matthew Stafford pass complete short left to Marvin Jones for 4 yards (tackle by Malcolm Butler),0.170,1.270
1,7:24,1,10,DET 35,0,7,D'Andre Swift right end for 7 yards (tackle by Malcolm Butler),1.270,1.670
1,6:49,2,3,DET 42,0,7,Matthew Stafford pass complete short right to Jamal Agnew for 13 yards (tackle by Jeffery Simmons and Rashaan Evans),1.670,2.590
1,6:11,1,10,TEN 45,0,7,D'Andre Swift left tackle for 3 yards (tackle by Amani Hooker and Harold Landry),2.590,2.450
1,5:30,2,7,TEN 42,0,7,Matthew Stafford pass incomplete short middle intended for Marvin Jones,2.450,1.750
1,5:26,3,7,TEN 42,0,7,Matthew Stafford pass complete short left to T.J. Hockenson for 11 yards (tackle by Amani Hooker),1.750,3.510
1,4:50,1,10,TEN 31,0,7,Matthew Stafford pass complete short right to Marvin Jones for 12 yards (tackle by Kevin Byard),3.510,4.310
1,4:13,1,10,TEN 19,0,7,Adrian Peterson right tackle for 7 yards (tackle by Jack Crawford),4.310,4.920
1,3:36,2,3,TEN 12,0,7,Adrian Peterson left guard for 8 yards (tackle by David Long and Kevin Byard),4.920,6.280
1,2:55,1,4,TEN 4,0,7,Adrian Peterson left guard for 3 yards (tackle by David Long and Harold Landry),6.280,5.910
1,2:18,2,1,TEN 1,0,7,Adrian Peterson left guard for -1 yards (tackle by Kevin Byard and David Long),5.910,4.950
1,1:38,3,2,TEN 2,6,7,"Matthew Stafford pass complete short middle to Marvin Jones for 2 yards, touchdown",4.950,7.000
1,1:34,,,TEN 15,7,7,Matt Prater kicks extra point good,0.000,0.000
1,1:34,,,DET 35,7,7,"Matt Prater kicks off 65 yards, touchback.",0.000,0.610
1,1:34,1,10,TEN 25,7,13,"Ryan Tannehill pass complete deep left to Corey Davis for 75 yards, touchdown",0.610,7.000
1,1:22,,,DET 15,7,14,Stephen Gostkowski kicks extra point good,0.000,0.000
1,1:22,,,TEN 35,7,14,"Stephen Gostkowski kicks off 66 yards, returned by Jamal Agnew for 32 yards (tackle by Kareem Orr and Joshua Kalu)",0.000,1.000
1,1:17,1,10,DET 31,7,14,Matthew Stafford pass complete short right to Marvin Jones for 6 yards (tackle by Desmond King),1.000,1.270
1,0:39,2,4,DET 37,7,14,Matthew Stafford pass incomplete deep left intended for T.J. Hockenson (defended by Kevin Byard),1.270,0.560
1,0:33,3,4,DET 37,7,14,Matthew Stafford pass complete short right to Mohamed Sanu for 5 yards (tackle by Tye Smith and David Long),0.560,1.730
Quarter,Time,Down,ToGo,Location,DET,TEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DET 42,7,14,Matthew Stafford pass complete short left to D'Andre Swift for 8 yards (tackle by Rashaan Evans and Desmond King),1.730,2.270
2,14:22,2,2,DET 50,7,14,D'Andre Swift up the middle for 3 yards (tackle by David Long and Rashaan Evans),2.270,2.460
2,13:41,1,10,TEN 47,7,14,D'Andre Swift left tackle for 4 yards (tackle by David Long),2.460,2.450
2,13:02,2,6,TEN 43,7,14,Matthew Stafford pass incomplete short right intended for T.J. Hockenson,2.450,1.750
2,12:56,3,6,TEN 43,7,14,Matthew Stafford pass incomplete short right,1.750,0.400
2,12:49,4,6,TEN 43,7,14,"Jack Fox punts 36 yards, fair catch by Cameron Batson at TEN-7",0.400,0.380
2,12:42,1,10,TEN 7,7,14,Derrick Henry left guard for 12 yards (tackle by Alexander Myres and Duron Harmon). Penalty on Austin Bryant: Defensive Offside (Declined),-0.380,0.150
2,12:26,1,10,TEN 19,7,14,Derrick Henry left tackle for 8 yards (tackle by Jayron Kearse and Jamie Collins),0.150,0.750
