Unnamed: 0,DET,TEN
First Downs,27,28
Rush-Yds-TDs,27-123-2,38-195-3
Cmp-Att-Yd-TD-INT,27-38-307-1-1,21-27-273-3-0
Sacked-Yards,0-0,1-5
Net Pass Yards,307,268
Total Yards,430,463
Fumbles-Lost,3-2,0-0
Turnovers,3,0
Penalties-Yards,3-33,3-22
Third Down Conv.,7-12,9-11
Fourth Down Conv.,0-1,0-0
Time of Possession,31:38,28:22
