Unnamed: 0,WAS,MIA
First Downs,21,16
Rush-Yds-TDs,32-129-1,32-144-2
Cmp-Att-Yd-TD-INT,16-34-157-1-1,13-23-192-1-2
Sacked-Yards,2-9,2-19
Net Pass Yards,148,173
Total Yards,277,317
Fumbles-Lost,1-1,1-1
Turnovers,2,3
Penalties-Yards,5-38,7-45
Third Down Conv.,6-14,4-11
Fourth Down Conv.,0-0,1-1
Time of Possession,34:10,25:50
