Quarter,Time,Tm,Detail,WAS,MIA
1.0,13:22,Dolphins,James McKnight 80 yard pass from Brian Griese (Olindo Mare kick),0,7
,8:37,Redskins,John Hall 28 yard field goal,3,7
,2:01,Redskins,John Hall 31 yard field goal,6,7
2.0,12:06,Redskins,Laveranues Coles 37 yard pass from Tim Hasselbeck (John Hall kick),13,7
,1:24,Redskins,Trung Canidate 2 yard rush (John Hall kick),20,7
,0:07,Dolphins,Olindo Mare 51 yard field goal,20,10
3.0,0:48,Redskins,John Hall 22 yard field goal,23,10
4.0,10:24,Dolphins,Ricky Williams 1 yard rush (Olindo Mare kick),23,17
,4:19,Dolphins,Ricky Williams 24 yard rush (Olindo Mare kick),23,24
