Quarter,Time,Down,ToGo,Location,WAS,MIA,Detail,EPB,EPA
1,8:42,4,10,MIA 10,3,7,John Hall 28 yard field goal good,2.760,3.000
1,,,,WAS 30,3,7,"John Hall kicks off 75 yards, touchback",0.000,0.280
1,8:37,1,10,MIA 20,3,7,Ricky Williams right guard for 1 yard (tackle by Ifeanyi Ohalete),0.280,-0.130
1,7:57,2,9,MIA 21,3,7,Brian Griese sacked by Bruce Smith and Renaldo Wynn for -9 yards,-0.130,-2.360
1,7:44,3,18,MIA 12,3,7,Ricky Williams right tackle for 4 yards (tackle by Jeremiah Trotter),-2.360,-2.390
1,7:14,4,14,MIA 16,3,7,"Matt Turk punts 40 yards, fair catch by Patrick Johnson",-2.390,-1.860
1,7:05,1,10,WAS 44,3,7,Tim Hasselbeck pass incomplete intended for Trung Canidate (defended by Tim Bowens),1.860,1.320
1,6:59,2,10,WAS 44,3,7,Tim Hasselbeck pass complete to Rod Gardner for 13 yards (tackle by Brock Marion),1.320,2.720
1,6:19,1,10,MIA 43,3,7,Chad Morton right guard for 9 yards (tackle by Sammy Knight),2.720,3.390
1,5:38,2,1,MIA 34,3,7,Tim Hasselbeck pass incomplete intended for Laveranues Coles,3.390,2.680
1,5:31,3,1,MIA 34,3,7,Trung Canidate right guard for 2 yards (tackle by Sammy Knight and Jason Taylor),2.680,3.450
1,4:48,1,10,MIA 32,3,7,Tim Hasselbeck pass complete to Trung Canidate for 5 yards (tackle by Junior Seau),3.450,3.580
1,4:08,2,5,MIA 27,3,7,Tim Hasselbeck pass complete to Trung Canidate for 7 yards (tackle by Zach Thomas),3.580,4.240
1,3:34,1,10,MIA 20,3,7,Chad Morton up the middle for 6 yards (tackle by Brock Marion),4.240,4.640
1,2:52,2,4,MIA 14,3,7,Trung Canidate left guard for 1 yard (tackle by Tim Bowens),4.640,4.100
1,2:08,3,3,MIA 13,3,7,Tim Hasselbeck pass incomplete intended for Rod Gardner (defended by Terrell Buckley),4.100,2.670
1,2:04,4,3,MIA 13,6,7,John Hall 31 yard field goal good,2.670,3.000
1,,,,WAS 30,6,7,"John Hall kicks off 71 yards, returned by Travis Minor for 17 yards (tackle by Ifeanyi Ohalete)",0.000,-0.140
1,1:55,1,10,MIA 16,6,7,Ricky Williams right end for 3 yards (tackle by Champ Bailey),-0.140,-0.180
1,1:17,2,7,MIA 19,6,7,Brian Griese sacked by Bernard Holsey for -10 yards,-0.180,-2.240
1,0:46,3,17,MIA 9,6,7,Ricky Williams up the middle for 6 yards (tackle by Matt Bowen),-2.240,-2.440
Quarter,Time,Down,ToGo,Location,WAS,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,11,MIA 15,6,7,Matt Turk punts 46 yards,-2.440,-1.530
2,14:48,1,10,WAS 39,6,7,Tim Hasselbeck pass complete to Laveranues Coles for 12 yards (tackle by Sammy Knight),1.530,2.320
2,14:16,1,10,MIA 49,6,7,Trung Canidate right end for 2 yards (tackle by Adewale Ogunleye),2.320,2.050
2,13:35,2,8,MIA 47,6,7,Tim Hasselbeck pass complete to John Simon for 4 yards (tackle by Zach Thomas),2.050,1.880
2,12:54,3,4,MIA 43,6,7,Tim Hasselbeck pass complete to Patrick Johnson for 6 yards (tackle by Patrick Surtain),1.880,3.120
2,12:14,1,10,MIA 37,12,7,"Tim Hasselbeck pass complete to Laveranues Coles for 37 yards, touchdown",3.120,7.000
2,,,,MIA 2,13,7,John Hall kicks extra point good,0.000,0.000
2,,,,WAS 30,13,7,"John Hall kicks off 48 yards, returned by Sam Simmons for 15 yards (tackle by Ade Jimoh). Penalty on Taylor Jacobs: Offside on Free Kick (Declined)",0.000,1.400
2,11:59,1,10,MIA 37,13,7,Ricky Williams left guard for 8 yards (tackle by Ifeanyi Ohalete),1.400,1.940
2,11:29,2,2,MIA 45,13,7,Ricky Williams right guard for 4 yards (tackle by Kevin Mitchell),1.940,2.190
2,10:54,1,10,MIA 49,13,7,Ricky Williams right end for 7 yards (tackle by Fred Smoot),2.190,2.590
2,10:23,2,3,WAS 44,13,7,Travis Minor right guard for 4 yards (tackle by Jeremiah Trotter),2.590,2.920
2,9:49,1,10,WAS 40,13,7,Travis Minor up the middle for 5 yards (tackle by Ifeanyi Ohalete and Jeremiah Trotter),2.920,3.050
2,9:10,2,5,WAS 35,13,7,"Penalty on Seth McKinney: False Start, 5 yards (no play)",3.050,2.370
2,8:57,2,10,WAS 40,13,7,Ricky Williams right guard for 2 yards (tackle by Jeremiah Trotter),2.370,1.950
2,8:15,3,8,WAS 38,13,7,Brian Griese pass incomplete intended for Oronde Gadsden,1.950,0.720
2,8:11,4,8,WAS 38,13,7,"Matt Turk punts 38 yards, touchback",0.720,-0.280
2,8:01,1,10,WAS 20,13,7,Trung Canidate left guard for 11 yards (tackle by Sammy Knight),0.280,1.000
2,7:18,1,10,WAS 31,13,7,Trung Canidate right guard for 2 yards (tackle by Zach Thomas),1.000,0.730
2,6:40,2,8,WAS 33,13,7,Tim Hasselbeck pass complete to John Simon for 12 yards (tackle by Sammy Knight),0.730,1.930
2,5:58,1,10,WAS 45,13,7,Tim Hasselbeck pass complete to Patrick Johnson for 9 yards (tackle by Terrell Buckley),1.930,2.600
2,5:31,2,1,MIA 46,13,7,Tim Hasselbeck pass incomplete intended for Taylor Jacobs (defended by Sam Madison),2.600,1.880
2,5:04,3,1,MIA 46,13,7,Trung Canidate right guard for 2 yards (tackle by Sammy Knight),1.880,2.650
2,4:20,1,10,MIA 44,13,7,Chad Morton up the middle for 27 yards (tackle by Sam Madison),2.650,4.440
2,3:36,1,10,MIA 17,13,7,Tim Hasselbeck pass complete to Patrick Johnson for 1 yard (tackle by Terrell Buckley),4.440,4.000
2,3:06,,,,13,7,Timeout #1 by Washington Redskins,0.000,4.000
2,3:06,2,9,MIA 16,13,7,Tim Hasselbeck left tackle for 11 yards (tackle by Zach Thomas),4.000,6.060
2,2:22,1,5,MIA 5,13,7,"Chad Morton up the middle for no gain (tackle by Zach Thomas). Penalty on Terrell Buckley: Unnecessary Roughness, 2 yards",6.060,6.510
2,2:00,1,3,MIA 3,13,7,Trung Canidate up the middle for 1 yard (tackle by Zach Thomas),6.510,5.720
2,1:28,2,2,MIA 2,19,7,"Trung Canidate right tackle for 2 yards, touchdown",5.720,7.000
2,,,,MIA 2,20,7,John Hall kicks extra point good,0.000,0.000
2,,,,WAS 30,20,7,"John Hall kicks off 71 yards, touchback",0.000,0.280
2,1:24,1,10,MIA 20,20,7,Brian Griese pass complete to Ricky Williams for 6 yards (tackle by Jessie Armstead),0.280,0.540
2,1:17,2,4,MIA 26,20,7,Brian Griese pass complete to James McKnight for 8 yards (tackle by Daryl Terrell),0.540,1.200
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
2,1:01,1,10,MIA 34,20,7,Brian Griese for 9 yards,1.200,1.870
2,0:44,2,1,MIA 43,20,7,Brian Griese pass complete to Ricky Williams for 4 yards,1.870,2.060
2,0:37,1,10,MIA 47,20,7,Brian Griese pass complete to Derrius Thompson for 16 yards (tackle by Ifeanyi Ohalete),2.060,3.120
2,0:29,,,,20,7,Timeout #1 by Miami Dolphins,0.000,3.120
2,0:29,1,10,WAS 37,20,7,Brian Griese pass incomplete intended for Chris Chambers,3.120,2.570
2,0:25,2,10,WAS 37,20,7,Brian Griese pass incomplete intended for James McKnight,2.570,1.880
2,0:19,3,10,WAS 37,20,7,Brian Griese pass complete to Randy McMichael for 5 yards (tackle by Jeremiah Trotter),1.880,1.260
2,0:12,,,,20,7,Timeout #2 by Miami Dolphins,0.000,1.260
2,0:12,4,5,WAS 32,20,10,Olindo Mare 51 yard field goal good,1.260,3.000
2,,,,MIA 30,20,10,"Olindo Mare kicks off 79 yards, touchback",0.000,0.280
2,0:07,1,10,WAS 20,20,10,Tim Hasselbeck kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,WAS,MIA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIA 30,20,10,"Olindo Mare kicks off 69 yards, returned by Chad Morton for 18 yards (tackle by Obafemi Ayanbadejo)",0.000,0.150
3,14:53,1,10,WAS 19,20,10,Trung Canidate left end for 1 yard (tackle by Junior Seau),0.150,-0.200
3,14:19,2,9,WAS 20,20,10,Tim Hasselbeck pass incomplete intended for Darnerien McCants,-0.200,-0.940
3,14:15,3,9,WAS 20,20,10,Chad Morton left guard for 3 yards (tackle by Junior Seau),-0.940,-1.830
3,13:43,4,6,WAS 23,20,10,"Bryan Barker punts 41 yards, returned by Sam Simmons for 12 yards (tackle by Ethan Albright)",-1.830,-2.130
3,13:32,1,10,MIA 48,20,10,"Brian Griese pass incomplete intended for Rob Konrad (defended by Renaldo Wynn). Penalty on LaVar Arrington: Defensive Offside, 5 yards (no play)",2.130,2.860
3,13:26,1,5,WAS 47,20,10,Ricky Williams right guard for 1 yard (tackle by Jessie Armstead),2.860,2.390
3,12:52,2,4,WAS 46,20,10,Ricky Williams left end for 10 yards (tackle by Bernard Holsey),2.390,3.180
3,12:13,1,10,WAS 36,20,10,Brian Griese right end for 2 yards (tackle by LaVar Arrington and Renaldo Wynn),3.180,2.910
3,11:31,2,8,WAS 34,20,10,Ricky Williams left guard for 2 yards (tackle by Lional Dalton),2.910,2.480
3,10:53,3,6,WAS 32,20,10,Brian Griese pass complete to Oronde Gadsden for 7 yards (tackle by Champ Bailey),2.480,3.910
3,10:10,1,10,WAS 25,20,10,Brian Griese pass incomplete intended for Chris Chambers is intercepted by Rashad Bauman at WAS-2 and returned for 1 yard (tackle by Chris Chambers),3.910,0.380
3,10:01,1,10,WAS 3,20,10,Trung Canidate up the middle for 1 yard (tackle by Tim Bowens),-0.380,-0.710
3,9:25,2,9,WAS 4,20,10,Trung Canidate left end for 18 yards (tackle by Sammy Knight),-0.710,0.410
3,9:02,1,10,WAS 22,20,10,Tim Hasselbeck pass complete to Laveranues Coles for 6 yards (tackle by Brock Marion),0.410,0.680
3,8:24,2,4,WAS 28,20,10,Trung Canidate up the middle for 6 yards (tackle by Rob Burnett),0.680,1.200
3,7:41,1,10,WAS 34,20,10,Trung Canidate right guard for 7 yards (tackle by Sammy Knight and Zach Thomas),1.200,1.600
3,7:03,2,3,WAS 41,20,10,Chad Morton for 6 yards,1.600,2.060
3,6:31,,,,20,10,Timeout #1 by Washington Redskins,0.000,2.060
3,6:31,1,10,WAS 47,20,10,Chad Morton up the middle for -2 yards (tackle by Junior Seau),2.060,1.250
3,5:50,2,12,WAS 45,20,10,Tim Hasselbeck pass complete to Darnerien McCants for 7 yards (tackle by Patrick Surtain),1.250,1.490
3,5:18,3,5,MIA 48,20,10,"Tim Hasselbeck pass complete to Bryan Johnson for 27 yards (tackle by Sammy Knight). Penalty on Randy Thomas: Ineligible Downfield Pass, 5 yards (no play)",1.490,0.830
3,4:18,3,10,WAS 47,20,10,"Tim Hasselbeck sacked by Jason Taylor for -7 yards. Penalty on Jason Taylor: Face Mask (15 Yards), 15 yards (no play)",0.830,3.050
3,3:55,1,10,MIA 38,20,10,Laveranues Coles right end for 2 yards (tackle by Patrick Surtain),3.050,2.780
3,3:10,2,8,MIA 36,20,10,Tim Hasselbeck pass incomplete intended for Trung Canidate,2.780,2.080
3,3:05,3,8,MIA 36,20,10,"Penalty on WAS: Delay of Game, 5 yards (no play)",2.080,1.420
3,3:05,3,13,MIA 41,20,10,Tim Hasselbeck pass incomplete intended for Darnerien McCants (defended by Patrick Surtain),1.420,0.530
3,3:00,4,13,MIA 41,20,10,"Bryan Barker punts 29 yards, muffed catch by Kendall Newson, recovered by Zeron Flemister and returned for no gain",0.530,4.510
3,2:50,1,10,MIA 16,20,10,Tim Hasselbeck pass incomplete intended for Rod Gardner,4.510,3.900
3,2:44,2,10,MIA 16,20,10,Tim Hasselbeck pass complete to Chad Morton for 11 yards (tackle by Zach Thomas),3.900,6.060
3,2:03,1,5,MIA 5,20,10,Chad Morton up the middle for -2 yards (tackle by Junior Seau),6.060,4.760
3,1:25,2,7,MIA 7,20,10,Tim Hasselbeck pass incomplete intended for Rod Gardner,4.760,3.810
3,1:21,3,7,MIA 7,20,10,"Chad Morton left guard for 4 yards (tackle by Jay Williams and Shawn Wooden). Penalty on Jason Taylor: Defensive Offside, 3 yards (no play)",3.810,4.490
3,0:56,3,4,MIA 4,20,10,Tim Hasselbeck pass incomplete intended for Zeron Flemister,4.490,3.030
3,0:52,4,4,MIA 4,23,10,John Hall 22 yard field goal good,3.030,3.000
3,,,,WAS 30,23,10,"John Hall kicks off 72 yards, returned by Travis Minor for 31 yards (tackle by Lemar Marshall). Penalty on Kevin Ware: Offside on Free Kick (Declined)",0.000,0.870
3,0:41,1,10,MIA 29,23,10,Jay Fiedler pass complete to Chris Chambers for 31 yards (tackle by Matt Bowen),0.870,2.920
3,0:00,1,10,WAS 40,23,10,Chris Chambers right end for 9 yards,2.920,3.590
Quarter,Time,Down,ToGo,Location,WAS,MIA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,1,WAS 31,23,10,Ricky Williams right guard for 5 yards (tackle by Bruce Smith),3.590,3.840
4,14:22,1,10,WAS 26,23,10,Jay Fiedler pass complete to Randy McMichael for 3 yards,3.840,3.700
4,13:50,2,7,WAS 23,23,10,Ricky Williams right guard for 1 yard (tackle by LaVar Arrington and Jeremiah Trotter),3.700,3.140
4,13:09,3,6,WAS 22,23,10,Jay Fiedler pass complete to Chris Chambers for 8 yards (tackle by Daryl Terrell),3.140,4.650
4,12:35,1,10,WAS 14,23,10,"Penalty on Seth McKinney: False Start, 5 yards (no play)",4.650,4.260
4,12:21,1,15,WAS 19,23,10,Jay Fiedler pass incomplete intended for Randy McMichael (defended by LaVar Arrington),4.260,3.370
4,12:11,2,15,WAS 19,23,10,Jay Fiedler pass incomplete intended for Randy McMichael (defended by Jeremiah Trotter),3.370,2.730
4,12:07,3,15,WAS 19,23,10,"Jay Fiedler pass incomplete intended for Randy McMichael. Penalty on Ifeanyi Ohalete: Defensive Pass Interference, 18 yards (no play)",2.730,6.970
4,12:01,1,1,WAS 1,23,10,Jay Fiedler pass incomplete intended for Donald Lee,6.970,5.910
4,11:53,2,1,WAS 1,23,10,Ricky Williams left guard for no gain (tackle by Jeremiah Trotter and Bernard Holsey),5.910,5.170
4,11:13,3,1,WAS 1,23,10,Ricky Williams up the middle for no gain (tackle by LaVar Arrington and Jessie Armstead),5.170,3.550
4,10:29,4,1,WAS 1,23,16,"Ricky Williams up the middle for 1 yard, touchdown",3.550,7.000
4,,,,WAS 2,23,17,Olindo Mare kicks extra point good,0.000,0.000
4,,,,MIA 30,23,17,"Olindo Mare kicks off 77 yards, touchback",0.000,0.280
4,10:24,1,10,WAS 20,23,17,Tim Hasselbeck pass incomplete intended for Laveranues Coles (defended by Adewale Ogunleye),0.280,-0.270
4,10:19,2,10,WAS 20,23,17,Laveranues Coles left end for 1 yard (tackle by Brock Marion),-0.270,-0.820
4,9:51,3,9,WAS 21,23,17,Tim Hasselbeck pass complete to Patrick Johnson for 10 yards,-0.820,1.000
4,9:24,1,10,WAS 31,23,17,Trung Canidate right tackle for 4 yards (tackle by Adewale Ogunleye),1.000,1.000
4,8:50,2,6,WAS 35,23,17,Trung Canidate up the middle for 3 yards (tackle by Sammy Knight and Adewale Ogunleye),1.000,0.700
4,8:08,3,3,WAS 38,23,17,Tim Hasselbeck pass complete to Chad Morton for 10 yards (tackle by Jason Taylor),0.700,2.130
4,7:21,1,10,WAS 48,23,17,Tim Hasselbeck pass incomplete intended for Laveranues Coles (defended by Patrick Surtain),2.130,1.580
4,7:13,2,10,WAS 48,23,17,Tim Hasselbeck pass incomplete intended for Zeron Flemister,1.580,0.890
4,7:07,3,10,WAS 48,23,17,Tim Hasselbeck sacked by Jason Taylor for -5 yards,0.890,-0.520
4,6:36,4,15,WAS 43,23,17,Bryan Barker punts 26 yards,-0.520,-1.000
4,6:29,1,10,MIA 31,23,17,Jay Fiedler pass incomplete intended for Chris Chambers (defended by Champ Bailey),1.000,0.460
4,6:23,2,10,MIA 31,23,17,Ricky Williams right end for 17 yards (tackle by Ifeanyi Ohalete),0.460,2.130
4,5:50,1,10,MIA 48,23,17,Jay Fiedler pass complete to James McKnight for 8 yards (tackle by Champ Bailey),2.130,2.660
4,5:31,2,2,WAS 44,23,17,Travis Minor right end for 11 yards (tackle by Jeremiah Trotter and Matt Bowen),2.660,3.380
4,5:06,1,10,WAS 33,23,17,Jay Fiedler pass incomplete intended for Chris Chambers,3.380,2.840
4,5:03,2,10,WAS 33,23,17,Jay Fiedler pass complete to Chris Chambers for 9 yards (tackle by Champ Bailey),2.840,3.340
4,4:26,3,1,WAS 24,23,23,"Ricky Williams right guard for 24 yards, touchdown",3.340,7.000
4,,,,WAS 2,23,24,Olindo Mare kicks extra point good,0.000,0.000
4,,,,MIA 30,23,24,"Olindo Mare kicks off 71 yards, returned by Chad Morton for 44 yards (tackle by Olindo Mare)",0.000,1.800
4,4:10,1,10,WAS 43,23,24,Trung Canidate up the middle for 2 yards (tackle by Larry Chester and Tim Bowens),1.800,1.520
4,3:35,2,8,WAS 45,23,24,"Penalty on Trung Canidate: False Start, 5 yards (no play)",1.520,0.850
4,3:31,2,13,WAS 40,23,24,Tim Hasselbeck pass incomplete intended for Zeron Flemister,0.850,0.170
4,3:25,3,13,WAS 40,23,24,Tim Hasselbeck pass incomplete intended for Laveranues Coles is intercepted by Brock Marion at MIA-9,0.170,0.380
4,3:16,1,10,MIA 9,23,24,Ricky Williams left tackle for 6 yards (tackle by Ifeanyi Ohalete and Bernard Holsey),-0.380,-0.280
4,3:05,,,,23,24,Timeout #2 by Washington Redskins,0.000,-0.280
4,3:05,2,4,MIA 15,23,24,Ricky Williams left guard for 1 yard (tackle by Lional Dalton),-0.280,-0.600
4,2:56,,,,23,24,Timeout #3 by Washington Redskins,0.000,-0.600
4,2:56,3,3,MIA 16,23,24,Ricky Williams left tackle for 1 yard (tackle by Jeremiah Trotter),-0.600,-2.320
4,2:23,4,2,MIA 17,23,24,"Matt Turk punts 57 yards, muffed catch by Patrick Johnson, recovered by James McKnight and returned for no gain",-2.320,4.510
4,2:00,1,10,WAS 16,23,24,Jay Fiedler kneels for -1 yards,4.510,3.770
4,1:18,2,11,WAS 17,23,24,Jay Fiedler kneels for -1 yards,3.770,2.940
4,0:37,3,12,WAS 18,23,24,Jay Fiedler kneels for -1 yards,2.940,2.180
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
