Unnamed: 0,CHI,CLE
First Downs,12,14
Rush-Yds-TDs,27-88-0,18-29-0
Cmp-Att-Yd-TD-INT,19-40-166-1-2,29-45-379-2-3
Sacked-Yards,3-18,4-31
Net Pass Yards,148,348
Total Yards,236,377
Fumbles-Lost,4-1,1-0
Turnovers,3,3
Penalties-Yards,4-19,9-48
Third Down Conv.,4-18,4-16
Fourth Down Conv.,0-2,1-1
Time of Possession,29:00,31:00
