Quarter,Time,Down,ToGo,Location,CHI,CLE,Detail,EPB,EPA
4,1:35,2,15,CLE 47,17,17,Joe Flacco pass complete short middle to Jerome Ford for no gain (tackle by Justin Jones),1.170,0.500
4,0:58,3,15,CLE 47,17,17,Joe Flacco pass complete short left to David Njoku for 34 yards (tackle by Eddie Jackson),0.500,4.310
4,0:46,,,,,,Timeout #1 by Cleveland Browns,,
4,0:46,1,10,CHI 19,17,17,Kareem Hunt right guard for 2 yards (tackle by Rasheem Green),4.310,4.030
4,0:42,,,,,,Timeout #1 by Chicago Bears,,
4,0:42,2,8,CHI 17,17,17,Kareem Hunt right guard for 2 yards (tackle by DeMarcus Walker and T.J. Edwards),4.030,3.580
4,0:37,,,,,,Timeout #2 by Chicago Bears,,
4,0:37,3,6,CHI 15,17,17,Joe Flacco kneels for -1 yards,3.580,2.380
4,0:36,,,,,,Timeout #3 by Chicago Bears,,
4,0:36,4,7,CHI 16,17,20,Dustin Hopkins 34 yard field goal good,2.380,3.000
4,0:32,,,CLE 35,17,20,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
4,0:32,1,10,CHI 25,17,20,Justin Fields pass incomplete deep right intended for Tyler Scott,0.610,0.060
4,0:25,,,,,,Timeout #2 by Cleveland Browns,,
4,0:25,2,10,CHI 25,17,20,Justin Fields pass complete short right to Tyler Scott for 30 yards (tackle by D'Anthony Bell),0.060,2.590
4,0:15,1,10,CLE 45,17,20,Justin Fields pass incomplete short right intended for Roschon Johnson,2.590,2.040
4,0:10,,,,,,Timeout #3 by Cleveland Browns,,
4,0:10,2,10,CLE 45,17,20,Justin Fields pass incomplete short left intended for Cole Kmet,2.040,1.360
4,0:05,3,10,CLE 45,17,20,Justin Fields pass deep middle (defended by Duron Harmon) is intercepted by D'Anthony Bell in end zone and returned for 6 yards,1.360,0.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
