Quarter,Time,Down,ToGo,Location,MIN,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss, Vikings to receive the opening kickoff.",,
1,15:00,,,STL 30,0,0,"Jeff Wilkins kicks off 71 yards, returned by Onterrio Smith for 22 yards (tackle by Spencer Nead)",0.000,0.340
1,14:53,1,10,MIN 21,0,0,Daunte Culpepper pass complete to Michael Bennett for 5 yards (tackle by Ryan Pickett),0.340,0.480
1,14:15,2,5,MIN 26,0,0,Michael Bennett right tackle for 2 yards (tackle by Tommy Polley),0.480,0.040
1,13:37,3,3,MIN 28,0,0,Daunte Culpepper pass incomplete intended for Onterrio Smith,0.040,-1.500
1,13:21,4,3,MIN 28,0,0,Eddie Johnson punts no gain,-1.500,-4.370
1,13:21,1,10,MIN 18,0,6,"Marshall Faulk left tackle for 18 yards, touchdown",4.370,7.000
1,,,,,0,7,"Penalty on MIN: Neutral Zone Infraction, 5 yards",0.000,0.000
1,,,,MIN 2,0,7,Jeff Wilkins kicks extra point good,0.000,0.000
1,,,,STL 35,0,7,"Jeff Wilkins kicks off 67 yards, returned by Onterrio Smith for 19 yards (tackle by Arlen Harris)",0.000,-0.060
1,13:08,1,10,MIN 17,0,7,Michael Bennett right guard for 2 yards (tackle by Tommy Polley and Ryan Pickett),-0.060,-0.250
1,12:36,2,8,MIN 19,0,7,Daunte Culpepper pass incomplete intended for Randy Moss,-0.250,-1.000
1,12:27,3,8,MIN 19,0,7,Daunte Culpepper pass complete to Nate Burleson for 11 yards (tackle by Aeneas Williams),-1.000,0.940
1,11:55,1,10,MIN 30,0,7,Michael Bennett left tackle for no gain (tackle by Bryce Fisher),0.940,0.390
1,11:15,2,10,MIN 30,0,7,Michael Bennett left tackle for no gain (tackle by Pisa Tinoisamoa),0.390,-0.300
1,10:41,3,10,MIN 30,0,7,Daunte Culpepper pass incomplete intended for Nate Burleson,-0.300,-1.370
1,10:27,4,10,MIN 30,0,7,"Eddie Johnson punts 40 yards, returned by Mike Furrey for 8 yards (tackle by Willie Offord)",-1.370,-1.470
1,10:18,1,10,STL 38,0,7,Marc Bulger pass complete to Torry Holt for 8 yards (tackle by Denard Walker),1.470,2.000
1,9:41,2,2,STL 46,0,7,Marshall Faulk left guard for -2 yards (tackle by Henri Crockett),2.000,1.020
1,8:59,,,,0,7,Timeout #1 by St. Louis Rams,0.000,1.020
1,8:59,3,4,STL 44,0,7,Marc Bulger pass complete to Mike Furrey for 24 yards (tackle by Brian Russell),1.020,3.450
1,8:25,1,10,MIN 32,0,7,Marc Bulger pass complete to Torry Holt for 9 yards (tackle by Brian Williams),3.450,4.120
1,8:12,2,1,MIN 23,0,7,"Marshall Faulk right tackle for 10 yards. Penalty on Joey Goodspeed: Offensive Holding, 10 yards",4.120,4.120
1,8:05,2,1,MIN 23,0,7,Marc Bulger pass incomplete intended for Lamar Gordon (defended by Chris Hovan),4.120,3.400
1,7:34,3,1,MIN 23,0,7,Marshall Faulk left tackle for 3 yards (tackle by Kenny Mixon),3.400,4.240
1,7:26,1,10,MIN 20,0,7,Marc Bulger pass complete to Torry Holt for 14 yards (tackle by Brian Russell),4.240,5.830
1,6:53,1,6,MIN 6,0,7,Marshall Faulk right end for 4 yards (tackle by Brian Russell),5.830,5.720
1,6:25,2,2,MIN 2,0,7,Marc Bulger sacked by Kenny Mixon and Lance Johnstone for -8 yards,5.720,3.130
1,5:50,3,10,MIN 10,0,7,Marc Bulger pass incomplete intended for Torry Holt,3.130,2.760
1,5:45,4,10,MIN 10,0,10,Jeff Wilkins 28 yard field goal good,2.760,3.000
1,,,,STL 30,0,10,"Jeff Wilkins kicks off 63 yards, returned by Keenan Howry for 22 yards (tackle by Bryce Fisher)",0.000,0.870
1,5:30,1,10,MIN 29,0,10,Michael Bennett right guard for 2 yards (tackle by Robert W. Thomas and Leonard Little),0.870,0.600
1,4:50,2,8,MIN 31,0,10,Daunte Culpepper pass complete to Jim Kleinsasser for 7 yards (tackle by Travis Fisher),0.600,0.830
1,4:18,3,1,MIN 38,0,10,Michael Bennett left end for 18 yards (tackle by Adam Archuleta),0.830,2.650
1,3:54,1,10,STL 44,0,10,"Penalty on Bryant McKinnie: False Start, 5 yards (no play)",2.650,2.320
1,3:32,1,15,STL 49,0,10,Michael Bennett up the middle for 3 yards (tackle by Tommy Polley),2.320,1.840
1,2:56,2,12,STL 46,0,10,Michael Bennett up the middle for 5 yards (tackle by Ryan Pickett and Grant Wistrom),1.840,1.820
1,2:16,3,7,STL 41,0,10,Daunte Culpepper pass complete to Jim Kleinsasser for 9 yards (tackle by Brian Young),1.820,3.450
1,1:37,1,10,STL 32,0,10,Daunte Culpepper pass complete to Nate Burleson for 17 yards (tackle by Pisa Tinoisamoa),3.450,4.580
1,1:01,1,10,STL 15,6,10,"Daunte Culpepper pass complete to Randy Moss for 15 yards, touchdown",4.580,7.000
1,,,,STL 2,7,10,Aaron Elling kicks extra point good,0.000,0.000
1,,,,MIN 30,7,10,"Aaron Elling kicks off 69 yards, returned by Arlen Harris for 16 yards (tackle by Brian Russell)",0.000,-0.060
1,0:52,1,10,STL 17,7,10,"Penalty on Brandon Manumaleuna: False Start, 5 yards (no play)",-0.060,-0.510
1,0:52,1,15,STL 12,7,10,Marc Bulger pass complete to Isaac Bruce for 25 yards (tackle by Ken Irvin),-0.510,1.400
1,0:10,1,10,STL 37,7,10,Marc Bulger pass complete to Torry Holt for 22 yards (tackle by Brian Williams),1.400,2.850
Quarter,Time,Down,ToGo,Location,MIN,STL,Detail,EPB,EPA
