Unnamed: 0,CIN,MIN
First Downs,8,18
Rush-Yds-TDs,20-46-1,34-124-1
Cmp-Att-Yd-TD-INT,14-28-132-0-2,20-25-236-2-1
Sacked-Yards,3-17,2-14
Net Pass Yards,115,222
Total Yards,161,346
Fumbles-Lost,1-0,0-0
Turnovers,2,1
Penalties-Yards,5-44,11-93
Third Down Conv.,1-13,4-12
Fourth Down Conv.,1-3,0-0
Time of Possession,24:08,35:52
