Quarter,Time,Tm,Detail,CIN,MIN
1.0,10:31,Vikings,Latavius Murray 1 yard rush (Kai Forbath kick),0,7
,5:54,Vikings,Eric Kendricks 31 yard interception return (Kai Forbath kick),0,14
,1:30,Vikings,Kai Forbath 53 yard field goal,0,17
2.0,6:41,Vikings,Stefon Diggs 20 yard pass from Case Keenum (Kai Forbath kick),0,24
3.0,6:34,Vikings,Kai Forbath 35 yard field goal,0,27
4.0,12:53,Vikings,Kyle Rudolph 1 yard pass from Case Keenum (Kai Forbath kick),0,34
,6:22,Bengals,Giovani Bernard 2 yard rush (Randy Bullock kick),7,34
