Quarter,Time,Tm,Detail,MIA,BUF
1.0,11:23,Bills,Willis McGahee 1 yard rush (Rian Lindell kick),0,7
,4:15,Bills,Rian Lindell 24 yard field goal,0,10
2.0,8:08,Bills,Eric Moulds 2 yard pass from Kelly Holcomb (Rian Lindell kick),0,17
3.0,5:50,Dolphins,Will Heller 1 yard pass from Gus Frerotte (Olindo Mare kick),7,17
4.0,8:18,Dolphins,Randy McMichael 30 yard pass from Gus Frerotte (Olindo Mare kick),14,17
,4:35,Bills,Rian Lindell 47 yard field goal,14,20
