Unnamed: 0,MIA,BUF
First Downs,16,21
Rush-Yds-TDs,20-113-0,36-99-1
Cmp-Att-Yd-TD-INT,21-33-226-2-3,20-26-169-1-0
Sacked-Yards,2-16,3-32
Net Pass Yards,210,137
Total Yards,323,236
Fumbles-Lost,4-2,5-1
Turnovers,5,1
Penalties-Yards,18-102,7-63
Third Down Conv.,3-9,6-14
Fourth Down Conv.,0-1,0-0
Time of Possession,24:48,35:12
