Quarter,Time,Tm,Detail,NYG,MIN
1.0,5:25,Vikings,Ryan Longwell 21 yard field goal,0,3
2.0,8:11,Giants,Brandon Jacobs 1 yard rush (Lawrence Tynes kick),7,3
,0:03,Giants,Kevin Boss 6 yard pass from Eli Manning (Lawrence Tynes kick),14,3
3.0,2:46,Giants,Ahmad Bradshaw 48 yard rush (Lawrence Tynes kick),21,3
