Unnamed: 0,PIT,JAX
First Downs,19,15
Rush-Yds-TDs,11-26-1,43-179-1
Cmp-Att-Yd-TD-INT,27-47-314-2-3,10-18-104-0-0
Sacked-Yards,2-17,6-40
Net Pass Yards,297,64
Total Yards,323,243
Fumbles-Lost,0-0,2-1
Turnovers,3,1
Penalties-Yards,3-15,11-111
Third Down Conv.,3-11,6-18
Fourth Down Conv.,0-2,0-0
Time of Possession,22:20,37:40
