Quarter,Time,Down,ToGo,Location,PIT,JAX,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Steelers won the coin toss and deferred, Jaguars to receive the opening kickoff.",,
1,15:00,,,PIT 35,0,0,"Chris Boswell kicks off 43 yards, returned by Blake Bell for no gain (tackle by Darrius Heyward-Bey)",0.000,1.000
1,14:56,1,10,JAX 31,0,0,Leonard Fournette up the middle for 6 yards (tackle by Coty Sensabaugh),1.000,1.270
1,14:20,2,4,JAX 37,0,0,Blake Bortles pass complete short middle to Donte Moncrief for 11 yards (tackle by T.J. Watt),1.270,2.130
1,13:34,1,10,JAX 48,0,0,Leonard Fournette up the middle for 3 yards (tackle by Tyson Alualu and Daniel McCullers),2.130,1.990
1,13:06,2,7,PIT 49,0,0,Leonard Fournette up the middle for 3 yards (tackle by Tyson Alualu),1.990,1.680
1,12:26,3,4,PIT 46,0,0,Blake Bortles pass incomplete short middle intended for T.J. Yeldon,1.680,0.200
1,12:18,4,4,PIT 46,0,0,"Logan Cooke punts 46 yards, touchback.",0.200,-0.280
1,12:14,1,10,PIT 20,0,0,James Conner up the middle for 2 yards (tackle by Abry Jones),0.280,0.000
1,11:36,2,8,PIT 22,0,0,Ben Roethlisberger pass complete short right to JuJu Smith-Schuster for 7 yards (tackle by Jalen Ramsey),0.000,0.230
1,11:04,,,,,,Timeout #1 by Pittsburgh Steelers,,
1,11:04,3,1,PIT 29,0,0,Ben Roethlisberger up the middle for no gain (tackle by Marcell Dareus),0.230,-1.440
1,10:19,4,1,PIT 29,0,0,"Jordan Berry punts 51 yards, fair catch by Dede Westbrook at JAC-20",-1.440,-0.280
1,10:14,1,10,JAX 20,0,0,Blake Bortles pass complete short middle to DJ Chark for 5 yards (tackle by Terrell Edmunds),0.280,0.410
1,9:39,2,5,JAX 25,0,0,Leonard Fournette up the middle for 4 yards (tackle by Bud Dupree),0.410,0.230
1,9:01,3,1,JAX 29,0,0,Blake Bortles pass incomplete short middle intended for DJ Chark (defended by Vince Williams),0.230,-1.440
1,8:54,4,1,JAX 29,0,0,"Logan Cooke punts 46 yards, fair catch by Ryan Switzer at PIT-25",-1.440,-0.610
1,8:48,1,10,PIT 25,0,0,"James Conner right end for 2 yards (tackle by A.J. Bouye and Calais Campbell). Penalty on Yannick Ngakoue: Unnecessary Roughness, 15 yards",0.610,1.730
1,8:16,1,10,PIT 42,0,0,James Conner up the middle for 9 yards (tackle by Jalen Ramsey),1.730,2.400
1,7:28,2,1,JAX 49,0,0,"Ben Roethlisberger pass incomplete short right intended for Vance McDonald. Penalty on Vance McDonald: Illegal Shift, 5 yards (no play)",2.400,1.730
1,7:26,2,6,PIT 46,0,0,Ben Roethlisberger pass incomplete short right intended for JuJu Smith-Schuster,1.730,1.030
1,7:20,3,6,PIT 46,0,0,Ben Roethlisberger pass incomplete short left intended for Vance McDonald,1.030,-0.320
1,7:16,4,6,PIT 46,0,0,Jordan Berry punts 48 yards downed by Cameron Sutton,-0.320,0.380
1,7:07,1,10,JAX 6,0,0,Leonard Fournette up the middle for 4 yards (tackle by Tyson Alualu),-0.380,-0.490
1,6:32,2,6,JAX 10,0,0,Leonard Fournette up the middle for 11 yards (tackle by Vince Williams),-0.490,0.340
1,5:56,1,10,JAX 21,0,0,Leonard Fournette up the middle for 4 yards (tackle by Vince Williams and Tyson Alualu),0.340,0.340
1,5:22,2,6,JAX 25,0,0,Carlos Hyde up the middle for 5 yards (tackle by Coty Sensabaugh),0.340,0.300
1,4:44,3,1,JAX 30,0,0,T.J. Yeldon up the middle for 6 yards (tackle by Sean Davis),0.300,1.330
1,4:06,1,10,JAX 36,0,0,Carlos Hyde up the middle for 2 yards (tackle by Terrell Edmunds),1.330,1.060
1,3:26,2,8,JAX 38,0,0,Leonard Fournette left tackle for 4 yards (tackle by Coty Sensabaugh),1.060,0.890
1,2:42,3,4,JAX 42,0,0,"Blake Bortles right end for 7 yards. Penalty on Joe Haden: Illegal Contact, 5 yards",0.890,2.520
1,2:19,1,10,PIT 46,0,0,T.J. Yeldon up the middle for 6 yards (tackle by Tyson Alualu),2.520,2.790
1,1:42,2,4,PIT 40,0,0,Leonard Fournette up the middle for 1 yard (tackle by Vince Williams),2.790,2.210
1,1:04,3,3,PIT 39,0,0,Leonard Fournette up the middle for 3 yards (tackle by Jonathan Bostic and Coty Sensabaugh),2.210,3.180
1,0:13,,,,,,Timeout #1 by Jacksonville Jaguars,,
1,0:13,1,10,PIT 36,0,0,Carlos Hyde up the middle for 5 yards (tackle by Vince Williams),3.180,3.310
Quarter,Time,Down,ToGo,Location,PIT,JAX,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,PIT 31,0,0,"Leonard Fournette left tackle for no gain (tackle by Sean Davis). Penalty on Tyler Shatley: Offensive Holding, 10 yards (no play)",3.310,1.960
2,14:30,2,15,PIT 41,0,0,Blake Bortles pass complete short right to Dede Westbrook for 5 yards (tackle by Mike Hilton),1.960,1.950
2,13:53,3,10,PIT 36,0,0,T.J. Yeldon up the middle for 6 yards (tackle by L.J. Fort),1.950,1.460
2,13:15,4,4,PIT 30,0,3,Josh Lambo 48 yard field goal good,1.460,3.000
2,13:10,,,JAX 35,0,3,"Josh Lambo kicks off 65 yards, touchback.",0.000,0.610
2,13:10,1,10,PIT 25,0,3,Ben Roethlisberger pass incomplete short middle intended for James Washington (defended by D.J. Hayden),0.610,0.060
2,13:05,2,10,PIT 25,0,3,James Conner up the middle for -1 yards (tackle by Telvin Smith and Calais Campbell),0.060,-0.760
2,12:23,3,11,PIT 24,0,3,Ben Roethlisberger pass incomplete short middle intended for Antonio Brown (defended by Jalen Ramsey),-0.760,-1.770
2,12:17,4,11,PIT 24,0,3,"Jordan Berry punts 59 yards, returned by Dede Westbrook for 25 yards (tackle by Anthony Chickillo)",-1.770,-1.730
2,12:02,1,10,JAX 42,0,3,Leonard Fournette up the middle for 20 yards (tackle by Morgan Burnett and Vince Williams),1.730,3.050
2,11:16,1,10,PIT 38,0,3,Carlos Hyde up the middle for 11 yards (tackle by Sean Davis),3.050,3.780
2,10:40,1,10,PIT 27,0,3,Carlos Hyde right guard for 7 yards (tackle by Sean Davis),3.780,4.180
2,10:01,2,3,PIT 20,0,3,Leonard Fournette up the middle for -2 yards (tackle by Bud Dupree),4.180,3.200
2,9:20,3,5,PIT 22,0,3,Blake Bortles pass complete short right to T.J. Yeldon for 2 yards (tackle by Javon Hargrave),3.200,2.220
2,8:34,4,3,PIT 20,0,6,Josh Lambo 38 yard field goal good,2.220,3.000
2,8:34,,,JAX 35,0,6,"Josh Lambo kicks off 63 yards, returned by Ryan Switzer for no gain (tackle by Jarrod Wilson)",0.000,0.670
2,8:28,1,10,PIT 26,0,6,Ben Roethlisberger pass deep middle intended for Antonio Brown is intercepted by Jalen Ramsey at PIT-47 and returned for no gain,0.670,-2.460
2,8:23,1,10,PIT 47,0,6,Leonard Fournette up the middle for 11 yards (tackle by Sean Davis and Vince Williams),2.460,3.180
2,7:36,1,10,PIT 36,0,6,Blake Bortles pass incomplete deep right intended for James O'Shaughnessy,3.180,2.640
2,7:29,2,10,PIT 36,0,6,"Carlos Hyde right end for 7 yards (tackle by Jonathan Bostic). Penalty on Dede Westbrook: Offensive Holding, 10 yards",2.640,2.230
2,7:02,2,13,PIT 39,0,6,T.J. Yeldon up the middle for 4 yards (tackle by Javon Hargrave),2.230,2.080
2,6:23,3,9,PIT 35,0,6,Blake Bortles pass complete short middle to Dede Westbrook for 14 yards (tackle by Sean Davis),2.080,4.170
2,6:23,1,10,PIT 21,0,6,"Penalty on JAX: Offensive Too Many Men on Field, 5 yards (no play)",4.170,3.840
2,5:40,1,15,PIT 26,0,6,Leonard Fournette up the middle for 2 yards (tackle by Tyson Alualu),3.840,3.220
2,4:58,2,13,PIT 24,0,6,Blake Bortles pass complete short left to James O'Shaughnessy for 4 yards (tackle by Vince Williams and Coty Sensabaugh),3.220,3.070
2,4:21,3,9,PIT 20,0,6,Blake Bortles sacked by Javon Hargrave for -5 yards,3.070,1.800
2,3:41,4,14,PIT 25,0,9,Josh Lambo 43 yard field goal good. Penalty on Daniel McCullers: Illegal Formation (Declined),1.800,3.000
2,3:37,,,JAX 35,0,9,"Josh Lambo kicks off 65 yards, touchback.",0.000,0.610
2,3:37,1,10,PIT 25,0,9,Ben Roethlisberger pass incomplete short left intended for James Washington,0.610,0.060
2,3:33,2,10,PIT 25,0,9,Ben Roethlisberger pass complete short middle to JuJu Smith-Schuster for 9 yards (tackle by D.J. Hayden),0.060,0.560
2,2:57,3,1,PIT 34,0,9,James Conner up the middle for 1 yard (tackle by Telvin Smith),0.560,1.270
