Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Gus Edwards,BAL,16,67,0,3,36,2.3,31,1.9,1,16.0
Lamar Jackson,BAL,14,67,0,2,56,4.0,11,0.8,0,
Kenneth Dixon,BAL,8,59,1,5,27,3.4,32,4.0,2,4.0
Ty Montgomery,BAL,2,1,0,,0,0.0,1,0.5,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Spencer Ware,KAN,15,75,0,5,42,2.8,33,2.2,1,15.0
Damien Williams,KAN,8,14,1,1,8,1.0,6,0.8,0,
Patrick Mahomes,KAN,2,-3,0,0,-3,-1.5,0,0.0,0,
Tyreek Hill,KAN,1,6,0,1,6,6.0,0,0.0,0,
Anthony Sherman,KAN,1,2,0,1,1,1.0,1,1.0,0,
