Unnamed: 0,BAL,KAN
First Downs,24,30
Rush-Yds-TDs,40-194-1,27-94-1
Cmp-Att-Yd-TD-INT,13-26-147-2-0,35-53-377-2-1
Sacked-Yards,2-20,3-29
Net Pass Yards,127,348
Total Yards,321,442
Fumbles-Lost,1-1,1-0
Turnovers,1,1
Penalties-Yards,11-112,7-53
Third Down Conv.,5-12,6-16
Fourth Down Conv.,1-3,3-3
Time of Possession,31:27,37:00
