Unnamed: 0,GNB,MIN
First Downs,14,24
Rush-Yds-TDs,24-72-0,32-112-1
Cmp-Att-Yd-TD-INT,20-37-175-1-3,24-38-239-1-1
Sacked-Yards,4-20,0-0
Net Pass Yards,155,239
Total Yards,227,351
Fumbles-Lost,2-0,2-1
Turnovers,3,2
Penalties-Yards,8-92,7-65
Third Down Conv.,4-17,4-12
Fourth Down Conv.,2-3,0-1
Time of Possession,27:51,32:09
