Unnamed: 0,CIN,BAL
First Downs,22,19
Rush-Yds-TDs,30-146-0,26-118-1
Cmp-Att-Yd-TD-INT,23-44-222-3-0,25-47-203-2-1
Sacked-Yards,1-9,1-9
Net Pass Yards,213,194
Total Yards,359,312
Fumbles-Lost,2-1,0-0
Turnovers,1,1
Penalties-Yards,6-60,5-47
Third Down Conv.,5-15,5-17
Fourth Down Conv.,1-1,1-2
Time of Possession,28:39,31:21
