Quarter,Time,Tm,Detail,CIN,BAL
1.0,10:55,Bengals,Tyler Kroft 1 yard pass from Andy Dalton (Randy Bullock kick),7,0
2.0,11:13,Ravens,Justin Tucker 46 yard field goal,7,3
,4:14,Bengals,Tyler Kroft 5 yard pass from Andy Dalton (Randy Bullock kick),14,3
,0:23,Bengals,Randy Bullock 32 yard field goal,17,3
,0:04,Ravens,Chris Moore 6 yard pass from Joe Flacco (Justin Tucker kick),17,10
3.0,10:17,Bengals,Darqueze Dennard 89 yard interception return (Randy Bullock kick),24,10
,6:16,Ravens,Alex Collins 17 yard rush (Justin Tucker kick),24,17
4.0,13:08,Ravens,Justin Tucker 34 yard field goal,24,20
,8:48,Ravens,Mike Wallace 6 yard pass from Joe Flacco (Justin Tucker kick),24,27
,0:44,Bengals,Tyler Boyd 49 yard pass from Andy Dalton (Randy Bullock kick),31,27
