0,1
Officials,Officials
Referee,Bill Leavy
Umpire,Fred Bryan
Head Linesman,John McGrath
Line Judge,Mark Perlman
Back Judge,Keith Ferguson
Side Judge,Scott Novak
Field Judge,Jimmy Buchanan
