Unnamed: 0,JAX,OAK
First Downs,13,16
Rush-Yds-TDs,34-93-1,28-147-0
Cmp-Att-Yd-TD-INT,15-28-149-0-1,15-39-142-0-3
Sacked-Yards,1-0,2-8
Net Pass Yards,149,134
Total Yards,242,281
Fumbles-Lost,1-1,3-1
Turnovers,2,4
Penalties-Yards,7-87,8-72
Third Down Conv.,8-18,5-17
Fourth Down Conv.,1-1,2-4
Time of Possession,30:53,29:07
