Quarter,Time,Down,ToGo,Location,JAX,OAK,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss, Raiders to receive the opening kickoff.",,
1,15:00,,,JAX 30,0,0,"Josh Scobee kicks off 54 yards, returned by Doug Gabriel for 10 yards (tackle by Cortez Hankton). Penalty on Danny Clark: Offensive Holding, 10 yards",0.000,-0.140
1,14:35,1,10,OAK 16,0,0,Kerry Collins pass incomplete intended for Alvis Whitted,-0.140,-0.660
1,14:25,2,10,OAK 16,0,0,Justin Fargas for 1 yard (tackle by Dewayne Washington),-0.660,-1.200
1,14:06,3,9,OAK 17,0,0,Kerry Collins pass complete to Doug Gabriel for 16 yards (tackle by Deon Grant),-1.200,1.140
1,13:27,1,10,OAK 33,0,0,Kerry Collins pass incomplete intended for Teyo Johnson (defended by Daryl Smith),1.140,0.590
1,13:23,2,10,OAK 33,0,0,Kerry Collins pass complete to Amos Zereoue for 9 yards (tackle by Greg Favors),0.590,1.090
1,12:38,3,1,OAK 42,0,0,"Kerry Collins pass complete to Jerry Porter for 5 yards (tackle by Daryl Smith). Penalty on Bobby McCray: Roughing the Passer, 15 yards",1.090,3.050
1,12:11,1,10,JAX 38,0,0,Zack Crockett up the middle for 7 yards (tackle by Deke Cooper and Mike Peterson),3.050,3.450
1,11:30,2,3,JAX 31,0,0,Zack Crockett up the middle for 9 yards (tackle by Donovin Darius and Akin Ayodele),3.450,4.110
1,10:47,1,10,JAX 22,0,0,Zack Crockett up the middle for 4 yards (tackle by John Henderson and Rashean Mathis),4.110,4.130
1,10:11,2,6,JAX 18,0,0,Amos Zereoue right guard for 1 yard (tackle by Daryl Smith),4.130,3.560
1,9:35,3,5,JAX 17,0,0,Kerry Collins pass incomplete intended for Jerry Porter,3.560,2.360
1,9:31,4,5,JAX 17,0,3,Sebastian Janikowski 35 yard field goal good,2.360,3.000
1,,,,OAK 30,0,3,"Sebastian Janikowski kicks off 59 yards, returned by David Allen for 24 yards (tackle by Stuart Schweigert)",0.000,1.270
1,9:21,1,10,JAX 35,0,3,Byron Leftwich pass incomplete intended for Kyle Brady,1.270,0.720
1,9:17,2,10,JAX 35,0,3,Byron Leftwich right end for 11 yards (tackle by Denard Walker),0.720,1.990
1,8:29,1,10,JAX 46,0,3,Greg Jones left end for -2 yards (tackle by Warren Sapp),1.990,1.180
1,7:52,2,12,JAX 44,0,3,Greg Jones up the middle for no gain (tackle by Danny Clark and Bobby Hamilton),1.180,0.500
1,7:07,3,12,JAX 44,0,3,"Byron Leftwich pass complete to LaBrandon Toefield for 7 yards (tackle by Tim Johnson). Penalty on Tommy Kelly: Defensive Offside, 5 yards (no play)",0.500,1.160
1,6:42,3,7,JAX 49,0,3,Byron Leftwich pass complete to LaBrandon Toefield for 16 yards (tackle by Jarrod Cooper),1.160,3.250
1,6:02,1,10,OAK 35,0,3,Byron Leftwich pass incomplete intended for Jimmy Smith,3.250,2.700
1,5:58,2,10,OAK 35,0,3,Byron Leftwich pass complete to Byron Leftwich for -7 yards (tackle by Bobby Hamilton),2.700,1.090
1,5:10,3,17,OAK 42,0,3,Byron Leftwich pass incomplete intended for Jimmy Smith. Penalty on Troy Edwards: Illegal Motion (Declined),1.090,0.460
1,5:09,4,17,OAK 42,0,3,"Chris Hanson punts 42 yards, touchback",0.460,-0.280
1,5:00,1,10,OAK 20,0,3,Zack Crockett up the middle for 3 yards (tackle by Marcus Stroud),0.280,0.140
1,4:23,2,7,OAK 23,0,3,Kerry Collins pass complete to Amos Zereoue for no gain,0.140,-0.560
1,3:42,3,7,OAK 23,0,3,Kerry Collins pass incomplete intended for J.R. Redmond (defended by Deon Grant),-0.560,-1.830
1,3:35,4,7,OAK 23,0,3,"Shane Lechler punts 42 yards, returned by David Allen for 11 yards (tackle by Adam Treu). Penalty on Tommy Hendricks: Offensive Holding, 10 yards",-1.830,-0.610
1,3:24,1,10,JAX 25,0,3,Byron Leftwich pass incomplete intended for Kyle Brady,0.610,0.060
1,3:18,2,10,JAX 25,0,3,Byron Leftwich pass complete to Jimmy Smith for 9 yards (tackle by Denard Walker),0.060,0.560
1,2:47,3,1,JAX 34,0,3,Byron Leftwich pass complete to Todd Yoder for 3 yards (tackle by Denard Walker),0.560,1.400
1,2:07,1,10,JAX 37,0,3,Greg Jones right guard for 2 yards (tackle by Tim Johnson),1.400,1.130
1,1:30,2,8,JAX 39,0,3,Byron Leftwich sacked by Ted Washington for 0 yards,1.130,0.430
1,0:53,3,8,JAX 39,0,3,Byron Leftwich pass complete to LaBrandon Toefield for 10 yards (tackle by Brock Williams),0.430,2.190
