Unnamed: 0,DAL,NOR
First Downs,9,40
Rush-Yds-TDs,16-89-1,38-242-3
Cmp-Att-Yd-TD-INT,10-24-128-1-0,34-41-392-4-0
Sacked-Yards,3-24,1-9
Net Pass Yards,104,383
Total Yards,193,625
Fumbles-Lost,0-0,1-1
Turnovers,0,1
Penalties-Yards,11-82,6-44
Third Down Conv.,0-9,9-12
Fourth Down Conv.,0-0,1-1
Time of Possession,20:28,39:32
