Quarter,Time,Tm,Detail,DAL,NOR
1.0,8:14,Cowboys,Dan Bailey 37 yard field goal,3,0
,3:23,Saints,Marques Colston 22 yard pass from Drew Brees (Garrett Hartley kick),3,7
2.0,14:05,Cowboys,DeMarco Murray 7 yard rush (Dan Bailey kick),10,7
,5:09,Saints,Pierre Thomas 1 yard pass from Drew Brees (Garrett Hartley kick),10,14
,1:32,Saints,Darren Sproles 3 yard rush (Garrett Hartley kick),10,21
,0:05,Saints,Darren Sproles 28 yard pass from Drew Brees (Garrett Hartley kick),10,28
3.0,2:12,Saints,Mark Ingram 4 yard rush (Garrett Hartley kick),10,35
,0:41,Cowboys,Terrance Williams 21 yard pass from Tony Romo (Dan Bailey kick),17,35
4.0,12:43,Saints,Kenny Stills 52 yard pass from Drew Brees (Garrett Hartley kick),17,42
,5:44,Saints,Pierre Thomas 1 yard rush (Garrett Hartley kick),17,49
