Unnamed: 0,NYG,DAL
First Downs,16,23
Rush-Yds-TDs,23-90-1,33-154-1
Cmp-Att-Yd-TD-INT,12-18-163-2-0,18-36-201-1-1
Sacked-Yards,3-23,2-19
Net Pass Yards,140,182
Total Yards,230,336
Fumbles-Lost,0-0,2-0
Turnovers,0,1
Penalties-Yards,3-28,11-84
Third Down Conv.,4-9,10-16
Fourth Down Conv.,0-0,0-1
Time of Possession,23:30,36:30
