Unnamed: 0,SEA,PIT
First Downs,8,23
Rush-Yds-TDs,13-31-0,35-124-2
Cmp-Att-Yd-TD-INT,20-29-159-0-0,23-31-313-1-0
Sacked-Yards,5-26,2-16
Net Pass Yards,133,297
Total Yards,164,421
Fumbles-Lost,0-0,0-0
Turnovers,0,0
Penalties-Yards,6-66,4-48
Third Down Conv.,2-12,8-15
Fourth Down Conv.,1-2,0-1
Time of Possession,21:16,38:44
