Quarter,Time,Tm,Detail,SEA,PIT
1.0,3:28,Steelers,Rashard Mendenhall 1 yard rush (Shaun Suisham kick),0,7
2.0,12:41,Steelers,Isaac Redman 20 yard rush (Shaun Suisham kick),0,14
,1:52,Steelers,Shaun Suisham 20 yard field goal,0,17
3.0,3:30,Steelers,Mike Wallace 2 yard pass from Ben Roethlisberger (Shaun Suisham kick),0,24
