Quarter,Time,Down,ToGo,Location,CLE,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Commanders won the coin toss and deferred, Browns to receive the opening kickoff.",,
1,15:00,,,WAS 35,0,0,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,CLE 25,0,0,Deshaun Watson pass incomplete short left intended for Donovan Peoples-Jones,0.610,0.060
1,14:57,2,10,CLE 25,0,0,Deshaun Watson pass complete short middle to Nick Chubb for 12 yards (tackle by Darrick Forrest and Chase Young),0.060,1.400
1,14:19,1,10,CLE 37,0,0,Nick Chubb left end for 8 yards (tackle by David Mayo and Jeremy Reaves),1.400,1.940
1,13:40,2,2,CLE 45,0,0,"Nick Chubb left tackle for no gain (tackle by Chase Young). Penalty on Montez Sweat: Defensive Offside, 5 yards (accepted) (no play)",1.940,2.260
1,13:24,1,10,WAS 50,0,0,"Deshaun Watson pass incomplete short left intended for David Njoku. Penalty on Joel Bitonio: Offensive Holding, 10 yards (accepted) (no play)",2.260,1.600
1,13:16,1,20,CLE 40,0,0,Deshaun Watson pass incomplete short left intended for Harrison Bryant,1.600,0.360
1,13:12,2,20,CLE 40,0,0,Deshaun Watson sacked by Daron Payne for -8 yards,0.360,-1.350
1,12:29,3,28,CLE 32,0,0,Deshaun Watson pass complete short middle to Kareem Hunt for -1 yards (tackle by Montez Sweat),-1.350,-1.310
1,11:51,4,29,CLE 31,0,0,"Corey Bojorquez punts 64 yards, returned by Dax Milne for 15 yards (tackle by Chase Winovich and D'Ernest Johnson)",-1.310,-0.280
1,11:38,1,10,WAS 20,0,0,Jonathan Williams left end for 4 yards (tackle by Grant Delpit and Deion Jones),0.280,0.270
1,10:57,2,6,WAS 24,0,0,Carson Wentz pass incomplete short right intended for Jonathan Williams,0.270,-0.430
1,10:54,3,6,WAS 24,0,0,Carson Wentz pass short left intended for Terry McLaurin is intercepted by Denzel Ward at WAS-36 and returned for no gain (tackle by Terry McLaurin),-0.430,-3.180
1,10:48,1,10,WAS 36,0,0,Deshaun Watson pass complete short left to Harrison Bryant for 12 yards (tackle by David Mayo and Bobby McCain),3.180,3.970
1,10:10,1,10,WAS 24,0,0,Deshaun Watson pass incomplete deep left intended for Amari Cooper,3.970,3.430
1,10:06,2,10,WAS 24,0,0,Nick Chubb left guard for 5 yards (tackle by Jeremy Reaves),3.430,3.410
1,9:29,3,5,WAS 19,0,0,Deshaun Watson pass incomplete short middle intended for David Njoku (defended by Danny Johnson),3.410,2.240
1,9:26,4,5,WAS 19,3,0,Cade York 37 yard field goal good,2.240,3.000
1,9:22,,,CLE 35,3,0,"Cade York kicks off 65 yards, returned by Jaret Patterson for 22 yards (tackle by D'Anthony Bell)",0.000,0.410
1,9:17,1,10,WAS 22,3,0,Brian Robinson right guard for 1 yard (tackle by Myles Garrett),0.410,0.000
1,8:41,2,9,WAS 23,3,0,Carson Wentz pass complete short left to Terry McLaurin for 2 yards (tackle by Greg Newsome and Tony Fields),0.000,-0.430
1,8:00,3,7,WAS 25,3,0,Carson Wentz pass complete short middle to Logan Thomas for 11 yards (tackle by D'Anthony Bell),-0.430,1.330
1,7:23,1,10,WAS 36,3,0,Brian Robinson left guard for 4 yards (tackle by Myles Garrett and Jermaine Carter),1.330,1.330
1,6:42,2,6,WAS 40,3,0,Brian Robinson right tackle for 11 yards (tackle by Jermaine Carter and Grant Delpit),1.330,2.320
1,6:02,1,10,CLE 49,3,0,Brian Robinson right guard for 5 yards (tackle by Tony Fields),2.320,2.460
1,5:22,2,5,CLE 44,3,0,Jonathan Williams right guard for 1 yard (tackle by Grant Delpit and Greg Newsome),2.460,1.880
1,4:40,3,4,CLE 43,3,0,Jonathan Williams up the middle for 3 yards (tackle by D'Anthony Bell and Alex Wright),1.880,0.590
1,3:57,4,1,CLE 40,3,0,Jonathan Williams left end for -1 yards (tackle by Jadeveon Clowney and Myles Garrett),0.590,-1.730
1,3:51,1,10,CLE 42,3,0,Nick Chubb left end for 14 yards (tackle by David Bada and Darrick Forrest),1.730,2.650
1,3:13,1,10,WAS 44,3,0,Nick Chubb right end for 35 yards (tackle by Danny Johnson and Bobby McCain),2.650,5.140
1,2:24,1,9,WAS 9,3,0,Deshaun Watson sacked by David Mayo for -1 yards,5.140,4.190
1,1:46,2,10,WAS 10,3,0,Kareem Hunt right guard for 4 yards (tackle by Jamin Davis and David Mayo),4.190,4.040
1,1:12,3,6,WAS 6,3,0,Deshaun Watson sacked by Daron Payne for -1 yards,4.040,2.970
1,0:25,4,7,WAS 7,3,0,"Cade York yard field goal good. Penalty on Khaleke Hudson: Defensive Offside, 4 yards (accepted) (no play)",2.970,3.040
1,0:23,4,3,WAS 3,3,0,Deshaun Watson right guard for 1 yard (tackle by Daron Payne and Darrick Forrest),3.040,0.380
1,0:18,1,10,WAS 2,3,0,Brian Robinson left guard for 1 yard (tackle by Myles Garrett and Jadeveon Clowney),-0.380,-0.710
Quarter,Time,Down,ToGo,Location,CLE,WAS,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,WAS 3,3,0,Brian Robinson right end for no gain (tackle by Jordan Elliott),-0.710,-1.300
2,14:16,3,9,WAS 3,3,0,"Carson Wentz pass incomplete deep right intended for Terry McLaurin (defended by Denzel Ward). Penalty on Perrion Winfrey: Defensive Offside, 5 yards (declined) . Penalty on Denzel Ward: Defensive Holding, 5 yards (accepted) (no play)",-1.300,-0.380
2,14:10,1,10,WAS 8,3,0,Carson Wentz pass incomplete short right intended for Brian Robinson,-0.380,-0.780
2,14:07,2,10,WAS 8,3,0,Brian Robinson right tackle for 4 yards (tackle by Jermaine Carter and Reggie Ragland),-0.780,-1.070
2,13:22,3,7,WAS 11,3,0,Carson Wentz pass deep middle intended for Curtis Samuel is intercepted by Grant Delpit at CLE-47 and returned for no gain (tackle by Curtis Samuel),-1.070,-2.060
2,13:14,1,10,CLE 47,3,0,Deshaun Watson sacked by Montez Sweat for -4 yards,2.060,0.980
