Unnamed: 0,CLE,WAS
First Downs,16,17
Rush-Yds-TDs,30-146-0,37-136-1
Cmp-Att-Yd-TD-INT,9-18-169-3-0,16-28-143-0-3
Sacked-Yards,5-14,3-19
Net Pass Yards,155,124
Total Yards,301,260
Fumbles-Lost,0-0,0-0
Turnovers,0,3
Penalties-Yards,3-20,5-24
Third Down Conv.,4-11,7-16
Fourth Down Conv.,1-2,2-4
Time of Possession,26:28,33:32
