Unnamed: 0,SEA,STL
First Downs,21,19
Rush-Yds-TDs,32-124-0,26-76-2
Cmp-Att-Yd-TD-INT,32-41-251-1-1,18-27-297-1-0
Sacked-Yards,6-32,2-21
Net Pass Yards,219,276
Total Yards,343,352
Fumbles-Lost,0-0,3-3
Turnovers,1,3
Penalties-Yards,7-46,4-30
Third Down Conv.,8-19,6-11
Fourth Down Conv.,1-2,0-0
Time of Possession,37:28,28:32
