Quarter,Time,Down,ToGo,Location,SEA,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss and deferred, Seahawks to receive the opening kickoff.",,
1,15:00,,,STL 35,0,0,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,SEA 20,0,0,Marshawn Lynch left tackle for 2 yards (tackle by Chris Long),0.280,0.000
1,14:23,2,8,SEA 22,0,0,Russell Wilson pass complete short left to Jimmy Graham for 7 yards (tackle by T.J. McDonald),0.000,0.230
1,13:52,3,1,SEA 29,0,0,Marshawn Lynch middle for 10 yards (tackle by Chris Long and Michael Brockers),0.230,1.530
1,13:06,1,10,SEA 39,0,0,Fred Jackson middle for 5 yards (tackle by Alec Ogletree),1.530,1.660
1,12:25,2,5,SEA 44,0,0,Russell Wilson pass complete short left to Fred Jackson for 16 yards (tackle by James Laurinaitis). Penalty on Eugene Sims: Defensive Offside (Declined),1.660,2.920
1,11:56,1,10,STL 40,0,0,Russell Wilson left end for no gain (tackle by Alec Ogletree),2.920,2.370
1,11:18,2,10,STL 40,0,0,Russell Wilson pass complete short right to Tyler Lockett for 7 yards (tackle by Mark Barron),2.370,2.610
1,10:29,3,3,STL 33,0,0,Russell Wilson pass complete short right to Doug Baldwin for 2 yards (tackle by Trumaine Johnson and Robert Quinn),2.610,1.410
1,10:04,4,1,STL 31,0,0,Derrick Coleman middle for 2 yards (tackle by Aaron Donald),1.410,3.640
1,9:27,1,10,STL 29,0,0,Russell Wilson sacked by Aaron Donald for -6 yards,3.640,2.290
1,8:45,2,16,STL 35,0,0,Thomas Rawls left guard for 1 yard (tackle by William Hayes),2.290,1.750
1,7:57,3,15,STL 34,0,0,"Penalty on Russell Wilson: Delay of Game, 5 yards (no play)",1.750,1.090
1,7:35,3,20,STL 39,0,0,Marshawn Lynch middle for -1 yards (tackle by Alec Ogletree and Mark Barron),1.090,0.590
1,6:58,4,21,STL 40,0,0,"Jon Ryan punts 28 yards, fair catch by Tavon Austin",0.590,0.350
1,6:51,1,10,STL 12,0,0,Nick Foles pass complete short left to Tavon Austin for -9 yards (tackle by Bruce Irvin),-0.350,-1.440
1,6:16,2,19,STL 3,0,0,Benny Cunningham left tackle for -2 yards (tackle by Michael Bennett),-1.440,-2.710
1,5:34,3,21,STL 1,0,0,Penalty on Jamon Brown: False Start (no play),-2.710,-2.710
1,5:18,3,21,STL 1,0,0,Nick Foles middle for 1 yard (tackle by Bobby Wagner),-2.710,-2.490
1,4:45,4,20,STL 2,6,0,"Johnny Hekker punts 55 yards, returned by Tyler Lockett for 57 yards, touchdown",-2.490,-7.000
1,4:31,,,STL 2,7,0,Steven Hauschka kicks extra point good,0.000,0.000
1,4:31,,,SEA 35,7,0,"Steven Hauschka kicks off 65 yards, touchback",0.000,-0.280
1,4:31,1,10,STL 20,7,0,Nick Foles pass complete short middle to Jared Cook for 22 yards (tackle by Bobby Wagner),0.280,1.730
1,3:57,1,10,STL 42,7,0,Benny Cunningham left tackle for 4 yards (tackle by K.J. Wright),1.730,1.730
1,3:20,2,6,STL 46,7,0,Nick Foles sacked by Michael Bennett for -9 yards,1.730,-0.160
1,2:40,3,15,STL 37,7,0,Nick Foles pass complete short left to Benny Cunningham for 17 yards (tackle by Earl Thomas and K.J. Wright),-0.160,2.520
1,1:57,1,10,SEA 46,7,0,Nick Foles pass incomplete deep right intended for Tavon Austin (defended by Richard Sherman),2.520,1.980
1,1:48,2,10,SEA 46,7,0,Nick Foles pass complete short left to Benny Cunningham for 11 yards (tackle by Cassius Marsh and Earl Thomas),1.980,3.250
1,1:04,1,10,SEA 35,7,0,Isaiah Pead left tackle for -1 yards (tackle by Cassius Marsh),3.250,2.570
1,0:22,2,11,SEA 36,7,0,Nick Foles pass complete deep right to Jared Cook for 20 yards,2.570,4.510
Quarter,Time,Down,ToGo,Location,SEA,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,SEA 16,7,6,"Tavon Austin left tackle for 16 yards, touchdown",4.510,7.000
2,15:00,,,SEA 16,7,7,Greg Zuerlein kicks extra point good,0.000,0.000
2,15:00,,,STL 35,7,7,"Greg Zuerlein kicks off 67 yards, returned by Tyler Lockett for 21 yards (tackle by Bradley Marquez)",0.000,-0.150
2,14:49,1,10,SEA 19,7,7,Marshawn Lynch right tackle for -2 yards (tackle by Aaron Donald),0.150,-0.720
2,14:10,2,12,SEA 17,7,7,Russell Wilson pass complete short left to Marshawn Lynch for no gain,-0.720,-1.420
2,13:25,3,12,SEA 17,7,7,"Russell Wilson pass complete short right to Doug Baldwin for no gain. Penalty on Robert Quinn: Roughing the Passer, 15 yards (no play)",-1.420,1.070
2,12:59,1,10,SEA 32,7,7,Marshawn Lynch right guard for 4 yards (tackle by Mark Barron and Nick Fairley),1.070,1.070
2,12:22,2,6,SEA 36,7,7,"Penalty on J.R. Sweezy: False Start, 5 yards (no play)",1.070,0.390
2,11:59,2,11,SEA 31,7,7,Russell Wilson for 7 yards (tackle by Trumaine Johnson),0.390,0.630
2,11:20,3,4,SEA 38,7,7,Russell Wilson pass incomplete short right intended for Marshawn Lynch is intercepted by Trumaine Johnson at SEA-41 and returned for 15 yards,0.630,-3.840
2,11:10,1,10,SEA 26,7,7,"Tavon Austin for no gain. Penalty on Michael Bennett: Defensive Offside, 5 yards (no play)",3.840,4.570
2,10:46,1,5,SEA 21,7,7,Benny Cunningham middle for 4 yards (tackle by K.J. Wright),4.570,4.640
2,10:13,2,1,SEA 17,7,7,Benny Cunningham left guard for 3 yards (tackle by Bobby Wagner and Ahtyba Rubin),4.640,4.650
2,9:36,1,10,SEA 14,7,7,Benny Cunningham left tackle for 2 yards (tackle by Bobby Wagner),4.650,4.330
2,8:53,2,8,SEA 12,7,7,"Nick Foles pass complete short middle to Benny Cunningham for 5 yards (tackle by Bobby Wagner). Penalty on Greg Robinson: Offensive Holding, 10 yards (no play)",4.330,3.010
2,8:23,2,18,SEA 22,7,7,Nick Foles pass incomplete short left intended for Benny Cunningham (defended by Cliff Avril),3.010,2.350
2,8:15,3,18,SEA 22,7,7,Nick Foles pass complete short middle to Stedman Bailey for 7 yards (tackle by Earl Thomas),2.350,2.440
2,7:34,4,11,SEA 15,7,10,Greg Zuerlein 33 yard field goal good,2.440,3.000
2,7:34,,,STL 35,7,10,"Greg Zuerlein kicks off 69 yards, returned by Tyler Lockett for 35 yards (tackle by Marcus Roberson)",0.000,-1.000
2,7:25,1,10,SEA 31,7,10,Marshawn Lynch right tackle for 1 yard (tackle by Michael Brockers and T.J. McDonald),1.000,0.600
2,6:51,2,9,SEA 32,7,10,Russell Wilson pass complete short right to Chris Matthews for 8 yards (tackle by Trumaine Johnson),0.600,1.800
2,5:31,1,10,SEA 43,7,10,Russell Wilson pass complete short right to Tyler Lockett for 7 yards (tackle by Akeem Ayers),1.800,2.200
2,5:04,2,3,,7,10,Russell Wilson pass complete short middle to Marshawn Lynch for 7 yards (tackle by Aaron Donald and Alec Ogletree),2.200,2.720
2,4:28,1,10,STL 43,7,10,Thomas Rawls middle for 4 yards (tackle by James Laurinaitis and Janoris Jenkins),2.720,2.720
2,3:47,2,6,STL 39,7,10,Russell Wilson pass incomplete short right intended for Jermaine Kearse (defended by Janoris Jenkins),2.720,2.010
2,3:43,3,6,STL 39,7,10,Russell Wilson sacked by Lamarcus Joyner for -10 yards,2.010,0.000
2,3:06,4,16,STL 49,7,10,"Jon Ryan punts 49 yards, touchback. Penalty on Derrick Coleman: Illegal Formation, 5 yards",0.000,-0.610
2,2:56,1,10,STL 25,7,10,Benny Cunningham middle for no gain (tackle by Ahtyba Rubin),0.610,0.060
2,2:22,2,10,STL 25,7,10,Nick Foles pass complete short right to Jared Cook for 5 yards (tackle by Earl Thomas),0.060,0.040
2,2:00,3,5,STL 30,7,10,Nick Foles pass incomplete short left intended for Kenny Britt,0.040,-1.370
2,1:56,4,5,STL 30,7,10,"Johnny Hekker punts 35 yards, out of bounds",-1.370,-1.270
2,1:49,1,10,SEA 35,7,10,Russell Wilson pass complete short right to Jermaine Kearse for 23 yards (tackle by Janoris Jenkins),1.270,2.790
2,1:41,1,10,STL 42,7,10,Russell Wilson pass complete short right to Jermaine Kearse for 2 yards (tackle by Janoris Jenkins),2.790,2.510
2,1:15,2,8,STL 40,7,10,Russell Wilson pass complete short left to Doug Baldwin for 7 yards (tackle by Alec Ogletree),2.510,2.740
2,0:54,3,1,STL 33,7,10,Fred Jackson middle for 7 yards (tackle by Mark Barron),2.740,3.840
2,0:31,1,10,STL 26,7,10,Russell Wilson sacked by Robert Quinn for -1 yards,3.840,3.840
