Quarter,Time,Down,ToGo,Location,CHI,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bears won the coin toss and deferred, Vikings to receive the opening kickoff.",,
1,15:00,,,CHI 35,0,0,"Cody Parkey kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,MIN 25,0,0,Kirk Cousins pass complete short right to Stefon Diggs for 3 yards (tackle by Kyle Fuller),0.610,0.470
1,14:38,2,7,MIN 28,0,0,Kirk Cousins pass incomplete deep right,0.470,-0.230
1,14:33,3,7,MIN 28,0,0,Kirk Cousins pass incomplete short right intended for Stefon Diggs,-0.230,-1.500
1,14:29,4,7,MIN 28,0,0,"Matt Wile punts 43 yards, fair catch by Tarik Cohen at CHI-29",-1.500,-0.870
1,14:24,1,10,CHI 29,0,0,Jordan Howard right guard for 7 yards (tackle by Danielle Hunter and Trae Waynes),0.870,1.270
1,13:39,2,3,CHI 36,0,0,Jordan Howard right tackle for 42 yards (tackle by Danielle Hunter),1.270,4.110
1,12:59,1,10,MIN 22,0,0,Anthony Miller left end for 8 yards (tackle by Ben Gedeon),4.110,4.850
1,12:18,2,2,MIN 14,0,0,Anthony Miller left end for -1 yards. Anthony Miller fumbles out of bounds,4.850,3.930
1,11:33,3,3,MIN 15,0,0,Mitchell Trubisky pass complete short middle to Trey Burton for 9 yards (tackle by Anthony Harris),3.930,5.830
1,10:43,,,,,,Timeout #1 by Chicago Bears,,
1,10:43,1,6,MIN 6,6,0,"Jordan Howard left guard for 6 yards, touchdown",5.830,7.000
1,10:38,,,MIN 15,7,0,Cody Parkey kicks extra point good,0.000,0.000
1,10:38,,,CHI 35,7,0,"Cody Parkey kicks off 65 yards, touchback.",0.000,0.610
1,10:38,1,10,MIN 25,7,0,Dalvin Cook left tackle for 4 yards (tackle by Leonard Floyd),0.610,0.600
1,10:01,2,6,MIN 29,7,0,Dalvin Cook right tackle for 3 yards (tackle by Eddie Goldman and Roquan Smith),0.600,0.300
1,9:19,3,3,MIN 32,7,0,Kirk Cousins sacked by Eddie Goldman for -6 yards,0.300,-1.630
1,8:42,4,9,MIN 26,7,0,"Matt Wile punts 45 yards, muffed catch by Tarik Cohen, recovered by Tarik Cohen at CHI-29, returned by Tarik Cohen for no gain (tackle by Jayron Kearse)",-1.630,-0.870
1,8:33,1,10,CHI 29,7,0,Tarik Cohen right guard for no gain (tackle by Sheldon Richardson),0.870,0.330
1,7:49,2,10,CHI 29,7,0,Mitchell Trubisky pass complete short right to Javon Wims for 4 yards (tackle by Harrison Smith),0.330,0.170
1,7:04,3,6,CHI 33,7,0,Mitchell Trubisky pass incomplete short left intended for Trey Burton,0.170,-1.180
1,7:00,4,6,CHI 33,7,0,"Pat O'Donnell punts 46 yards, returned by Brandon Zylstra for 4 yards (tackle by Isaiah Irving)",-1.180,-0.610
1,6:49,1,10,MIN 25,7,0,Dalvin Cook left guard for no gain (tackle by Akiem Hicks),0.610,0.060
1,6:11,2,10,MIN 25,7,0,Kirk Cousins pass complete short right to Kyle Rudolph for 5 yards (tackle by Kyle Fuller),0.060,0.040
1,5:32,3,5,MIN 30,7,0,Kirk Cousins pass complete short left to Stefon Diggs for 2 yards (tackle by Adrian Amos),0.040,-1.240
1,5:04,4,3,MIN 32,7,0,"Matt Wile punts 56 yards, fair catch by Tarik Cohen at CHI-12",-1.240,0.350
1,4:56,1,10,CHI 12,7,0,Jordan Howard right guard for 3 yards (tackle by Linval Joseph),-0.350,-0.500
1,4:14,2,7,CHI 15,7,0,Jordan Howard right tackle for 1 yard (tackle by Anthony Harris),-0.500,-0.950
1,3:28,3,6,CHI 16,7,0,Mitchell Trubisky pass complete deep right to Kevin White for 22 yards (tackle by Harrison Smith),-0.950,1.470
1,2:42,1,10,CHI 38,7,0,"Tarik Cohen left end for no gain (tackle by Jayron Kearse). Penalty on Adam Shaheen: Offensive Holding, 10 yards (no play)",1.470,0.810
1,2:14,1,20,CHI 28,7,0,Mitchell Trubisky pass complete short right to Taylor Gabriel for 8 yards (tackle by Trae Waynes),0.810,0.650
1,1:30,2,12,CHI 36,7,0,Mitchell Trubisky pass complete short left to Josh Bellamy for 2 yards (tackle by Holton Hill),0.650,0.230
1,0:44,3,10,CHI 38,7,0,Mitchell Trubisky pass complete short right to Taylor Gabriel for 9 yards (tackle by Eric Wilson),0.230,-0.260
Quarter,Time,Down,ToGo,Location,CHI,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,1,CHI 47,7,0,"Penalty on CHI: Delay of Game, 6 yards (no play)",-0.260,-0.650
2,15:00,4,7,CHI 41,7,0,"Pat O'Donnell punts 47 yards, fair catch by Brandon Zylstra at MIN-12",-0.650,0.350
2,14:54,1,10,MIN 12,7,0,Adam Thielen left end for -1 yards (tackle by Leonard Floyd),-0.350,-0.850
2,14:12,2,11,MIN 11,7,0,Kirk Cousins pass complete short right to Dalvin Cook for -1 yards (tackle by Danny Trevathan),-0.850,-1.650
2,13:34,3,12,MIN 10,7,0,Kirk Cousins sacked by Akiem Hicks and Roy Robertson-Harris for -7 yards. Penalty on Tom Compton: Offensive Holding (Declined),-1.650,-2.490
2,13:15,4,19,MIN 3,7,0,"Matt Wile punts 65 yards, returned by Tarik Cohen for -2 yards (tackle by Kentrell Brothers and Eric Wilson). Penalty on Pat O'Donnell: Unsportsmanlike Conduct, 15 yards",-2.490,0.220
2,12:56,1,10,CHI 15,7,0,Mitchell Trubisky pass complete short left to Taylor Gabriel for 4 yards (tackle by Holton Hill),-0.220,-0.110
2,12:19,2,6,CHI 19,7,0,Mitchell Trubisky pass complete short right to Trey Burton for 6 yards (tackle by Anthony Harris),-0.110,0.610
2,11:38,1,10,CHI 25,7,0,Mitchell Trubisky pass complete short left to Javon Wims for 3 yards (tackle by Jayron Kearse),0.610,0.470
2,11:06,2,7,CHI 28,7,0,Mitchell Trubisky pass complete short middle to Trey Burton for 1 yard (tackle by Mackensie Alexander),0.470,-0.100
2,10:15,3,6,CHI 29,7,0,"Penalty on CHI: Delay of Game, 5 yards (no play)",-0.100,-0.760
2,9:48,,,,,,Timeout #2 by Chicago Bears,,
2,9:48,3,11,CHI 24,7,0,"Mitchell Trubisky pass incomplete deep left intended for Josh Bellamy. Penalty on Stephen Weatherly: Roughing the Passer, 15 yards (no play)",-0.760,1.530
2,9:42,1,10,CHI 39,7,0,Tarik Cohen right tackle for 6 yards (tackle by Eric Wilson),1.530,1.800
2,9:07,2,4,CHI 45,7,0,Jordan Howard right tackle for 11 yards (tackle by Everson Griffen),1.800,2.650
2,8:29,1,10,MIN 44,7,0,Jordan Howard left guard for 3 yards (tackle by Linval Joseph and Danielle Hunter),2.650,2.520
2,7:46,2,7,MIN 41,7,0,Mitchell Trubisky pass incomplete short middle intended for Josh Bellamy,2.520,1.820
2,7:43,3,7,MIN 41,7,0,Mitchell Trubisky pass complete deep left to Taylor Gabriel for 40 yards (tackle by Holton Hill),1.820,6.970
2,7:20,1,1,MIN 1,13,0,"Jordan Howard up the middle for 1 yard, touchdown",6.970,7.000
2,7:17,,,MIN 15,13,0,Cody Parkey kicks extra point no good hit right upright,0.000,-1.000
2,7:17,,,CHI 35,13,0,"Cody Parkey kicks off 65 yards, touchback.",0.000,0.610
2,7:17,1,10,MIN 25,13,0,Kirk Cousins pass complete short left to Adam Thielen for 9 yards (tackle by Roquan Smith),0.610,1.280
2,6:43,2,1,MIN 34,13,0,Dalvin Cook right tackle for no gain (tackle by Leonard Floyd),1.280,0.560
2,6:12,3,1,MIN 34,13,0,Dalvin Cook left guard for 3 yards (tackle by Sherrick McManis),0.560,1.400
2,5:34,1,10,MIN 37,13,0,Kirk Cousins pass incomplete deep left intended for Aldrick Robinson,1.400,0.860
2,5:28,2,10,MIN 37,13,0,Dalvin Cook right guard for 4 yards (tackle by Bilal Nichols),0.860,0.700
2,4:44,3,6,MIN 41,13,0,"Kirk Cousins right end for no gain (tackle by Danny Trevathan). Penalty on Mike Remmers: Offensive Holding, 10 yards (no play)",0.700,-0.620
2,4:19,3,16,MIN 31,13,0,Kirk Cousins pass complete short left to Kyle Rudolph for 9 yards (tackle by DeAndre Houston-Carson),-0.620,-0.720
2,3:42,4,7,MIN 40,13,0,"Matt Wile punts 48 yards, fair catch by Tarik Cohen at CHI-12",-0.720,0.350
2,3:35,1,10,CHI 12,13,0,Jordan Howard left tackle for 5 yards (tackle by Mackensie Alexander),-0.350,-0.230
2,2:53,2,5,CHI 17,13,0,Jordan Howard left end for 2 yards (tackle by Eric Wilson and Anthony Barr),-0.230,-0.600
2,2:08,3,3,CHI 19,13,0,Mitchell Trubisky pass incomplete short middle intended for Josh Bellamy (defended by Mackensie Alexander),-0.600,-2.140
2,2:04,4,3,CHI 19,13,0,"Pat O'Donnell punts 45 yards, fair catch by Brandon Zylstra at MIN-36",-2.140,-1.330
2,1:57,1,10,MIN 36,13,0,Kirk Cousins pass complete short middle to Kyle Rudolph for 5 yards (tackle by Roquan Smith),1.330,1.470
2,1:33,2,5,MIN 41,13,0,Kirk Cousins pass complete short left to Stefon Diggs for 8 yards (tackle by Prince Amukamara). Penalty on Prince Amukamara: Defensive Pass Interference (Declined),1.470,2.190
2,1:29,1,10,MIN 49,13,0,Dalvin Cook right end for 5 yards (tackle by Sherrick McManis),2.190,2.320
2,1:24,2,5,CHI 46,13,0,Kirk Cousins pass complete short right to Kyle Rudolph for no gain (tackle by Adrian Amos),2.320,1.620
2,1:18,3,5,CHI 46,13,0,"Kirk Cousins pass incomplete deep middle intended for Adam Thielen. Penalty on Deon Bush: Face Mask (15 Yards), 15 yards (no play)",1.620,3.510
2,1:13,1,10,CHI 31,13,0,Kirk Cousins pass complete short left to Stefon Diggs for 4 yards (tackle by Roquan Smith),3.510,3.510
2,1:06,,,,,,Timeout #1 by Minnesota Vikings,,
2,1:06,2,6,CHI 27,13,0,Kirk Cousins pass incomplete short left intended for Dalvin Cook,3.510,2.810
2,1:03,3,6,CHI 27,13,0,Kirk Cousins pass incomplete deep right intended for Adam Thielen,2.810,1.700
2,0:58,4,6,CHI 27,13,3,Dan Bailey 45 yard field goal good,1.700,3.000
