Unnamed: 0,CHI,MIN
First Downs,17,12
Rush-Yds-TDs,37-169-3,15-63-0
Cmp-Att-Yd-TD-INT,18-26-163-0-0,20-33-132-1-0
Sacked-Yards,0-0,4-31
Net Pass Yards,163,101
Total Yards,332,164
Fumbles-Lost,2-0,0-0
Turnovers,0,0
Penalties-Yards,11-102,3-30
Third Down Conv.,8-14,1-11
Fourth Down Conv.,0-1,1-4
Time of Possession,37:08,22:52
