Quarter,Time,Tm,Detail,CHI,MIN
1.0,10:38,Bears,Jordan Howard 6 yard rush (Cody Parkey kick),7,0
2.0,7:17,Bears,Jordan Howard 1 yard rush (Cody Parkey kick failed),13,0
,0:53,Vikings,Dan Bailey 45 yard field goal,13,3
3.0,1:51,Vikings,Stefon Diggs 2 yard pass from Kirk Cousins (Dan Bailey kick),13,10
4.0,7:46,Bears,Tarik Cohen 3 yard rush (Nick Kwiatkoski pass from Mitchell Trubisky),21,10
,4:25,Bears,Cody Parkey 42 yard field goal,24,10
