Unnamed: 0,DEN,LAC
First Downs,19,17
Rush-Yds-TDs,31-106-1,19-76-1
Cmp-Att-Yd-TD-INT,21-33-224-2-1,22-42-275-0-1
Sacked-Yards,2-8,6-68
Net Pass Yards,216,207
Total Yards,322,283
Fumbles-Lost,0-0,2-1
Turnovers,1,2
Penalties-Yards,4-26,2-10
Third Down Conv.,8-17,0-12
Fourth Down Conv.,0-0,1-6
Time of Possession,33:29,26:31
