Quarter,Time,Down,ToGo,Location,DEN,LAC,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss and deferred, Chargers to receive the opening kickoff.",,
1,15:00,,,DEN 35,0,0,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,LAC 25,0,0,Austin Ekeler up the middle for 8 yards (tackle by Baron Browning and Justin Simmons),0.610,1.140
1,14:28,2,2,LAC 33,0,0,Austin Ekeler left tackle for 4 yards (tackle by D.J. Jones and Alex Singleton),1.140,1.400
1,13:53,1,10,LAC 37,0,0,Justin Herbert pass incomplete deep right intended for Keenan Allen,1.400,0.860
1,13:45,2,10,LAC 37,0,0,Joshua Kelley left guard for 3 yards (tackle by Alex Singleton and P.J. Locke),0.860,0.560
1,13:04,3,7,LAC 40,0,0,Justin Herbert sacked by Alex Singleton for -11 yards,0.560,-1.440
1,12:18,4,18,LAC 29,0,0,"JK Scott punts 53 yards, fair catch by Marvin Mims at DEN-18. Penalty on Michael Burton: Defensive Holding, 9 yards (accepted)",-1.440,0.380
1,12:10,1,10,DEN 9,0,0,"Russell Wilson pass complete short right to Marvin Mims for no gain (tackle by Michael Davis) LAC challenged the pass interception ruling, and the original play was overturned. Russell Wilson pass short right intended for Marvin Mims is intercepted by Michael Davis at DEN-13 and returned for no gain (tackle by Marvin Mims)",-0.380,-4.710
1,12:07,1,10,DEN 13,0,0,Austin Ekeler up the middle for -2 yards (tackle by Nik Bonitto),4.710,3.760
1,11:35,2,12,DEN 15,0,0,Justin Herbert pass complete short right to Alex Erickson for 9 yards (tackle by Ja'Quan McMillian),3.760,4.560
1,10:57,3,3,DEN 6,0,0,Justin Herbert pass incomplete short middle intended for Quentin Johnston,4.560,3.010
1,10:52,4,3,DEN 6,0,0,Justin Herbert pass incomplete short left intended for Gerald Everett,3.010,0.380
1,10:47,1,10,DEN 6,0,0,Javonte Williams left end for 13 yards (tackle by Michael Davis),-0.380,0.150
1,10:07,1,10,DEN 19,0,0,Russell Wilson pass complete short middle to Jerry Jeudy for 7 yards (tackle by Alohi Gilman),0.150,0.610
1,9:30,2,3,DEN 26,0,0,Javonte Williams right tackle for 5 yards (tackle by Derwin James),0.610,1.000
1,8:49,1,10,DEN 31,0,0,Russell Wilson pass complete short middle to Javonte Williams for 5 yards (tackle by Asante Samuel and Derwin James),1.000,1.140
1,8:06,2,5,DEN 36,0,0,Russell Wilson pass complete short left to Courtland Sutton for 16 yards (tackle by Alohi Gilman),1.140,2.390
1,7:24,1,10,LAC 48,0,0,Russell Wilson pass complete short right to Courtland Sutton for no gain (tackle by Asante Samuel),2.390,1.850
1,6:42,2,10,LAC 48,0,0,Jaleel McLaughlin right guard for 5 yards (tackle by Kenneth Murray),1.850,1.820
1,6:05,3,5,LAC 43,0,0,Russell Wilson pass incomplete short left intended for Jaleel McLaughlin,1.820,0.400
1,6:00,4,5,LAC 43,0,0,Riley Dixon punts 34 yards downed by Ben Niemann,0.400,0.380
1,5:50,1,10,LAC 9,0,0,Joshua Kelley up the middle for 3 yards (tackle by Mike Purcell),-0.380,-0.560
1,5:13,2,7,LAC 12,0,0,Justin Herbert pass incomplete deep right intended for Alex Erickson,-0.560,-1.070
1,5:07,3,7,LAC 12,0,0,Justin Herbert pass short middle (defended by Baron Browning) intended for Keenan Allen is intercepted by Jonathon Cooper at LAC-7 and returned for 4 yards (tackle by Rashawn Slater),-1.070,-6.510
1,5:00,1,3,LAC 3,6,0,"Javonte Williams up the middle for 3 yards, touchdown",6.510,7.000
1,4:55,,,LAC 15,7,0,Wil Lutz kicks extra point good,0.000,0.000
1,4:55,,,DEN 35,7,0,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
1,4:55,1,10,LAC 25,7,0,Justin Herbert pass complete short middle to Gerald Everett for 12 yards (tackle by P.J. Locke),0.610,1.400
1,4:19,1,10,LAC 37,7,0,Isaiah Spiller right tackle for 5 yards (tackle by Jonathan Harris and Josey Jewell),1.400,1.530
1,3:39,2,5,LAC 42,7,0,Justin Herbert sacked by Ja'Quan McMillian for -10 yards,1.530,-0.490
1,2:57,3,15,LAC 32,7,0,Justin Herbert pass complete short left to Quentin Johnston for 12 yards (tackle by Alex Singleton and P.J. Locke),-0.490,-0.460
1,2:37,4,3,LAC 44,7,0,"JK Scott punts 42 yards, fair catch by Marvin Mims at DEN-14",-0.460,0.280
1,2:30,1,10,DEN 14,7,0,Javonte Williams right end for 1 yard (tackle by Michael Davis and Alohi Gilman),-0.280,-0.640
1,1:54,2,9,DEN 15,7,0,Russell Wilson pass complete short left to Marvin Mims for 8 yards (tackle by Asante Samuel),-0.640,-0.320
1,1:10,3,1,DEN 23,7,0,Russell Wilson up the middle for 2 yards (tackle by Eric Kendricks),-0.320,0.610
1,0:37,1,10,DEN 25,7,0,Javonte Williams right end for 3 yards (tackle by Asante Samuel),0.610,0.470
Quarter,Time,Down,ToGo,Location,DEN,LAC,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,DEN 28,7,0,Javonte Williams up the middle for 3 yards (tackle by Austin Johnson),0.470,0.170
2,14:30,3,4,DEN 31,7,0,Russell Wilson sacked by Kenneth Murray for no gain,0.170,-1.310
2,13:48,4,4,DEN 31,7,0,"Riley Dixon punts 56 yards, fair catch by Derius Davis at LAC-13",-1.310,0.320
2,13:39,1,10,LAC 13,7,0,Austin Ekeler left end for 5 yards (tackle by Alex Singleton and P.J. Locke),-0.320,-0.140
2,13:01,2,5,LAC 18,7,0,Justin Herbert pass complete short right to Gerald Everett for 9 yards (tackle by Alex Singleton),-0.140,0.740
2,12:25,1,10,LAC 27,7,0,Justin Herbert pass incomplete short left,0.740,0.200
2,12:19,2,10,LAC 27,7,0,Justin Herbert pass incomplete short middle intended for Keenan Allen (defended by Josey Jewell),0.200,-0.490
2,12:13,3,10,LAC 27,7,0,Justin Herbert sacked by Zach Allen for -10 yards,-0.490,-2.320
2,11:32,4,20,LAC 17,7,0,"JK Scott punts 83 yards, touchback.",-2.320,-0.280
2,11:22,1,10,DEN 20,7,0,Russell Wilson pass complete short left to Javonte Williams for 14 yards (tackle by Eric Kendricks),0.280,1.200
2,10:46,1,10,DEN 34,7,0,Jaleel McLaughlin left tackle for 9 yards (tackle by Scott Matlock),1.200,1.870
2,10:10,2,1,DEN 43,7,0,Michael Burton right guard for 2 yards (tackle by Kenneth Murray and Eric Kendricks),1.870,1.930
2,9:30,1,10,DEN 45,7,0,Russell Wilson pass incomplete deep right intended for Jerry Jeudy,1.930,1.380
2,9:21,2,10,DEN 45,7,0,Javonte Williams right guard for 4 yards (tackle by Khalil Mack),1.380,1.220
2,8:57,,,,,,Timeout #1 by Denver Broncos,,
2,8:57,3,6,DEN 49,7,0,Russell Wilson sacked by Eric Kendricks for -8 yards,1.220,-0.650
2,8:18,4,14,DEN 41,7,0,"Riley Dixon punts 41 yards, fair catch by Derius Davis at LAC-18",-0.650,-0.040
2,8:10,1,10,LAC 18,7,0,Isaiah Spiller right guard for 6 yards (tackle by Josey Jewell and Justin Simmons),0.040,0.410
2,7:36,2,4,LAC 24,7,0,Justin Herbert pass complete short middle to Jalen Guyton for 8 yards (tackle by Alex Singleton),0.410,1.070
2,7:06,1,10,LAC 32,7,0,Isaiah Spiller up the middle for -1 yards (tackle by Baron Browning and Justin Simmons),1.070,0.390
2,6:26,2,11,LAC 31,7,0,Justin Herbert pass complete short middle to Austin Ekeler for 18 yards (tackle by Alex Singleton),0.390,2.190
2,6:02,1,10,LAC 49,7,0,Justin Herbert pass complete short right to Gerald Everett for 3 yards (tackle by Matt Henningsen and Alex Singleton),2.190,2.050
2,5:20,2,7,DEN 48,7,0,Justin Herbert pass complete short middle to Donald Parham for 11 yards (tackle by Patrick Surtain),2.050,3.120
2,4:53,1,10,DEN 37,7,0,Keenan Allen pass incomplete deep right intended for Alex Erickson,3.120,2.570
2,4:46,2,10,DEN 37,7,0,Justin Herbert sacked by Josey Jewell for -6 yards,2.570,1.090
2,4:06,3,16,DEN 43,7,0,Justin Herbert pass complete short right to Austin Ekeler for 14 yards (tackle by Jonathon Cooper and Riley Moss),1.090,1.600
2,3:18,4,2,DEN 29,7,0,"Justin Herbert pass incomplete deep right intended for Alex Erickson Penalty on LAC: Illegal Shift, 5 yards (declined)",1.600,-0.940
2,3:11,1,10,DEN 30,7,0,Russell Wilson pass incomplete deep right intended for Jerry Jeudy (defended by Asante Samuel),0.940,0.390
2,3:04,2,10,DEN 30,7,0,"Russell Wilson pass complete short left to Adam Trautman for no gain. Penalty on Courtland Sutton: Offensive Pass Interference, 10 yards (accepted) (no play)",0.390,-0.960
2,2:41,2,20,DEN 20,7,0,Russell Wilson pass incomplete short left intended for Javonte Williams,-0.960,-1.620
2,2:38,3,20,DEN 20,7,0,Russell Wilson pass complete short right to Samaje Perine for 7 yards (tackle by Kenneth Murray),-1.620,-1.570
2,2:00,4,13,DEN 27,7,0,"Riley Dixon punts 49 yards, fair catch by Derius Davis at LAC-24",-1.570,-0.540
2,1:52,1,10,LAC 24,7,0,Easton Stick pass complete short left to Keenan Allen for 3 yards (tackle by Patrick Surtain),0.540,0.400
2,1:48,2,7,LAC 27,7,0,Easton Stick pass incomplete short right intended for Gerald Everett (defended by Ja'Quan McMillian),0.400,-0.300
2,1:44,3,7,LAC 27,7,0,"Easton Stick sacked by Ja'Quan McMillian for no gain. Easton Stick fumbles (forced by Ja'Quan McMillian), recovered by Ja'Quan McMillian at LAC-17, touchdown Replay Assistant challenged the fumble ruling, and the original play was overturned. Easton Stick pass incomplete short left intended for Alex Erickson (defended by Ja'Quan McMillian)",-0.300,-1.570
2,1:41,4,7,LAC 27,7,0,"JK Scott punts 56 yards, returned by Marvin Mims for 13 yards (tackle by Blake Lynch)",-1.570,-0.940
2,1:28,1,10,DEN 30,7,0,Russell Wilson pass complete short left to Samaje Perine for 3 yards (tackle by Alohi Gilman),0.940,0.800
2,1:24,2,7,DEN 33,7,0,Russell Wilson pass complete short left to Samaje Perine for 8 yards (tackle by Kenneth Murray),0.800,1.660
2,1:04,1,10,DEN 41,7,0,Russell Wilson pass complete short middle to Samaje Perine for 9 yards (tackle by Kenneth Murray),1.660,2.340
2,0:42,2,1,LAC 50,7,0,Russell Wilson pass incomplete deep right intended for Jerry Jeudy,2.340,1.620
2,0:35,3,1,LAC 50,7,0,Samaje Perine up the middle for 5 yards (tackle by Derwin James and Sebastian Joseph-Day),1.620,2.590
2,0:31,,,,,,Timeout #2 by Denver Broncos,,
2,0:31,1,10,LAC 45,7,0,Russell Wilson pass complete deep right to Lucas Krull for 35 yards (tackle by Alohi Gilman),2.590,4.910
2,0:23,1,10,LAC 10,7,0,"Penalty on Alohi Gilman: Face Mask (15 Yards), 5 yards (accepted) (no play)",4.910,6.060
2,0:23,1,5,LAC 5,7,0,Russell Wilson pass incomplete short right,6.060,5.150
2,0:13,2,5,LAC 5,7,0,"Russell Wilson pass complete to Jerry Jeudy for no gain, touchdown Replay Assistant challenged the pass completion ruling, and the original play was overturned. Russell Wilson pass incomplete short left intended for Jerry Jeudy",5.150,4.260
2,0:12,3,5,LAC 5,7,0,Russell Wilson pass incomplete short right intended for Adam Trautman (defended by Derwin James),4.260,3.010
2,0:08,4,5,LAC 5,10,0,Wil Lutz 23 yard field goal good,3.010,3.000
2,0:05,,,DEN 35,10,0,"Wil Lutz kicks off 69 yards, returned by Derius Davis for 24 yards (tackle by Jaleel McLaughlin)",0.000,1.270
Quarter,Time,Down,ToGo,Location,DEN,LAC,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAC 35,10,0,"Cameron Dicker kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,DEN 25,10,0,Russell Wilson pass complete short left to Marvin Mims for 3 yards (tackle by Austin Johnson and Alohi Gilman),0.610,0.470
3,14:24,2,7,DEN 28,10,0,Jaleel McLaughlin up the middle for 6 yards (tackle by Derwin James and Tuli Tuipulotu),0.470,0.560
3,13:41,3,1,DEN 34,10,0,Russell Wilson up the middle for no gain (tackle by Tuli Tuipulotu),0.560,-1.110
3,12:52,4,1,DEN 34,10,0,"Penalty on DEN: Delay of Game, 4 yards (accepted) (no play)",-1.110,-1.370
3,12:43,4,5,DEN 30,10,0,"Riley Dixon punts 48 yards, fair catch by Derius Davis at LAC-22",-1.370,-0.410
3,12:38,1,10,LAC 22,10,0,Austin Ekeler up the middle for 9 yards (tackle by Alex Singleton and Josey Jewell),0.410,1.080
3,12:04,2,1,LAC 31,10,0,Austin Ekeler right guard for 6 yards (tackle by Justin Simmons and Fabian Moreau),1.080,1.400
3,11:28,1,10,LAC 37,10,0,Austin Ekeler right guard for 3 yards (tackle by Jonathon Cooper and Josey Jewell),1.400,1.260
3,10:52,2,7,LAC 40,10,0,Easton Stick pass complete short left to Keenan Allen for 11 yards (tackle by Fabian Moreau),1.260,2.320
3,10:15,1,10,DEN 49,10,0,Isaiah Spiller left tackle for 4 yards (tackle by D.J. Jones and Josey Jewell),2.320,2.320
3,9:37,2,6,DEN 45,10,0,Isaiah Spiller right end for 5 yards (tackle by Drew Sanders),2.320,2.280
3,8:56,3,1,DEN 40,10,0,Isaiah Spiller right end for no gain (tackle by Josey Jewell),2.280,0.590
3,8:11,,,,,,Timeout #1 by Los Angeles Chargers,,
3,8:11,4,1,DEN 40,10,0,Joshua Kelley left tackle for no gain (tackle by Josey Jewell and Alex Singleton),0.590,-1.600
3,8:07,1,10,DEN 40,10,0,Javonte Williams right end for -1 yards (tackle by Nick Williams),1.600,0.920
3,7:24,2,11,DEN 39,10,0,Russell Wilson pass complete short left to Jerry Jeudy for 9 yards (tackle by Derwin James and Jaylinn Hawkins),0.920,1.420
3,6:42,3,2,DEN 48,10,0,Russell Wilson pass complete short right to Javonte Williams for 6 yards (tackle by Derwin James),1.420,2.520
3,6:05,1,10,LAC 46,16,0,"Russell Wilson pass complete deep right to Courtland Sutton for 46 yards, touchdown. Penalty on Michael Davis: Defensive Pass Interference, 15 yards (declined)",2.520,7.000
3,5:55,,,LAC 15,17,0,Wil Lutz kicks extra point good,0.000,0.000
3,5:55,,,DEN 35,17,0,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
3,5:55,1,10,LAC 25,17,0,Easton Stick pass incomplete short right intended for Keenan Allen (defended by Fabian Moreau),0.610,0.060
3,5:48,2,10,LAC 25,17,0,Austin Ekeler right guard for 6 yards (tackle by Alex Singleton and P.J. Locke),0.060,0.170
