Unnamed: 0,TAM,KAN
First Downs,27,19
Rush-Yds-TDs,34-116-0,21-82-1
Cmp-Att-Yd-TD-INT,24-39-331-1-0,24-31-261-1-1
Sacked-Yards,1-5,0-0
Net Pass Yards,326,261
Total Yards,442,343
Fumbles-Lost,2-1,2-1
Turnovers,1,2
Penalties-Yards,7-42,5-30
Third Down Conv.,11-16,4-8
Fourth Down Conv.,0-0,0-0
Time of Possession,35:18,24:42
