Quarter,Time,Tm,Detail,TAM,KAN
1.0,7:07,Chiefs,Cairo Santos 22 yard field goal,0,3
2.0,9:45,Buccaneers,Roberto Aguayo 31 yard field goal,3,3
,4:19,Buccaneers,Roberto Aguayo 22 yard field goal,6,3
,1:13,Chiefs,Alex Smith 11 yard rush (Cairo Santos kick),6,10
,0:07,Buccaneers,Roberto Aguayo 41 yard field goal,9,10
3.0,10:00,Buccaneers,Roberto Aguayo 36 yard field goal,12,10
4.0,6:26,Buccaneers,Alan Cross 3 yard pass from Jameis Winston (Roberto Aguayo kick),19,10
,2:27,Chiefs,Albert Wilson 3 yard pass from Alex Smith (Cairo Santos kick),19,17
