Unnamed: 0,TEN,PIT
First Downs,9,25
Rush-Yds-TDs,22-40-0,25-69-1
Cmp-Att-Yd-TD-INT,15-16-161-3-0,31-47-332-0-2
Sacked-Yards,1-3,3-25
Net Pass Yards,158,307
Total Yards,198,376
Fumbles-Lost,0-0,1-0
Turnovers,0,2
Penalties-Yards,10-77,8-80
Third Down Conv.,3-10,4-13
Fourth Down Conv.,0-0,2-3
Time of Possession,24:10,35:50
