Quarter,Time,Tm,Detail,TEN,PIT
1.0,5:43,Steelers,Jeff Reed 26 yard field goal,0,3
2.0,13:53,Steelers,Amos Zereoue 5 yard rush (Jeff Reed kick),0,10
,9:30,Titans,"Safety,",2,10
,7:51,Titans,Drew Bennett 10 yard pass from Steve McNair (Gary Anderson kick),9,10
,2:40,Steelers,Jeff Reed 23 yard field goal,9,13
,0:26,Titans,Erron Kinney 1 yard pass from Steve McNair (Gary Anderson kick),16,13
3.0,4:33,Titans,Justin McCareins 29 yard pass from Steve McNair (Gary Anderson kick),23,13
4.0,12:46,Titans,Rocky Boiman 60 yard interception return (Gary Anderson kick),30,13
