Unnamed: 0,PHI,DAL
First Downs,20,11
Rush-Yds-TDs,27-134-0,15-53-0
Cmp-Att-Yd-TD-INT,23-41-208-1-0,13-36-214-0-3
Sacked-Yards,4-27,4-27
Net Pass Yards,181,187
Total Yards,315,240
Fumbles-Lost,3-1,2-0
Turnovers,1,3
Penalties-Yards,4-35,6-45
Third Down Conv.,5-16,1-13
Fourth Down Conv.,0-0,1-1
Time of Possession,33:57,26:03
