Quarter,Time,Down,ToGo,Location,CAR,PHI,Detail,EPB,EPA
1,5:50,1,10,PHI 38,0,0,"Penalty on Donovan McNabb: Delay of Game, 5 yards (no play)",1.470,1.140
1,5:25,1,15,PHI 33,0,0,Donovan McNabb pass complete to L.J. Smith for 12 yards (tackle by Will Witherspoon),1.140,1.870
1,4:47,2,3,PHI 45,0,0,Donovan McNabb pass complete to Correll Buckhalter for 23 yards (tackle by Dan Morgan),1.870,3.450
1,4:05,1,10,CAR 32,0,0,Duce Staley up the middle for no gain (tackle by Dan Morgan),3.450,2.900
1,3:24,2,10,CAR 32,0,0,Donovan McNabb up the middle for 3 yards (tackle by Dan Morgan),2.900,2.610
1,2:39,3,7,CAR 29,0,0,Donovan McNabb sacked by Will Witherspoon for -7 yards,2.610,0.880
1,2:23,4,14,CAR 36,0,0,"Dirk Johnson punts 27 yards, fair catch by Steve Smith",0.880,0.380
1,2:16,1,10,CAR 9,0,0,Jake Delhomme pass complete to Brad Hoover for 6 yards (tackle by Bobby Taylor),-0.380,-0.280
1,1:43,2,4,CAR 15,0,0,Jake Delhomme pass incomplete intended for Nick Goings,-0.280,-0.720
1,1:37,3,4,CAR 15,0,0,Jake Delhomme pass complete to Nick Goings for 3 yards (tackle by Mark Simoneau),-0.720,-2.240
1,1:12,4,1,CAR 18,0,0,"Todd Sauerbrun punts 48 yards, returned by Reno Mahe for 3 yards (tackle by Jarrod Cooper)",-2.240,-1.400
1,1:00,1,10,PHI 37,0,0,Donovan McNabb pass incomplete intended for L.J. Smith,1.400,0.860
1,0:55,2,10,PHI 37,0,0,Duce Staley left end for 9 yards (tackle by Deon Grant),0.860,1.360
1,0:10,3,1,PHI 46,0,0,Donovan McNabb pass incomplete intended for Duce Staley (defended by Dan Morgan),1.360,-0.320
1,0:05,4,1,PHI 46,0,0,Dirk Johnson punts 33 yards,-0.320,-0.340
Quarter,Time,Down,ToGo,Location,CAR,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,CAR 21,0,0,DeShaun Foster up the middle for 4 yards (tackle by Mark Simoneau),0.340,0.340
2,14:20,2,6,CAR 25,0,0,Stephen Davis right guard for 5 yards (tackle by Nate Wayne),0.340,0.300
2,13:37,3,1,CAR 30,0,0,"DeShaun Foster right end for 1 yard (tackle by Ike Reese). DeShaun Foster fumbles (forced by Ike Reese), recovered by Jermaine Wiggins at CAR-32",0.300,1.070
2,13:10,1,10,CAR 32,0,0,Jake Delhomme pass complete to Stephen Davis for 21 yards (tackle by Michael Lewis),1.070,2.460
2,12:26,1,10,PHI 47,0,0,DeShaun Foster left tackle for 5 yards (tackle by Bobby Taylor),2.460,2.590
2,11:46,2,5,PHI 42,0,0,DeShaun Foster up the middle for 3 yards (tackle by Mark Simoneau),2.590,2.280
2,11:02,3,2,PHI 39,0,0,Jake Delhomme pass complete to Muhsin Muhammad for 15 yards (tackle by Troy Vincent),2.280,3.970
2,10:20,1,10,PHI 24,6,0,"Jake Delhomme pass complete to Muhsin Muhammad for 24 yards, touchdown",3.970,7.000
2,,,,PHI 2,7,0,John Kasay kicks extra point good,0.000,0.000
2,,,,CAR 30,7,0,"John Kasay kicks off 58 yards, returned by James Thrash for 21 yards (tackle by Kemp Rasmussen)",0.000,1.140
2,10:04,1,10,PHI 33,7,0,Correll Buckhalter left tackle for 2 yards (tackle by Mike Rucker),1.140,0.860
2,9:27,2,8,PHI 35,7,0,Donovan McNabb pass complete to James Thrash for 9 yards (tackle by Dante Wesley),0.860,1.860
2,8:44,1,10,PHI 44,7,0,Donovan McNabb pass incomplete intended for Todd Pinkston (defended by Ricky Manning),1.860,1.320
2,8:35,2,10,PHI 44,7,0,Duce Staley left tackle for 7 yards (tackle by Dan Morgan),1.320,1.550
2,7:52,3,3,CAR 49,7,0,Duce Staley left tackle for 3 yards (tackle by Mike Rucker),1.550,2.520
2,7:14,1,10,CAR 46,7,0,Donovan McNabb pass complete to Jon Ritchie for 1 yard (tackle by Dan Morgan),2.520,2.110
2,6:34,2,9,CAR 45,7,0,Donovan McNabb pass incomplete intended for Todd Pinkston,2.110,1.420
2,6:29,3,9,CAR 45,7,0,Duce Staley left end for 9 yards (tackle by Mike Minter and Dan Morgan),1.420,3.180
2,5:45,1,10,CAR 36,7,0,Correll Buckhalter left end for 4 yards (tackle by Reggie Howard and Will Witherspoon),3.180,3.180
2,5:04,2,6,CAR 32,7,0,Donovan McNabb pass complete to Freddie Mitchell for 9 yards (tackle by Reggie Howard),3.180,4.040
2,4:22,1,10,CAR 23,7,0,Donovan McNabb sacked by Mike Rucker for -7 yards,4.040,2.550
2,4:04,2,17,CAR 30,7,0,Koy Detmer pass complete to Duce Staley for -3 yards (tackle by Dan Morgan),2.550,1.490
2,3:21,3,20,CAR 33,7,0,Donovan McNabb pass complete to Freddie Mitchell for 10 yards (tackle by Deon Grant),1.490,1.930
,,,,,,,"PHI challenged the ruling, and the original play was overturned.",,
2,3:01,4,10,CAR 23,7,3,David Akers 41 yard field goal good,1.930,3.000
2,,,,PHI 30,7,3,"David Akers kicks off 73 yards, returned by Rod Smart for 40 yards (tackle by David Akers)",0.000,1.400
2,2:48,1,10,CAR 37,7,3,Jake Delhomme pass incomplete intended for Jermaine Wiggins (defended by Ike Reese),1.400,0.860
2,2:42,2,10,CAR 37,7,3,DeShaun Foster right tackle for 1 yard (tackle by Brandon Whiting),0.860,0.300
2,2:36,,,,7,3,Timeout #1 by Philadelphia Eagles,0.000,0.300
2,2:36,3,9,CAR 38,7,3,Jake Delhomme pass complete to DeShaun Foster for 6 yards (tackle by Michael Lewis),0.300,-0.460
2,2:29,4,3,CAR 44,7,3,"Todd Sauerbrun punts 56 yards, touchback",-0.460,-0.280
2,2:18,1,10,PHI 20,7,3,Duce Staley up the middle for 3 yards (tackle by Kris Jenkins and Dan Morgan),0.280,0.140
2,2:00,2,7,PHI 23,7,3,Duce Staley left tackle for 18 yards (tackle by Deon Grant),0.140,1.660
2,1:50,,,,7,3,Timeout #2 by Philadelphia Eagles,0.000,1.660
2,1:50,1,10,PHI 41,7,3,Donovan McNabb sacked by Brentson Buckner and Mike Minter for -7 yards,1.660,0.180
2,1:13,2,17,PHI 34,7,3,Donovan McNabb pass complete to Duce Staley for 10 yards (tackle by Terry Cousin),0.180,0.830
2,0:52,3,7,PHI 44,7,3,Donovan McNabb pass incomplete intended for James Thrash is intercepted by Ricky Manning at CAR-40,0.830,-1.600
2,0:47,1,10,CAR 40,7,3,Muhsin Muhammad left end for 5 yards (tackle by N.D. Kalu),1.600,1.730
2,0:39,,,,7,3,Timeout #1 by Carolina Panthers,0.000,1.730
2,0:39,2,5,CAR 45,7,3,DeShaun Foster up the middle for 1 yard (tackle by Jerome McDougle),1.730,1.160
2,0:31,,,,7,3,Timeout #2 by Carolina Panthers,0.000,1.160
2,0:31,3,4,CAR 46,7,3,"Jake Delhomme pass incomplete intended for Muhsin Muhammad. Penalty on Jordan Gross: False Start, 5 yards (no play)",1.160,0.500
2,0:29,3,9,CAR 41,7,3,Jake Delhomme pass incomplete intended for Ricky Proehl (defended by Troy Vincent),0.500,-0.650
2,0:26,4,9,CAR 41,7,3,Todd Sauerbrun punts 30 yards,-0.650,-0.870
2,0:15,1,10,PHI 29,7,3,Donovan McNabb sacked by Brentson Buckner for -7 yards,0.870,-0.620
Quarter,Time,Down,ToGo,Location,CAR,PHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CAR 30,7,3,"John Kasay kicks off 60 yards, returned by James Thrash for 21 yards (tackle by Jarrod Cooper)",0.000,1.000
3,14:54,1,10,PHI 31,7,3,Duce Staley for 9 yards (tackle by Deon Grant),1.000,1.680
3,14:20,2,1,PHI 40,7,3,Duce Staley right tackle for 5 yards (tackle by Mike Rucker),1.680,1.930
3,13:42,1,10,PHI 45,7,3,Correll Buckhalter left guard for 2 yards (tackle by Mike Rucker),1.930,1.650
3,13:00,2,8,PHI 47,7,3,Donovan McNabb pass complete to Duce Staley for 19 yards (tackle by Mike Minter),1.650,3.310
3,12:29,1,10,CAR 34,7,3,Correll Buckhalter right end for 9 yards (tackle by Ricky Manning),3.310,3.990
3,11:43,2,1,CAR 25,7,3,Correll Buckhalter left end for 3 yards (tackle by Mike Rucker),3.990,4.110
3,11:10,1,10,CAR 22,7,3,Correll Buckhalter left guard for 4 yards (tackle by Julius Peppers),4.110,4.130
3,10:30,2,6,CAR 18,7,3,Donovan McNabb pass incomplete intended for Freddie Mitchell,4.130,3.400
3,10:23,3,6,CAR 18,7,3,Donovan McNabb pass incomplete is intercepted by Ricky Manning at CAR-14 and returned for 2 yards (tackle by Todd Pinkston),3.400,0.140
3,10:18,1,10,CAR 16,7,3,Stephen Davis left guard for 7 yards (tackle by Nate Wayne and Michael Lewis),-0.140,0.420
3,9:41,2,3,CAR 23,7,3,Stephen Davis left end for 7 yards (tackle by Mark Simoneau),0.420,0.940
3,9:00,1,10,CAR 30,7,3,Jake Delhomme pass complete to Steve Smith for 4 yards (tackle by Bobby Taylor),0.940,0.930
3,8:31,2,6,CAR 34,7,3,DeShaun Foster right tackle for 3 yards (tackle by Ike Reese),0.930,0.630
3,7:48,3,3,CAR 37,7,3,Brad Hoover left tackle for 2 yards (tackle by Ike Reese),0.630,-0.780
3,7:19,4,1,CAR 39,7,3,Todd Sauerbrun punts 25 yards,-0.780,-1.330
3,7:11,1,10,PHI 36,7,3,"Penalty on Tra Thomas: False Start, 5 yards (no play)",1.330,1.000
3,7:11,1,15,PHI 31,7,3,Correll Buckhalter right end for 2 yards (tackle by Deon Grant),1.000,0.390
3,6:35,2,13,PHI 33,7,3,Donovan McNabb pass incomplete intended for James Thrash (defended by Reggie Howard),0.390,-0.300
3,6:35,3,13,PHI 33,7,3,Donovan McNabb pass incomplete intended for James Thrash is intercepted by Ricky Manning at tm_-50 and returned for 13 yards (tackle by John Welbourn),-0.300,-3.120
3,6:18,1,10,PHI 37,7,3,DeShaun Foster right end for 8 yards (tackle by Michael Lewis),3.120,3.650
3,5:40,2,2,PHI 29,7,3,DeShaun Foster left end for 9 yards (tackle by Troy Vincent),3.650,4.240
3,5:06,1,10,PHI 20,7,3,Rod Smart left end for 5 yards (tackle by Marco Coleman),4.240,4.450
3,4:23,2,5,PHI 15,7,3,"Jake Delhomme pass incomplete intended for Steve Smith (defended by Lito Sheppard). Penalty on Lito Sheppard: Defensive Pass Interference, 14 yards (no play)",4.450,6.970
3,4:18,1,1,PHI 1,13,3,"DeShaun Foster right end for 1 yard, touchdown",6.970,7.000
3,,,,PHI 2,14,3,John Kasay kicks extra point good,0.000,0.000
3,,,,CAR 30,14,3,"John Kasay kicks off 52 yards, returned by James Thrash for 20 yards (tackle by Jarrod Cooper)",0.000,1.470
3,4:05,1,10,PHI 38,14,3,Donovan McNabb pass complete to Correll Buckhalter for 3 yards (tackle by Will Witherspoon),1.470,1.330
3,3:37,2,7,PHI 41,14,3,Duce Staley left guard for 5 yards (tackle by Terry Cousin),1.330,1.290
3,2:54,3,2,PHI 46,14,3,Donovan McNabb pass incomplete intended for Chad Lewis (defended by Deon Grant). Penalty on Tra Thomas: Offensive Holding (Declined),1.290,-0.320
3,2:49,4,2,PHI 46,14,3,"Dirk Johnson punts 54 yards, touchback",-0.320,-0.280
3,2:34,1,10,CAR 20,14,3,Stephen Davis left guard for 4 yards (tackle by Sam Rayburn and N.D. Kalu),0.280,0.270
3,1:52,2,6,CAR 24,14,3,Stephen Davis left guard for -1 yards (tackle by Corey Simon),0.270,-0.560
3,1:09,3,7,CAR 23,14,3,Jake Delhomme pass incomplete intended for DeShaun Foster,-0.560,-1.830
3,1:09,4,7,CAR 23,14,3,Todd Sauerbrun punts 40 yards,-1.830,-1.400
3,0:56,1,10,PHI 37,14,3,Correll Buckhalter left tackle for 3 yards (tackle by Dan Morgan),1.400,1.260
3,0:15,2,7,PHI 40,14,3,Donovan McNabb pass incomplete intended for James Thrash (defended by Dan Morgan),1.260,0.560
3,0:11,3,7,PHI 40,14,3,Donovan McNabb pass incomplete intended for Duce Staley (defended by Will Witherspoon),0.560,-0.720
3,0:03,4,7,PHI 40,14,3,Dirk Johnson punts 33 yards,-0.720,-0.740
Quarter,Time,Down,ToGo,Location,CAR,PHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,CAR 27,14,3,DeShaun Foster left end for 3 yards (tackle by Bobby Taylor),0.740,0.600
4,14:18,2,7,CAR 30,14,3,Jake Delhomme pass complete to Steve Smith for 15 yards (tackle by Troy Vincent),0.600,1.930
,,,,,,,"CAR challenged the ruling, and the original play was overturned.",,
4,13:54,1,10,CAR 45,14,3,DeShaun Foster left tackle for 3 yards (tackle by Ike Reese),1.930,1.790
4,13:12,2,7,CAR 48,14,3,Stephen Davis left end for 5 yards (tackle by Nate Wayne),1.790,1.750
4,12:28,3,2,PHI 47,14,3,DeShaun Foster left end for 13 yards (tackle by Mark Simoneau),1.750,3.310
4,11:51,1,10,PHI 34,14,3,Stephen Davis right end for 2 yards (tackle by Mark Simoneau),3.310,3.040
4,11:05,,,,14,3,Timeout #1 by Carolina Panthers,0.000,3.040
4,11:05,2,8,PHI 32,14,3,Stephen Davis up the middle for 2 yards (tackle by Mark Simoneau and Nate Wayne),3.040,2.610
4,10:26,3,6,PHI 30,14,3,Stephen Davis up the middle for -5 yards (tackle by Corey Simon and N.D. Kalu),2.610,0.970
4,9:44,4,11,PHI 35,14,3,Todd Sauerbrun punts 27 yards,0.970,0.380
4,9:31,1,10,PHI 8,14,3,Duce Staley right guard for 4 yards (tackle by Dan Morgan),-0.380,-0.490
4,8:59,2,6,PHI 12,14,3,"Koy Detmer pass complete to Bobbie Williams for no gain. Penalty on Bobbie Williams: Illegal Touch Pass (Offsetting), Penalty on Terry Cousin: Illegal Use of Hands (Offsetting) (no play)",-0.490,-0.490
4,8:46,2,6,PHI 12,14,3,Correll Buckhalter left guard for 8 yards (tackle by Mike Minter),-0.490,0.280
4,8:16,1,10,PHI 20,14,3,Koy Detmer pass complete to Freddie Mitchell for 12 yards (tackle by Terry Cousin),0.280,1.070
4,7:49,1,10,PHI 32,14,3,"Duce Staley left tackle for 3 yards (tackle by Mike Minter and Shane Burton). Penalty on Mike Minter: Face Mask (15 Yards), 15 yards",1.070,2.260
4,7:31,1,10,,14,3,"Koy Detmer pass incomplete intended for Todd Pinkston (defended by Reggie Howard). Penalty on Todd Pinkston: Offensive Pass Interference, 10 yards (no play)",2.260,1.600
4,7:24,1,20,PHI 40,14,3,Duce Staley right tackle for 4 yards (tackle by Terry Cousin),1.600,0.900
4,6:54,2,16,PHI 44,14,3,Koy Detmer pass incomplete intended for James Thrash (defended by Ricky Manning),0.900,0.230
4,6:49,3,16,PHI 44,14,3,Koy Detmer pass complete to Chad Lewis for 14 yards (tackle by Reggie Howard),0.230,0.460
4,6:22,,,,14,3,Timeout #1 by Philadelphia Eagles,0.000,0.460
4,6:22,4,2,CAR 42,14,3,Koy Detmer pass complete to Chad Lewis for 24 yards (tackle by Deon Grant),0.460,4.370
4,5:49,1,10,CAR 18,14,3,Koy Detmer pass incomplete intended for Greg Lewis (defended by Terry Cousin),4.370,3.800
4,5:44,2,10,CAR 18,14,3,Koy Detmer pass complete to Freddie Mitchell for 7 yards (tackle by Deon Grant),3.800,4.260
4,5:22,3,3,CAR 11,14,3,Koy Detmer pass incomplete intended for Duce Staley is intercepted by Dan Morgan at CAR-11 and returned for -2 yards (tackle by Bobbie Williams),4.260,0.380
4,5:16,1,10,CAR 9,14,3,Stephen Davis right end for 15 yards (tackle by Michael Lewis),-0.380,0.540
4,4:28,,,,14,3,Timeout #2 by Philadelphia Eagles,0.000,0.540
4,4:28,1,10,CAR 24,14,3,Stephen Davis right end for 2 yards (tackle by Darwin Walker),0.540,0.270
4,4:22,2,8,CAR 26,14,3,Stephen Davis left tackle for 1 yard (tackle by N.D. Kalu),0.270,-0.300
4,4:22,,,,14,3,Timeout #3 by Philadelphia Eagles,0.000,-0.300
4,4:22,3,7,CAR 27,14,3,Stephen Davis for 6 yards,-0.300,-1.180
4,3:39,4,1,CAR 33,14,3,"Todd Sauerbrun punts 59 yards, returned by Lito Sheppard for 11 yards (tackle by Jarrod Cooper). Lito Sheppard fumbles, recovered by Quintin Mikell at PHI-19 (tackle by Brad Hoover)",-1.180,-0.150
4,3:25,1,10,PHI 19,14,3,Koy Detmer pass incomplete intended for Freddie Mitchell (defended by Mike Minter),0.150,-0.390
4,3:20,2,10,PHI 19,14,3,"Koy Detmer pass incomplete intended for Todd Pinkston (defended by Ricky Manning). Penalty on Ricky Manning: Defensive Holding, 5 yards (no play)",-0.390,0.540
4,3:15,1,10,PHI 24,14,3,Koy Detmer pass complete to Duce Staley for 7 yards (tackle by Julius Peppers),0.540,0.940
4,2:25,2,3,PHI 31,14,3,Koy Detmer pass complete to Chad Lewis for 27 yards (tackle by Dan Morgan),0.940,2.790
4,2:24,1,10,CAR 42,14,3,Koy Detmer pass incomplete intended for Todd Pinkston,2.790,2.240
4,2:23,2,10,CAR 42,14,3,Koy Detmer sacked by Al Wallace and Shane Burton for -8 yards,2.240,0.500
4,2:08,3,18,,14,3,Koy Detmer pass incomplete intended for Freddie Mitchell,0.500,-0.060
4,2:04,4,18,,14,3,Koy Detmer pass incomplete intended for Todd Pinkston (defended by Reggie Howard),-0.060,-2.260
4,1:58,1,10,,14,3,Jake Delhomme kneels for -1 yards,2.260,1.580
4,1:17,2,11,CAR 49,14,3,Jake Delhomme kneels for -1 yards,1.580,0.760
4,0:38,3,12,CAR 48,14,3,Jake Delhomme kneels for -1 yards,0.760,-0.260
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
