Unnamed: 0,CAR,PHI
First Downs,14,18
Rush-Yds-TDs,40-155-1,26-137-0
Cmp-Att-Yd-TD-INT,9-14-101-1-0,17-36-188-0-4
Sacked-Yards,0-0,5-36
Net Pass Yards,101,152
Total Yards,256,289
Fumbles-Lost,1-0,1-0
Turnovers,0,4
Penalties-Yards,5-35,4-34
Third Down Conv.,4-13,2-13
Fourth Down Conv.,0-0,1-2
Time of Possession,30:11,29:49
