Quarter,Time,Tm,Detail,CAR,PHI
2.0,10:12,Panthers,Muhsin Muhammad 24 yard pass from Jake Delhomme (John Kasay kick),7,0
,2:56,Eagles,David Akers 41 yard field goal,7,3
3.0,4:11,Panthers,DeShaun Foster 1 yard rush (John Kasay kick),14,3
