Quarter,Time,Tm,Detail,PIT,MIA
1.0,8:34,Dolphins,Andrew Franks 30 yard field goal,0,3
,5:39,Steelers,Darrius Heyward-Bey 60 yard rush (Le'Veon Bell pass from Ben Roethlisberger),8,3
2.0,8:18,Dolphins,Andrew Franks 23 yard field goal,8,6
,5:23,Dolphins,Andrew Franks 30 yard field goal,8,9
,0:21,Dolphins,Damien Williams 1 yard rush (Andrew Franks kick),8,16
3.0,1:39,Dolphins,Jay Ajayi 1 yard rush (Andrew Franks kick),8,23
4.0,1:02,Steelers,Cobi Hamilton 23 yard pass from Ben Roethlisberger (Chris Boswell kick),15,23
,0:50,Dolphins,Jay Ajayi 62 yard rush (Andrew Franks kick),15,30
