Quarter,Time,Down,ToGo,Location,PIT,MIA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Dolphins won the coin toss and deferred, Steelers to receive the opening kickoff.",,
1,15:00,,,MIA 35,0,0,"Andrew Franks kicks off 61 yards, returned by Fitzgerald Toussaint for 20 yards (tackle by Mike Hull)",0.000,-0.540
1,14:55,1,10,PIT 24,0,0,Le'Veon Bell left guard for 4 yards (tackle by Kiko Alonso),0.540,0.540
1,14:20,2,6,PIT 28,0,0,Ben Roethlisberger pass complete short left to Le'Veon Bell for 6 yards (tackle by Bobby McCain and Kiko Alonso),0.540,1.200
1,13:47,1,10,PIT 34,0,0,Le'Veon Bell left guard for 2 yards (tackle by Ndamukong Suh),1.200,0.930
1,13:09,2,8,PIT 36,0,0,DeAngelo Williams left tackle for 2 yards (tackle by Reshad Jones),0.930,0.500
1,12:27,3,6,PIT 38,0,0,Ben Roethlisberger pass incomplete short left intended for Xavier Grimble (defended by Jason Jones). Penalty on Chris Hubbard: Offensive Holding (Declined),0.500,-0.850
1,12:22,4,6,PIT 38,0,0,"Jordan Berry punts 38 yards, returned by Jarvis Landry for 11 yards (tackle by Steven Johnson)",-0.850,-1.270
1,12:13,1,10,MIA 35,0,0,"Ryan Tannehill pass complete short right to Kenny Stills for 5 yards (tackle by Ross Cockrell). Penalty on Ja'Wuan James: Unsportsmanlike Conduct, 15 yards",1.270,-0.630
1,11:48,2,20,MIA 25,0,0,"Ryan Tannehill pass complete short left to Jarvis Landry for 22 yards (tackle by Mike Mitchell). Penalty on Mike Mitchell: Unnecessary Roughness, 15 yards",-0.630,3.050
1,11:26,1,10,PIT 38,0,0,Jay Ajayi left end for 12 yards (tackle by Artie Burns),3.050,3.840
1,10:49,1,10,PIT 26,0,0,Ryan Tannehill pass incomplete deep middle intended for DeVante Parker,3.840,3.300
1,10:42,2,10,PIT 26,0,0,Jay Ajayi left tackle for 10 yards (tackle by Artie Burns),3.300,4.510
1,10:08,1,10,PIT 16,0,0,Jay Ajayi left guard for 3 yards (tackle by Stephon Tuitt),4.510,4.390
1,9:29,2,7,PIT 13,0,0,Ryan Tannehill pass complete short right to DeVante Parker for 1 yard (tackle by Ross Cockrell),4.390,3.730
1,8:42,3,6,PIT 12,0,0,Ryan Tannehill pass incomplete short right intended for Jay Ajayi,3.730,2.660
1,8:38,4,6,PIT 12,0,3,Andrew Franks 30 yard field goal good,2.660,3.000
1,8:38,,,MIA 35,0,3,"Andrew Franks kicks off 65 yards, touchback",0.000,-0.610
1,8:34,1,10,PIT 25,0,3,Ben Roethlisberger pass complete short left to Xavier Grimble for 11 yards (tackle by Tony Lippett),0.610,1.330
1,8:01,1,10,PIT 36,0,3,Le'Veon Bell right guard for 3 yards (tackle by Neville Hewitt and Kiko Alonso),1.330,1.200
1,7:19,2,7,PIT 39,0,3,"Le'Veon Bell right tackle for 3 yards (tackle by Kiko Alonso). Penalty on Jesse James: Offensive Holding, 10 yards",1.200,0.250
1,6:57,2,14,PIT 32,0,3,Ben Roethlisberger pass complete short left to Le'Veon Bell for 4 yards (tackle by Andre Branch),0.250,0.100
1,6:15,3,10,PIT 36,0,3,"Ben Roethlisberger sacked by Andre Branch for -11 yards. Penalty on Jason Jones: Unnecessary Roughness, 15 yards, Penalty on Byron Maxwell: Defensive Holding (Declined)",0.100,1.600
1,5:52,1,10,PIT 40,6,3,"Darrius Heyward-Bey right end for 60 yards, touchdown",1.600,7.000
1,5:52,1,,PIT 40,8,3,"Two Point Attempt: Ben Roethlisberger pass complete to Le'Veon Bell, conversion succeeds",1.600,1.000
1,5:52,,,PIT 35,8,3,"Chris Boswell kicks off 65 yards, touchback",0.000,-0.610
1,5:39,1,10,MIA 25,8,3,Jay Ajayi middle for 1 yard (tackle by Anthony Chickillo),0.610,0.200
1,5:09,2,9,MIA 26,8,3,Ryan Tannehill pass incomplete short right intended for Kenny Stills (defended by William Gay),0.200,0.200
1,5:01,2,9,MIA 26,8,3,Timeout #1 by Pittsburgh Steelers,0.200,-0.490
1,5:01,3,9,MIA 26,8,3,Ryan Tannehill pass incomplete short right intended for Jarvis Landry,-0.490,-1.630
1,4:56,4,9,MIA 26,8,3,"Matt Darr punts 43 yards, out of bounds",-1.630,-1.000
1,4:48,1,10,PIT 31,8,3,Ben Roethlisberger pass complete short left to Jesse James for 8 yards (tackle by Tony Lippett and Neville Hewitt),1.000,1.540
1,4:13,2,2,PIT 39,8,3,DeAngelo Williams middle for 1 yard (tackle by Mario Williams),1.540,1.540
1,3:20,2,2,PIT 39,8,3,Timeout #2 by Pittsburgh Steelers,1.540,0.960
1,3:20,3,1,PIT 40,8,3,Le'Veon Bell middle for 13 yards (tackle by Isa Abdul-Quddus),0.960,2.460
1,2:37,1,10,MIA 47,8,3,Antonio Brown right end for 6 yards (tackle by Cameron Wake),2.460,2.720
1,2:00,2,4,MIA 41,8,3,Ben Roethlisberger pass complete short right to Antonio Brown for 12 yards (tackle by Byron Maxwell),2.720,3.640
1,1:40,1,10,MIA 29,8,3,Ben Roethlisberger pass incomplete deep left intended for Xavier Grimble,3.640,3.100
1,1:11,2,10,MIA 29,8,3,Ben Roethlisberger pass incomplete short right intended for Antonio Brown,3.100,2.410
1,1:07,3,10,MIA 29,8,3,Ben Roethlisberger sacked by Cameron Wake and Andre Branch for -9 yards,2.410,0.720
1,0:45,4,19,MIA 38,8,3,"Jordan Berry punts 27 yards, fair catch by Jarvis Landry",0.720,0.370
1,0:26,1,10,MIA 11,8,3,Ryan Tannehill pass complete short left to Dominique Jones for 8 yards (tackle by James Harrison),-0.370,0.170
Quarter,Time,Down,ToGo,Location,PIT,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,2,MIA 19,8,3,Jay Ajayi right tackle for 1 yard (tackle by James Harrison and Javon Hargrave),0.170,-0.370
2,14:19,3,1,MIA 20,8,3,Jay Ajayi left tackle for 2 yards (tackle by Vince Williams),-0.370,0.410
2,13:42,1,10,MIA 22,8,3,Ryan Tannehill pass complete short left to DeVante Parker for 7 yards (tackle by Artie Burns),0.410,0.810
2,13:08,2,3,MIA 29,8,3,Ryan Tannehill pass complete short middle to DeVante Parker for 3 yards (tackle by William Gay),0.810,1.070
2,12:33,1,10,MIA 32,8,3,Jay Ajayi right tackle for 7 yards (tackle by Arthur Moats),1.070,1.470
2,11:52,2,3,MIA 39,8,3,"Penalty on Jay Ajayi: False Start, 5 yards (no play)",1.470,0.800
2,11:32,2,8,MIA 34,8,3,Ryan Tannehill pass complete short right to Dion Sims for 12 yards (tackle by William Gay),0.800,1.990
2,10:45,1,10,MIA 46,8,3,Ryan Tannehill pass complete deep left to MarQueis Gray for 53 yards (tackle by William Gay),1.990,6.970
2,9:55,1,1,PIT 1,8,3,"Ryan Tannehill pass complete short right to Dominique Jones for 1 yard. Penalty on Ja'Wuan James: Illegal Formation, 5 yards (no play)",6.970,5.830
2,9:49,1,6,PIT 6,8,3,Jay Ajayi right end for -5 yards (tackle by James Harrison),5.830,4.020
2,9:14,2,11,PIT 11,8,3,Ryan Tannehill pass complete short right to Kenny Stills for 7 yards (tackle by Vince Williams),4.020,4.490
2,8:26,3,4,PIT 4,8,3,Ryan Tannehill pass incomplete short right intended for Dion Sims (defended by Ross Cockrell),4.490,3.030
2,8:21,4,4,PIT 4,8,6,Andrew Franks 23 yard field goal good,3.030,3.000
2,8:21,,,MIA 35,8,6,"Andrew Franks kicks off 65 yards, touchback",0.000,-0.610
2,8:18,1,10,PIT 25,8,6,Ben Roethlisberger pass incomplete short right intended for Sammie Coates is intercepted by Reshad Jones at PIT-30 and returned for 17 yards. Penalty on Xavier Grimble: Offensive Holding (Declined),0.610,0.610
2,8:18,1,10,PIT 25,8,6,--,0.610,-4.710
2,8:06,1,10,PIT 13,8,6,Jay Ajayi left tackle for 6 yards (tackle by Lawrence Timmons),4.710,5.150
2,7:47,2,4,PIT 7,8,6,"Damien Williams right guard for 2 yards (tackle by Javon Hargrave). Penalty on Ja'Wuan James: Offensive Holding, 10 yards (no play)",5.150,3.500
2,7:02,2,14,PIT 17,8,6,Ryan Tannehill pass complete short left to Damien Williams for no gain,3.500,2.880
2,6:15,3,14,PIT 17,8,6,Ryan Tannehill pass complete short middle to Damien Williams for 5 yards (tackle by Robert Golden),2.880,2.630
2,5:33,4,9,PIT 12,8,9,Andrew Franks 30 yard field goal good,2.630,3.000
2,5:33,,,MIA 35,8,9,"Andrew Franks kicks off 65 yards, touchback",0.000,-0.610
2,5:23,1,10,PIT 25,8,9,Le'Veon Bell right tackle for 12 yards (tackle by Kiko Alonso and Byron Maxwell),0.610,1.400
2,4:52,1,10,PIT 37,8,9,"Penalty on Alejandro Villanueva: False Start, 5 yards (no play)",1.400,1.070
2,4:37,1,15,PIT 32,8,9,Le'Veon Bell right tackle for 8 yards (tackle by Ndamukong Suh and Reshad Jones),1.070,1.260
2,3:49,2,7,PIT 40,8,9,Le'Veon Bell right tackle for 6 yards (tackle by Neville Hewitt),1.260,1.360
2,3:07,3,1,PIT 46,8,9,Landry Jones pass incomplete short right intended for David Johnson,1.360,-0.320
2,2:57,4,1,PIT 46,8,9,Jordan Berry punts 25 yards,-0.320,-0.870
2,2:47,1,10,MIA 29,8,9,Jay Ajayi left guard for 14 yards (tackle by Vince Williams and Robert Golden),0.870,1.800
2,2:15,1,10,MIA 43,8,9,Jay Ajayi left tackle for no gain (tackle by Javon Hargrave),1.800,1.250
2,2:00,2,10,MIA 43,8,9,Ryan Tannehill pass complete short left to DeVante Parker for 6 yards (tackle by Artie Burns),1.250,1.350
2,1:55,3,4,MIA 49,8,9,Ryan Tannehill pass complete short right to Arian Foster for 7 yards (tackle by Lawrence Timmons),1.350,2.650
2,1:49,1,10,PIT 44,8,9,Ryan Tannehill pass incomplete short right intended for DeVante Parker (defended by Ross Cockrell),2.650,2.110
2,1:45,2,10,PIT 44,8,9,Arian Foster right tackle for 3 yards (tackle by Lawrence Timmons),2.110,1.820
2,1:09,3,7,PIT 41,8,9,Ryan Tannehill pass complete deep left to Jarvis Landry for 39 yards (tackle by Artie Burns),1.820,6.740
2,0:34,1,2,PIT 2,8,9,Arian Foster left guard for 1 yard (tackle by Lawrence Timmons),6.740,6.740
2,0:25,1,2,PIT 2,8,9,Timeout #1 by Miami Dolphins,6.740,5.910
2,0:25,2,1,PIT 1,8,15,"Damien Williams middle for 1 yard, touchdown. Penalty on Jay Ajayi: Unsportsmanlike Conduct, 15 yards, Penalty on Damien Williams: Unsportsmanlike Conduct (Declined)",5.910,7.000
2,0:25,,,PIT 1,8,16,Andrew Franks kicks extra point good,0.000,0.000
2,0:25,,,MIA 20,8,16,"Andrew Franks kicks off 81 yards, returned by Justin Gilbert for 34 yards (tackle by Mike Hull). Penalty on Steven Johnson: Illegal Block Above the Waist, 10 yards",0.000,0.350
2,0:15,1,10,PIT 12,8,16,Landry Jones kneels for -1 yards,-0.350,-0.850
Quarter,Time,Down,ToGo,Location,PIT,MIA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PIT 35,8,16,"Chris Boswell kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,MIA 25,8,16,Jay Ajayi left guard for no gain (tackle by Stephon Tuitt),0.610,0.060
3,14:22,2,10,MIA 25,8,16,Ryan Tannehill pass complete short right to Jarvis Landry for 8 yards (tackle by Ross Cockrell),0.060,0.430
3,13:39,3,2,MIA 33,8,16,Ryan Tannehill pass complete short middle to Jarvis Landry for 5 yards (tackle by William Gay),0.430,1.470
3,13:16,1,10,MIA 38,8,16,Jay Ajayi middle for 3 yards (tackle by Jarvis Jones),1.470,1.330
3,12:34,2,7,MIA 41,8,16,"Jay Ajayi left end for 20 yards (tackle by Mike Mitchell). Penalty on Mike Mitchell: Unnecessary Roughness, 15 yards",1.330,3.970
3,12:05,1,10,PIT 24,8,16,Ryan Tannehill pass incomplete short right intended for Dominique Jones,3.970,3.430
3,12:03,2,10,PIT 24,8,16,Damien Williams middle for 10 yards (tackle by Anthony Chickillo),3.430,4.650
3,11:21,1,10,PIT 14,8,16,Damien Williams left tackle for -1 yards (tackle by Anthony Chickillo),4.650,3.850
3,10:37,2,11,PIT 15,8,16,Ryan Tannehill pass complete short middle to Jarvis Landry for 10 yards (tackle by Robert Golden),3.850,4.960
3,9:49,3,1,PIT 5,8,16,Arian Foster middle for -1 yards (tackle by Vince Williams),4.960,3.010
3,9:26,4,2,PIT 6,8,16,"Andrew Franks 24 yard field goal no good, blocked by Daniel McCullers",3.010,-0.150
3,9:01,1,10,PIT 19,8,16,Ben Roethlisberger pass incomplete deep left intended for Antonio Brown,0.150,-0.390
3,8:57,2,10,PIT 19,8,16,Le'Veon Bell left guard for 1 yard (tackle by Andre Branch),-0.390,-0.940
3,8:15,3,9,PIT 20,8,16,Ben Roethlisberger pass complete short left to Eli Rogers for 11 yards (tackle by Reshad Jones),-0.940,1.000
3,7:40,1,10,PIT 31,8,16,Ben Roethlisberger pass complete deep left to Antonio Brown for 16 yards (tackle by Reshad Jones),1.000,2.060
3,6:58,1,10,PIT 47,8,16,Le'Veon Bell right end for 1 yard (tackle by Isa Abdul-Quddus),2.060,1.650
3,6:27,2,9,PIT 48,8,16,"Le'Veon Bell middle for 7 yards (tackle by Michael Thomas). Penalty on David DeCastro: Offensive Holding, 10 yards (no play)",1.650,0.300
3,6:02,2,19,PIT 38,8,16,DeAngelo Williams middle for 7 yards (tackle by Jason Jones),0.300,0.560
3,5:20,3,12,PIT 45,8,16,Ben Roethlisberger pass incomplete short left intended for Sammie Coates is intercepted by Isa Abdul-Quddus at MIA-41 and returned for 7 yards,0.560,-2.130
3,5:10,1,10,MIA 48,8,16,Jay Ajayi right end for 33 yards (tackle by Mike Mitchell),2.130,4.310
3,4:26,1,10,PIT 19,8,16,Ryan Tannehill pass complete short right to Jay Ajayi for 3 yards (tackle by Robert Golden and Vince Williams),4.310,4.180
3,3:41,2,7,PIT 16,8,16,Jay Ajayi left tackle for no gain (tackle by Stephon Tuitt),4.180,3.410
3,2:56,3,7,PIT 16,8,16,Ryan Tannehill pass complete short right to DeVante Parker for 11 yards (tackle by Ross Cockrell),3.410,3.410
3,2:14,3,7,PIT 16,8,16,Timeout #1 by Miami Dolphins,3.410,6.060
3,2:14,1,5,PIT 5,8,16,Jay Ajayi middle for 4 yards (tackle by James Harrison),6.060,5.910
3,1:45,2,1,PIT 1,8,22,"Jay Ajayi right tackle for 1 yard, touchdown",5.910,7.000
3,1:45,,,PIT 1,8,23,Andrew Franks kicks extra point good,0.000,0.000
3,1:45,,,MIA 35,8,23,"Andrew Franks kicks off 66 yards, returned by Justin Gilbert for 14 yards (tackle by Michael Thomas)",0.000,0.320
3,1:34,1,10,PIT 13,8,23,Ben Roethlisberger pass incomplete deep left intended for Sammie Coates,-0.320,-0.770
3,1:27,2,10,PIT 13,8,23,Ben Roethlisberger pass complete short middle to Jesse James for 5 yards (tackle by Kiko Alonso),-0.770,-0.830
3,0:48,3,5,PIT 18,8,23,Ben Roethlisberger pass incomplete short middle intended for Darrius Heyward-Bey (defended by Byron Maxwell),-0.830,-2.240
3,0:39,4,5,PIT 18,8,23,"Jordan Berry punts 49 yards, returned by Jakeem Grant for 15 yards (tackle by Tyler Matakevich)",-2.240,-2.130
3,0:26,1,10,MIA 48,8,23,Ryan Tannehill pass complete short right to MarQueis Gray for 9 yards (tackle by Robert Golden and Tyler Matakevich),2.130,2.800
Quarter,Time,Down,ToGo,Location,PIT,MIA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,1,PIT 43,8,23,Jay Ajayi middle for 3 yards (tackle by Stephon Tuitt),2.800,2.920
4,14:26,1,10,PIT 40,8,23,Ryan Tannehill left end for 4 yards (tackle by Jarvis Jones),2.920,2.910
4,13:41,2,6,PIT 36,8,23,Damien Williams right tackle for no gain (tackle by Robert Golden),2.910,2.210
4,12:59,3,6,PIT 36,8,23,Ryan Tannehill pass complete short middle to Arian Foster for 5 yards (tackle by Tyler Matakevich),2.210,1.410
4,12:15,4,1,PIT 31,8,23,Andrew Franks 50 yard field goal no good,1.410,-1.600
4,12:10,1,10,PIT 40,8,23,Ben Roethlisberger pass complete short right to Le'Veon Bell for 10 yards (tackle by Byron Maxwell),1.600,2.260
4,11:24,1,10,,8,23,Ben Roethlisberger pass incomplete short left intended for Sammie Coates,2.260,1.710
4,11:19,2,10,,8,23,Ben Roethlisberger pass incomplete deep right intended for Antonio Brown (defended by Byron Maxwell),1.710,1.030
4,11:13,3,10,,8,23,Ben Roethlisberger pass incomplete short right intended for Antonio Brown (defended by Byron Maxwell),1.030,-0.060
4,11:09,4,10,,8,23,Jordan Berry punts 41 yards,-0.060,0.380
4,11:01,1,10,MIA 9,8,23,Jay Ajayi left tackle for 2 yards (tackle by Tyler Matakevich),-0.380,-0.630
4,10:26,2,8,MIA 11,8,23,Jay Ajayi left guard for 6 yards (tackle by Tyler Matakevich),-0.630,-0.480
4,9:49,3,2,MIA 17,8,23,Ryan Tannehill pass complete short middle to Jarvis Landry for 5 yards (tackle by Tyler Matakevich),-0.480,0.410
4,9:27,1,10,MIA 22,8,23,Jay Ajayi right tackle for 7 yards (tackle by Tyler Matakevich),0.410,0.810
4,8:32,2,3,MIA 29,8,23,Damien Williams middle for 2 yards (tackle by Javon Hargrave and Tyler Matakevich),0.810,0.370
4,7:57,3,1,MIA 31,8,23,Ryan Tannehill pass complete short right to MarQueis Gray for 19 yards (tackle by Tyler Matakevich),0.370,2.260
4,7:09,1,10,,8,23,Jay Ajayi right guard for -1 yards (tackle by Daniel McCullers and Robert Golden),2.260,1.580
4,6:28,2,11,MIA 49,8,23,Jay Ajayi right guard for 13 yards (tackle by Ross Cockrell),1.580,1.580
4,5:56,2,11,MIA 49,8,23,Timeout #1 by Pittsburgh Steelers,1.580,3.050
4,5:56,1,10,PIT 38,8,23,Damien Williams left tackle for no gain (tackle by Arthur Moats),3.050,2.510
4,5:19,2,10,PIT 38,8,23,Ryan Tannehill pass incomplete short right intended for Jarvis Landry (defended by Arthur Moats),2.510,1.820
4,5:14,3,10,PIT 38,8,23,Ryan Tannehill pass complete short right to Jarvis Landry for 2 yards (tackle by Lawrence Timmons),1.820,0.880
4,4:29,4,8,PIT 36,8,23,Matt Darr punts 34 yards,0.880,0.380
4,4:20,1,10,PIT 3,8,23,Ben Roethlisberger pass complete short left to Cobi Hamilton for 13 yards (tackle by Chimdi Chekwa),-0.380,-0.140
4,3:48,1,10,PIT 16,8,23,Ben Roethlisberger pass complete short middle to Eli Rogers for 3 yards (tackle by Bobby McCain),-0.140,-0.180
4,3:15,2,7,PIT 19,8,23,Ben Roethlisberger pass complete short middle to Le'Veon Bell for 13 yards (tackle by Michael Thomas),-0.180,1.070
4,2:42,1,10,PIT 32,8,23,Ben Roethlisberger pass complete short right to Eli Rogers for 6 yards (tackle by Byron Maxwell),1.070,1.340
4,2:16,2,4,PIT 38,8,23,Ben Roethlisberger pass complete short left to Eli Rogers for 15 yards (tackle by Chimdi Chekwa),1.340,2.460
4,2:03,1,10,MIA 47,8,23,Ben Roethlisberger pass incomplete short middle intended for Eli Rogers,2.460,1.910
