Player,Pos
Kurt Warner,QB
Marcel Shipp,RB
J.J. Arrington,RB
Anquan Boldin,WR
Larry Fitzgerald,WR
Eric Edwards,TE
Leonard Davis,LT
Reggie Wells,LG
Alex Stepanovich,C
Elton Brown,RG
Oliver Ross,RT
Chike Okeafor,LDE
Darnell Dockett,UT
Russell Davis,NT
Bertrand Berry,RDE
Karlos Dansby,SLB
Lester Towns,MLB
Orlando Huff,WLB
Antrel Rolle,LCB
David Macklin,RCB
Adrian Wilson,SS
Robert Griffith,FS
