Unnamed: 0,ARI,SEA
First Downs,15,29
Rush-Yds-TDs,21-90-0,37-163-4
Cmp-Att-Yd-TD-INT,18-36-202-0-1,21-32-284-0-0
Sacked-Yards,3-26,0-0
Net Pass Yards,176,284
Total Yards,266,447
Fumbles-Lost,2-1,0-0
Turnovers,2,0
Penalties-Yards,12-71,3-25
Third Down Conv.,3-13,6-13
Fourth Down Conv.,0-0,0-0
Time of Possession,26:31,33:29
