Quarter,Time,Tm,Detail,ARI,SEA
1.0,9:46,Cardinals,Neil Rackers 54 yard field goal,3,0
,4:20,Seahawks,Shaun Alexander 25 yard rush (Josh Brown kick),3,7
2.0,14:07,Cardinals,Neil Rackers 39 yard field goal,6,7
,6:43,Seahawks,Josh Brown 33 yard field goal,6,10
,3:41,Cardinals,Neil Rackers 50 yard field goal,9,10
3.0,11:51,Seahawks,Shaun Alexander 1 yard rush (Josh Brown kick),9,17
,11:21,Seahawks,Shaun Alexander 1 yard rush (Josh Brown kick),9,24
,5:06,Cardinals,Neil Rackers 39 yard field goal,12,24
4.0,14:56,Seahawks,Shaun Alexander 1 yard rush (Josh Brown kick),12,31
,8:50,Seahawks,Josh Brown 23 yard field goal,12,34
,1:28,Seahawks,Josh Brown 47 yard field goal,12,37
