Quarter,Time,Tm,Detail,NOR,CIN
1.0,9:46,Saints,John Carney 38 yard field goal,3,0
,8:15,Bengals,Peter Warrick 30 yard pass from Jon Kitna (Neil Rackers kick),3,7
,6:19,Saints,Donte' Stallworth 57 yard pass from Aaron Brooks (John Carney kick),10,7
2.0,1:13,Saints,John Carney 43 yard field goal,13,7
4.0,10:42,Bengals,Nick Luchey 1 yard rush (Neil Rackers kick failed),13,13
,1:46,Bengals,Nick Luchey 3 yard rush (Neil Rackers kick),13,20
