Unnamed: 0,NOR,CIN
First Downs,11,25
Rush-Yds-TDs,20-33-0,39-240-2
Cmp-Att-Yd-TD-INT,16-38-203-1-0,20-40-190-1-2
Sacked-Yards,3-26,2-7
Net Pass Yards,177,183
Total Yards,210,423
Fumbles-Lost,5-2,4-2
Turnovers,2,4
Penalties-Yards,4-30,6-40
Third Down Conv.,2-14,7-16
Fourth Down Conv.,0-2,1-1
Time of Possession,24:41,35:19
