Unnamed: 0,GNB,DET
First Downs,18,17
Rush-Yds-TDs,16-52-0,34-94-1
Cmp-Att-Yd-TD-INT,23-37-296-2-3,21-32-183-0-1
Sacked-Yards,4-28,2-11
Net Pass Yards,268,172
Total Yards,320,266
Fumbles-Lost,2-2,3-0
Turnovers,5,1
Penalties-Yards,6-49,5-40
Third Down Conv.,1-9,6-17
Fourth Down Conv.,0-0,0-0
Time of Possession,25:17,34:43
