Unnamed: 0,LAR,NYG
First Downs,22,17
Rush-Yds-TDs,23-105-3,20-105-1
Cmp-Att-Yd-TD-INT,24-34-317-1-2,27-41-319-1-1
Sacked-Yards,4-31,6-35
Net Pass Yards,286,284
Total Yards,391,389
Fumbles-Lost,2-1,1-0
Turnovers,3,1
Penalties-Yards,3-28,7-65
Third Down Conv.,2-8,5-16
Fourth Down Conv.,0-1,1-3
Time of Possession,30:11,29:49
