Quarter,Time,Down,ToGo,Location,LAR,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss and deferred, Rams to receive the opening kickoff.",,
1,15:00,,,NYG 35,0,0,"Mason Crosby kicks off 57 yards,",0.000,0.610
1,15:00,1,10,LAR 25,0,0,Matthew Stafford pass complete short right to Tyler Higbee for 14 yards (tackle by Adoree' Jackson),0.610,1.530
1,14:23,1,10,LAR 39,0,0,Matthew Stafford pass complete short right to Demarcus Robinson for 7 yards (tackle by Nick McCloud and Isaiah Simmons),1.530,1.930
1,13:39,2,3,LAR 46,0,0,Matthew Stafford pass complete short right to Puka Nacua for 4 yards (tackle by Adoree' Jackson),1.930,2.260
1,12:55,1,10,LAR 50,0,0,Matthew Stafford pass complete short middle to Puka Nacua for 6 yards (tackle by Isaiah Simmons),2.260,2.520
1,12:18,2,4,NYG 44,0,0,Kyren Williams right guard for 4 yards (tackle by Jordon Riley and Bobby Okereke),2.520,2.920
1,11:36,1,10,NYG 40,0,0,Kyren Williams left guard for 4 yards (tackle by Jordon Riley and A'Shawn Robinson),2.920,2.910
1,11:00,2,6,NYG 36,0,0,Matthew Stafford pass complete short left to Cooper Kupp for 8 yards (tackle by Nick McCloud),2.910,3.710
1,10:17,1,10,NYG 28,0,0,Kyren Williams right end for -1 yards (tackle by Dexter Lawrence),3.710,3.030
1,9:31,2,11,NYG 29,0,0,"Matthew Stafford pass complete to Demarcus Robinson for no gain NYG challenged the pass completion ruling, and the original play was overturned. Matthew Stafford pass incomplete short middle intended for Demarcus Robinson",3.030,2.340
1,9:27,3,11,NYG 29,0,0,Matthew Stafford pass complete short left to Cooper Kupp for 8 yards (tackle by Nick McCloud),2.340,2.160
1,8:44,4,3,NYG 21,0,0,"Matthew Stafford pass complete to Puka Nacua for 4 yards NYG challenged the pass completion ruling, and the original play was overturned. Matthew Stafford pass incomplete short right intended for Puka Nacua",2.160,-0.340
1,8:40,1,10,NYG 21,0,0,Tyrod Taylor pass complete short middle to Darren Waller for 5 yards (tackle by Ernest Jones and Michael Hoecht),0.340,0.480
1,8:11,2,5,NYG 26,0,0,Saquon Barkley right tackle for -1 yards (tackle by Byron Young),0.480,-0.360
1,7:46,3,6,NYG 25,0,0,Tyrod Taylor pass incomplete deep right intended for Jalin Hyatt (defended by Ahkello Witherspoon),-0.360,-1.700
1,7:41,4,6,NYG 25,0,0,"Jamie Gillan punts 47 yards, fair catch by Austin Trammell at LA-28",-1.700,-0.810
1,7:34,1,10,LAR 28,0,0,Matthew Stafford pass complete short right to Kyren Williams for 5 yards (tackle by Bobby Okereke and Cordale Flott),0.810,0.940
1,6:52,2,5,LAR 33,0,0,"Matthew Stafford pass complete short left to Demarcus Robinson for 9 yards. Demarcus Robinson fumbles, ball out of bounds at LA-42 (forced by Nick McCloud)",0.940,1.730
1,6:19,1,10,LAR 42,0,0,Kyren Williams left guard for 4 yards (tackle by Micah McFadden and Jordon Riley),1.730,1.730
1,5:56,2,6,LAR 46,0,0,Matthew Stafford pass complete short left to Tyler Higbee for 14 yards (tackle by Nick McCloud and Jason Pinnock),1.730,2.920
1,5:10,1,10,NYG 40,0,0,Kyren Williams right guard for 10 yards (tackle by Adoree' Jackson and Jason Pinnock),2.920,3.580
1,4:36,1,10,NYG 30,0,0,Kyren Williams right end for 8 yards (tackle by Micah McFadden),3.580,4.110
1,3:53,2,2,NYG 22,0,0,Matthew Stafford pass complete short right to Tyler Higbee for 18 yards (tackle by Xavier McKinney and Adoree' Jackson),4.110,6.280
1,3:11,1,4,NYG 4,6,0,"Kyren Williams right guard for 4 yards, touchdown",6.280,7.000
1,3:07,,,NYG 15,7,0,Lucas Havrisik kicks extra point good,0.000,0.000
1,3:07,,,LAR 35,7,0,"Lucas Havrisik kicks off 65 yards, touchback.",0.000,0.610
1,3:07,1,10,NYG 25,7,0,Tyrod Taylor pass complete short right to Saquon Barkley for 6 yards (tackle by Ernest Jones),0.610,0.870
1,2:33,2,4,NYG 31,7,0,Saquon Barkley left guard for 10 yards (tackle by Quentin Lake),0.870,1.660
1,1:59,1,10,NYG 41,7,0,Tyrod Taylor sacked by Byron Young for -2 yards,1.660,0.850
1,1:28,2,12,NYG 39,7,0,Tyrod Taylor pass complete short right to Jalin Hyatt for 8 yards (tackle by Byron Young),0.850,1.220
1,0:53,3,4,NYG 47,7,0,Tyrod Taylor pass complete short left to Wan'Dale Robinson for 7 yards (tackle by Christian Rozeboom),1.220,2.520
1,0:19,1,10,LAR 46,7,0,"Saquon Barkley for no gain. Penalty on Daniel Bellinger: Offensive Holding, 10 yards (accepted) (no play)",2.520,1.860
Quarter,Time,Down,ToGo,Location,LAR,NYG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,20,NYG 44,7,0,Tyrod Taylor pass complete short middle to Darren Waller for 8 yards (tackle by Michael Hoecht and Quentin Lake),1.860,1.710
2,14:26,2,12,LAR 48,7,0,Tyrod Taylor pass complete short right to Eric Gray for 6 yards (tackle by Ernest Jones),1.710,1.820
2,13:46,3,6,LAR 42,7,0,Tyrod Taylor pass complete deep right to Jalin Hyatt for 18 yards (tackle by Ahkello Witherspoon),1.820,3.970
2,13:11,1,10,LAR 24,7,6,"Wan'Dale Robinson right end for 24 yards, touchdown",3.970,7.000
2,13:03,,,LAR 15,7,7,Mason Crosby kicks extra point good,0.000,0.000
2,13:03,,,NYG 35,7,7,"Mason Crosby kicks off 64 yards,",0.000,0.610
2,13:03,1,10,LAR 25,7,7,Matthew Stafford pass complete short left to Puka Nacua for 15 yards (tackle by Xavier McKinney and Dane Belton),0.610,1.600
2,12:21,1,10,LAR 40,7,7,Matthew Stafford sacked by Bobby Okereke for -6 yards,1.600,0.240
2,11:34,,,,,,Timeout #1 by Los Angeles Rams,,
2,11:34,2,16,LAR 34,7,7,Matthew Stafford pass complete short left to Demarcus Robinson for 8 yards (tackle by Xavier McKinney),0.240,0.630
2,11:03,3,8,LAR 42,7,7,Matthew Stafford pass incomplete deep left intended for Cooper Kupp,0.630,-0.590
2,10:57,4,8,LAR 42,7,7,"Ethan Evans punts 58 yards, touchback.",-0.590,-0.280
2,10:48,1,10,NYG 20,7,7,Tyrod Taylor sacked by Kobie Turner for -11 yards,0.280,-1.580
2,10:10,2,21,NYG 9,7,7,Tyrod Taylor pass complete short right to Daniel Bellinger for 5 yards (tackle by Christian Rozeboom),-1.580,-2.030
2,9:35,3,16,NYG 14,7,7,Tyrod Taylor pass complete short left to Daniel Bellinger for 9 yards (tackle by Russ Yeast and Derion Kendrick),-2.030,-1.830
2,8:53,4,7,NYG 23,7,7,"Jamie Gillan punts 52 yards, fair catch by Austin Trammell at LA-25",-1.830,-0.610
2,8:46,1,10,LAR 25,7,7,Kyren Williams left guard for 1 yard (tackle by Rakeem Nunez-Roches and Kayvon Thibodeaux),0.610,0.200
2,8:06,2,9,LAR 26,7,7,Matthew Stafford pass complete short left to Demarcus Robinson for 15 yards (tackle by Xavier McKinney),0.200,1.660
2,7:27,1,10,LAR 41,7,7,Kyren Williams left tackle for 1 yard (tackle by Rakeem Nunez-Roches and Kayvon Thibodeaux),1.660,1.260
2,6:42,2,9,LAR 42,7,7,Matthew Stafford pass deep middle intended for Puka Nacua is intercepted by Dane Belton at NYG-36 and returned for 2 yards (tackle by Davis Allen),1.260,-1.470
2,6:33,1,10,NYG 38,7,7,Tyrod Taylor pass incomplete short right intended for Wan'Dale Robinson,1.470,0.920
2,6:26,2,10,NYG 38,7,7,Tyrod Taylor pass complete short right to Wan'Dale Robinson for 5 yards (tackle by Ernest Jones),0.920,0.890
2,5:44,3,5,NYG 43,7,7,Tyrod Taylor pass complete short left to Darius Slayton for 4 yards (tackle by Quentin Lake),0.890,-0.260
2,5:06,4,1,NYG 47,7,7,"Tyrod Taylor aborted snap, recovered by Tyrod Taylor at NYG-46 and returned for -1 yards",-0.260,-2.520
2,5:02,1,10,NYG 46,7,7,Kyren Williams left end for 4 yards (tackle by Cordale Flott),2.520,2.520
2,4:23,2,6,NYG 42,7,7,Matthew Stafford pass complete short middle to Tyler Higbee for 9 yards (tackle by Jihad Ward and Bobby Okereke),2.520,3.380
2,3:39,1,10,NYG 33,7,7,Matthew Stafford pass complete short left to Kyren Williams for 9 yards (tackle by Nick McCloud),3.380,4.050
2,2:55,2,1,NYG 24,7,7,Matthew Stafford pass complete short right to Tyler Higbee for 3 yards (tackle by Adoree' Jackson and Cordale Flott),4.050,4.170
2,2:14,1,10,NYG 21,7,7,Kyren Williams left tackle for 3 yards (tackle by A'Shawn Robinson and Boogie Basham),4.170,4.040
2,2:00,2,7,NYG 18,7,7,Matthew Stafford pass complete short left to Puka Nacua for 13 yards (tackle by Rakeem Nunez-Roches),4.040,6.060
2,1:52,1,5,NYG 5,7,7,Matthew Stafford pass incomplete short right intended for Demarcus Robinson,6.060,5.150
2,1:48,2,5,NYG 5,13,7,"Matthew Stafford pass complete short right to Cooper Kupp for 5 yards, touchdown",5.150,7.000
2,1:44,,,NYG 15,14,7,Lucas Havrisik kicks extra point good,0.000,0.000
2,1:44,,,LAR 35,14,7,"Lucas Havrisik kicks off 65 yards, touchback.",0.000,0.610
2,1:44,1,10,NYG 25,14,7,"Tyrod Taylor pass complete to Jalin Hyatt for no gain. Penalty on John Michael Schmitz: Illegal Use of Hands / Offense, 10 yards (accepted) (no play)",0.610,-0.410
2,1:33,1,20,NYG 15,14,7,Saquon Barkley up the middle for 11 yards (tackle by Jordan Fuller and Quentin Lake),-0.410,0.200
2,1:19,2,9,NYG 26,14,7,"Tyrod Taylor pass incomplete short right intended for Darren Waller. Penalty on Jordan Fuller: Defensive Pass Interference, 13 yards (accepted) (no play)",0.200,1.530
2,1:14,1,10,NYG 39,14,7,Tyrod Taylor pass deep right intended for Darius Slayton is intercepted by Jordan Fuller at LA-27 and returned for no gain (tackle by Darius Slayton),1.530,-0.740
2,1:07,1,10,LAR 27,14,7,"Matthew Stafford pass complete short middle to Demarcus Robinson for 16 yards. Demarcus Robinson fumbles (forced by Adoree' Jackson), recovered by Dane Belton at LA-45 and returned for 2 yards (tackle by Cooper Kupp and Demarcus Robinson)",0.740,-2.720
2,0:58,1,10,LAR 43,14,7,Tyrod Taylor pass complete short middle to Wan'Dale Robinson for 20 yards (tackle by Jordan Fuller),2.720,4.040
