Unnamed: 0,WAS,CIN
First Downs,15,17
Rush-Yds-TDs,32-113-0,33-106-1
Cmp-Att-Yd-TD-INT,17-28-167-1-0,16-29-209-1-0
Sacked-Yards,0-0,2-5
Net Pass Yards,167,204
Total Yards,280,310
Fumbles-Lost,2-2,0-0
Turnovers,2,0
Penalties-Yards,9-75,6-41
Third Down Conv.,4-14,4-14
Fourth Down Conv.,0-0,1-1
Time of Possession,28:52,31:08
