Quarter,Time,Down,ToGo,Location,WAS,CIN,Detail,EPB,EPA
1,6:18,1,10,CIN 6,0,7,Cedric Benson left end for 7 yards (tackle by DeAngelo Hall),-0.380,-0.270
1,6:01,2,3,CIN 13,0,7,Cedric Benson right guard for 4 yards (tackle by London Fletcher),-0.270,-0.060
1,5:38,1,10,CIN 17,0,7,Ryan Fitzpatrick pass incomplete deep right intended for Chad Ochocinco,-0.060,-0.580
1,5:30,2,10,CIN 17,0,7,"Ryan Fitzpatrick pass complete deep left to Chad Ochocinco for 23 yards (tackle by Kareem Moore). Penalty on Anthony Collins: Offensive Holding, 9 yards (no play)",-0.580,-1.440
1,4:48,2,19,CIN 8,0,7,Ryan Fitzpatrick pass complete short right to Cedric Benson for 79 yards (tackle by Carlos Rogers),-1.440,4.710
1,3:57,1,10,WAS 13,0,7,Cedric Benson left guard for 1 yard (tackle by Lorenzo Alexander),4.710,4.220
1,3:15,2,9,WAS 12,0,13,"Ryan Fitzpatrick pass complete short left to Chris Henry for 12 yards, touchdown",4.220,7.000
1,,,,WAS 2,0,14,Shayne Graham kicks extra point good,0.000,0.000
1,,,,CIN 30,0,14,"Shayne Graham kicks off 59 yards, muffed by Rock Cartwright, recovered by Rock Cartwright at WAS-14, and returned for 3 yards",0.000,-0.060
1,3:05,1,10,WAS 17,0,14,Clinton Portis right guard for 2 yards (tackle by Brandon Johnson and Rashad Jeanty),-0.060,-0.250
1,2:29,2,8,WAS 19,0,14,Clinton Portis left tackle for 5 yards (tackle by John Thornton),-0.250,-0.370
1,1:46,3,3,WAS 24,0,14,"Jason Campbell pass complete short right to Antwaan Randle El for 9 yards (tackle by Chris Crocker). Penalty on WAS: Illegal Formation, 5 yards (no play)",-0.370,-1.000
1,1:16,3,8,WAS 19,0,14,Jason Campbell pass complete short middle to Chris Cooley for 4 yards (tackle by Brandon Johnson),-1.000,-1.830
1,0:37,4,4,WAS 23,0,14,Ryan Plackemeier punts 35 yards,-1.830,-1.730
1,0:25,1,10,CIN 42,0,14,Ryan Fitzpatrick pass incomplete,1.730,1.190
1,0:18,2,10,CIN 42,0,14,Cedric Benson up the middle for 13 yards (tackle by Kareem Moore and Michael Green),1.190,2.590
Quarter,Time,Down,ToGo,Location,WAS,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,WAS 45,0,14,Ryan Fitzpatrick pass complete short right to Daniel Coats for 8 yards (tackle by DeAngelo Hall),2.590,3.120
2,14:22,2,2,WAS 37,0,14,"Penalty on Stacy Andrews: False Start, 5 yards (no play)",3.120,2.450
2,14:08,2,7,WAS 42,0,14,Ryan Fitzpatrick pass complete short left to Chad Ochocinco for 13 yards (tackle by LaRon Landry),2.450,3.640
2,13:35,1,10,WAS 29,0,14,Cedric Benson right end for 12 yards (tackle by LaRon Landry),3.640,4.440
2,12:53,1,10,WAS 17,0,14,Cedric Benson right tackle for no gain (tackle by H.B. Blades),4.440,3.850
2,12:09,2,10,WAS 17,0,14,Ryan Fitzpatrick pass incomplete short middle intended for Chris Henry (defended by Lorenzo Alexander),3.850,3.070
2,12:01,,,,0,14,Timeout #1 by Cincinnati Bengals,0.000,3.070
2,12:01,3,10,WAS 17,0,14,Ryan Fitzpatrick pass complete short left to Reggie Kelly for 3 yards (tackle by LaRon Landry),3.070,2.510
2,11:24,4,7,WAS 14,0,17,Shayne Graham 32 yard field goal good,2.510,3.000
2,,,,CIN 30,0,17,"Shayne Graham kicks off 62 yards, returned by Rock Cartwright for 34 yards (tackle by Kyries Hebert)",0.000,1.730
2,11:13,1,10,WAS 42,0,17,Jason Campbell pass incomplete short right intended for Santana Moss (defended by Leon Hall),1.730,1.190
2,11:07,2,10,WAS 42,0,17,Jason Campbell pass complete short right to Clinton Portis for 6 yards (tackle by Jonathan Fanene),1.190,1.290
2,10:24,3,4,WAS 48,0,17,Jason Campbell pass incomplete short left intended for Devin Thomas (defended by Leon Hall),1.290,-0.190
2,10:18,4,4,WAS 48,0,17,"Ryan Plackemeier punts 52 yards, touchback",-0.190,-0.280
2,10:08,1,10,CIN 20,0,17,Ryan Fitzpatrick right tackle for 3 yards (tackle by Kedric Golston),0.280,0.140
2,9:31,2,7,CIN 23,0,17,"Penalty on Reggie Kelly: False Start, 5 yards (no play)",0.140,-0.630
2,9:11,2,12,CIN 18,0,17,Ryan Fitzpatrick pass incomplete short middle intended for Chris Henry (defended by London Fletcher),-0.630,-1.330
2,9:05,3,12,CIN 18,0,17,Ryan Fitzpatrick pass incomplete short right intended for Chad Ochocinco,-1.330,-2.240
2,8:55,4,12,CIN 18,0,17,"Kyle Larson punts 40 yards, returned by Santana Moss for 31 yards (tackle by Corey Mays). Penalty on Chris Wilson: Illegal Block Above the Waist, 10 yards",-2.240,-2.920
2,8:47,1,10,CIN 40,0,17,Clinton Portis left end for 9 yards (tackle by Chris Crocker and Leon Hall),2.920,3.590
2,8:31,2,1,CIN 31,0,17,Clinton Portis right guard for 5 yards (tackle by Rashad Jeanty),3.590,3.840
2,8:03,1,10,CIN 26,0,17,Clinton Portis left tackle for 7 yards (tackle by Jonathan Fanene),3.840,4.270
2,7:29,2,3,CIN 19,0,17,Clinton Portis left tackle for 2 yards (tackle by Chris Crocker),4.270,3.950
2,6:52,3,1,CIN 17,0,17,Ladell Betts left tackle for 1 yard (tackle by Jonathan Fanene and Pat Sims),3.950,4.510
2,6:11,1,10,CIN 16,0,17,Jason Campbell pass complete short right to Santana Moss for 3 yards (tackle by David Jones),4.510,4.390
2,5:32,2,7,CIN 13,0,17,Clinton Portis up the middle for 3 yards (tackle by Kyries Hebert and John Thornton),4.390,4.170
2,4:49,3,4,CIN 10,6,17,"Jason Campbell pass complete short middle to Santana Moss for 10 yards, touchdown. Penalty on Santana Moss: Unsportsmanlike Conduct, 15 yards",4.170,7.000
2,,,,CIN 2,7,17,Shaun Suisham kicks extra point good,0.000,0.000
2,,,,WAS 15,7,17,Shaun Suisham kicks off 55 yards,0.000,2.590
2,4:44,1,10,WAS 45,7,17,Ryan Fitzpatrick pass incomplete deep middle intended for T.J. Houshmandzadeh (defended by Michael Green),2.590,2.040
2,4:38,2,10,WAS 45,7,17,Cedric Benson right tackle for 2 yards (tackle by H.B. Blades and London Fletcher),2.040,1.620
2,3:58,3,8,WAS 43,7,17,Ryan Fitzpatrick pass incomplete deep middle intended for Chad Ochocinco. Penalty on Reggie Kelly: Offensive Holding (Declined),1.620,0.400
2,3:52,4,8,WAS 43,7,17,Kyle Larson punts 19 yards,0.400,-0.540
2,3:42,1,10,WAS 24,7,17,Jason Campbell pass complete short left to Santana Moss for 7 yards,0.540,0.940
2,3:26,2,3,WAS 31,7,17,Jason Campbell pass complete short middle to Santana Moss for 11 yards (tackle by Kyries Hebert),0.940,1.730
2,2:51,1,10,WAS 42,7,17,Clinton Portis up the middle for 1 yard (tackle by Domata Peko),1.730,1.320
2,2:15,2,9,WAS 43,7,17,Jason Campbell pass complete short right to Mike Sellers for 14 yards (tackle by Kyries Hebert),1.320,2.720
2,2:00,1,10,CIN 43,7,17,Clinton Portis left tackle for 8 yards (tackle by Pat Sims),2.720,3.260
2,1:32,2,2,CIN 35,7,17,Clinton Portis left guard for 5 yards (tackle by Brandon Johnson and Rashad Jeanty),3.260,3.580
2,0:56,1,10,CIN 30,7,17,Ladell Betts up the middle for 6 yards (tackle by Chris Crocker and Dhani Jones),3.580,3.840
2,0:50,,,,7,17,Timeout #1 by Washington Redskins,0.000,0.000
2,0:50,,,,7,17,Timeout #2 by Cincinnati Bengals,0.000,3.840
2,0:50,2,4,CIN 24,7,17,Jason Campbell pass complete short right to Fred Davis for 15 yards (tackle by Brandon Johnson),3.840,5.140
2,0:43,1,9,CIN 9,7,17,Clinton Portis right end for -1 yards (tackle by Dhani Jones),5.140,4.190
2,0:35,,,,7,17,Timeout #2 by Washington Redskins,0.000,4.190
2,0:35,2,10,CIN 10,7,17,Jason Campbell pass complete short right to Chris Cooley for 5 yards (tackle by Dhani Jones),4.190,4.260
2,0:24,,,,7,17,Timeout #3 by Washington Redskins,0.000,4.260
2,0:24,3,5,CIN 5,7,17,Jason Campbell pass incomplete short right intended for Fred Davis. Penalty on Jason Fabini: Illegal Formation (Declined),4.260,3.010
2,0:19,4,5,CIN 5,10,17,Shaun Suisham 23 yard field goal good,3.010,3.000
2,,,,WAS 30,10,17,"Shaun Suisham kicks off 55 yards, returned by Andre Caldwell for 18 yards (tackle by Mike Sellers)",0.000,1.140
2,0:09,1,10,CIN 33,10,17,Ryan Fitzpatrick kneels for -1 yards,1.140,0.460
Quarter,Time,Down,ToGo,Location,WAS,CIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,WAS 30,10,17,"Shaun Suisham kicks off 74 yards, touchback",0.000,0.280
3,15:00,1,10,CIN 20,10,17,Ryan Fitzpatrick pass incomplete short left intended for Cedric Benson,0.280,-0.270
3,14:55,2,10,CIN 20,10,17,Cedric Benson right guard for 1 yard (tackle by Demetric Evans and Alfred Fincher),-0.270,-0.820
3,14:16,3,9,CIN 21,10,17,Ryan Fitzpatrick pass complete short middle to Chris Henry for 13 yards (tackle by Carlos Rogers),-0.820,1.200
3,13:39,1,10,CIN 34,10,17,Cedric Benson right end for no gain (tackle by London Fletcher),1.200,0.660
3,13:04,2,10,CIN 34,10,17,Cedric Benson left tackle for 7 yards (tackle by Anthony Montgomery),0.660,0.890
3,12:27,3,3,CIN 41,10,17,Ryan Fitzpatrick pass incomplete short middle intended for Chad Ochocinco,0.890,-0.650
3,12:23,4,3,CIN 41,10,17,"Kyle Larson punts 37 yards (tackle by Corey Mays). Penalty on Khary Campbell: Offensive Holding, 10 yards",-0.650,0.350
3,12:13,1,10,WAS 12,10,17,Jason Campbell pass complete short right to Santana Moss for 15 yards,-0.350,0.740
3,11:55,1,10,WAS 27,10,17,Clinton Portis right tackle for 1 yard (tackle by Jonathan Fanene and Darryl Blackstock),0.740,0.330
3,11:24,2,9,WAS 28,10,17,Clinton Portis up the middle for 4 yards (tackle by Pat Sims and Rashad Jeanty),0.330,0.170
3,10:44,3,5,WAS 32,10,17,Jason Campbell for 17 yards (tackle by Leon Hall),0.170,2.190
3,10:16,1,10,WAS 49,10,17,Clinton Portis right end for 3 yards (tackle by Chris Crocker and Brandon Johnson),2.190,2.050
3,9:34,2,7,CIN 48,10,17,Jason Campbell pass complete deep middle to Santana Moss for 20 yards (tackle by Leon Hall),2.050,3.710
3,8:48,1,10,CIN 28,10,17,Jason Campbell pass complete short right to Santana Moss for 6 yards (tackle by Antwan Odom),3.710,3.980
3,8:07,2,4,CIN 22,10,17,"Jason Campbell pass incomplete short left intended for Devin Thomas. Penalty on Pat Sims: Defensive Offside, 5 yards (no play)",3.980,4.440
3,8:01,1,10,CIN 17,10,17,Clinton Portis right end for 10 yards (tackle by Chris Crocker),4.440,5.600
3,7:33,1,7,CIN 7,10,17,Clinton Portis right guard for 4 yards (tackle by Rashad Jeanty),5.600,5.530
3,6:54,2,3,CIN 3,10,17,"Clinton Portis right end for -1 yards (tackle by Brandon Johnson). Penalty on Jason Shirley: Defensive Holding, 2 yards (no play)",5.530,6.970
3,6:33,1,1,CIN 1,10,17,Jason Campbell pass incomplete short right intended for Fred Davis,6.970,5.910
3,6:27,2,1,CIN 1,10,17,Mike Sellers right guard for no gain (tackle by Corey Mays),5.910,5.170
,,,,,,,"CIN challenged the runner broke the plane ruling, and the original play was overturned.",,
3,6:01,3,1,CIN 1,10,17,"Mike Sellers up the middle for no gain (tackle by Corey Mays and Brandon Johnson). Mike Sellers fumbles (forced by Corey Mays), recovered by Corey Mays at CIN-0",5.170,-0.280
,,,,,,,"WAS challenged the fumble ruling, and the play was upheld.",,
3,5:52,1,10,CIN 20,10,17,Ryan Fitzpatrick pass complete short left to Cedric Benson for 7 yards (tackle by Kareem Moore),0.280,0.680
3,5:20,2,3,CIN 27,10,17,Cedric Benson right tackle for 1 yard (tackle by H.B. Blades),0.680,0.100
3,4:37,3,2,CIN 28,10,17,Ryan Fitzpatrick pass complete short right to Chad Ochocinco for 9 yards (tackle by Michael Green),0.100,1.400
3,4:10,1,10,CIN 37,10,17,Ryan Fitzpatrick pass complete deep middle to Chris Henry for 22 yards (tackle by Shawn Springs),1.400,2.850
3,3:47,1,10,WAS 41,10,17,Ryan Fitzpatrick pass incomplete short right intended for Chad Ochocinco,2.850,2.310
3,3:41,2,10,WAS 41,10,17,Ryan Fitzpatrick pass incomplete short left intended for Cedric Benson,2.310,1.620
3,3:35,3,10,WAS 41,10,17,Ryan Fitzpatrick sacked by Lorenzo Alexander for -4 yards,1.620,0.270
3,3:09,4,14,WAS 45,10,17,"Kyle Larson punts 36 yards, fair catch by Antwaan Randle El",0.270,0.380
3,3:01,1,10,WAS 9,10,17,Jason Campbell pass complete short right to Chris Cooley for 9 yards (tackle by Brandon Johnson),-0.380,0.140
3,2:25,2,1,WAS 18,10,17,Jason Campbell pass complete short right to Antwaan Randle El for 9 yards (tackle by David Jones),0.140,0.740
3,2:02,1,10,WAS 27,10,17,Jason Campbell up the middle for 4 yards (tackle by Chris Crocker),0.740,0.740
3,1:25,2,6,WAS 31,10,17,Clinton Portis right guard for 2 yards (tackle by Chris Crocker),0.740,0.300
3,0:42,3,4,WAS 33,10,17,"Penalty on Jason Fabini: False Start, 5 yards (no play)",0.300,-0.360
3,0:25,3,9,WAS 28,10,17,Jason Campbell pass incomplete deep middle intended for Chris Cooley. Penalty on Casey Rabach: Offensive Holding (Declined),-0.360,-1.500
3,0:18,4,9,WAS 28,10,17,"Ryan Plackemeier punts 52 yards, out of bounds. Penalty on Michael Green: Offensive Holding, 10 yards (no play)",-1.500,-2.240
3,0:10,4,19,WAS 18,10,17,"Ryan Plackemeier punts 62 yards, returned by T.J. Houshmandzadeh for 8 yards (tackle by Khary Campbell)",-2.240,-0.810
Quarter,Time,Down,ToGo,Location,WAS,CIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,CIN 28,10,17,Cedric Benson left tackle for no gain (tackle by H.B. Blades and Andre Carter),0.810,0.260
4,14:19,2,10,CIN 28,10,17,Ryan Fitzpatrick pass complete short left to Chris Henry for 7 yards (tackle by H.B. Blades),0.260,0.500
4,13:52,3,3,CIN 35,10,17,Ryan Fitzpatrick sacked by Jason Taylor and London Fletcher for -1 yards,0.500,-1.110
4,13:22,4,4,CIN 34,10,17,"Kyle Larson punts 50 yards, returned by Antwaan Randle El for 26 yards (tackle by Kyle Larson). Penalty on Chris Wilson: Offensive Holding, 10 yards",-1.110,0.370
4,13:08,1,10,WAS 11,10,17,Jason Campbell pass complete short right to Chris Cooley for 5 yards (tackle by Dhani Jones),-0.370,-0.300
4,12:35,2,5,WAS 16,10,17,Clinton Portis right guard for 3 yards (tackle by Brandon Johnson),-0.300,-0.480
4,11:59,3,2,WAS 19,10,17,Clinton Portis left guard for 2 yards (tackle by Dhani Jones and Kyries Hebert),-0.480,0.340
,,,,,,,"CIN challenged the fumble ruling, and the original play was overturned.",,
4,10:55,1,10,WAS 21,10,17,Clinton Portis left end for -2 yards (tackle by Darryl Blackstock and Brandon Johnson),0.340,-0.530
4,10:26,2,12,WAS 19,10,17,Jason Campbell pass complete short right to Chris Cooley for 9 yards (tackle by David Jones),-0.530,0.040
4,9:46,3,3,WAS 28,10,17,Jason Campbell pass incomplete short middle intended for Santana Moss,0.040,-1.500
4,9:41,4,3,WAS 28,10,17,"Ryan Plackemeier punts 40 yards, fair catch by T.J. Houshmandzadeh",-1.500,-1.070
4,9:33,1,10,CIN 32,10,17,Cedric Benson left tackle for 4 yards (tackle by Kedric Golston and Demetric Evans),1.070,1.070
4,8:52,2,6,CIN 36,10,17,Cedric Benson right end for 4 yards (tackle by Michael Green),1.070,0.890
4,8:23,3,2,CIN 40,10,17,Ryan Fitzpatrick pass complete short left to T.J. Houshmandzadeh for 9 yards (tackle by Fred Smoot),0.890,2.190
4,8:01,1,10,CIN 49,10,17,Ryan Fitzpatrick pass incomplete,2.190,1.650
4,7:53,2,10,CIN 49,10,17,"Ryan Fitzpatrick pass complete short right to Chad Ochocinco for 11 yards. Penalty on Chad Ochocinco: Taunting, 15 yards",1.650,1.930
4,7:32,1,10,CIN 45,10,17,Ryan Fitzpatrick up the middle for 6 yards (tackle by Andre Carter),1.930,2.190
4,6:48,2,4,WAS 49,10,17,Cedric Benson right end for 1 yard (tackle by H.B. Blades and Andre Carter),2.190,1.620
4,6:30,3,3,WAS 48,10,17,Ryan Fitzpatrick pass complete short right to Cedric Benson for 2 yards (tackle by Jason Taylor),1.620,0.200
4,6:07,4,1,WAS 46,10,17,Ryan Fitzpatrick up the middle for 2 yards (tackle by Jason Taylor),0.200,2.650
4,5:25,1,10,WAS 44,10,17,Cedric Benson right tackle for -3 yards (tackle by Michael Green),2.650,1.710
4,4:47,2,13,WAS 47,10,17,Ryan Fitzpatrick right end for 5 yards (tackle by Alfred Fincher),1.710,1.690
4,4:02,3,8,WAS 42,10,17,Ryan Fitzpatrick pass complete short left to T.J. Houshmandzadeh for 8 yards (tackle by Fred Smoot),1.690,3.310
4,3:24,1,10,WAS 34,10,17,Cedric Benson left tackle for 1 yard (tackle by London Fletcher),3.310,2.910
4,3:17,,,,10,17,Timeout #2 by Washington Redskins,0.000,2.910
4,3:17,2,9,WAS 33,10,17,Cedric Benson left tackle for 2 yards (tackle by Michael Green and Lorenzo Alexander),2.910,2.480
4,2:33,3,7,WAS 31,10,17,Ryan Fitzpatrick pass complete short right to Andre Caldwell for 4 yards (tackle by H.B. Blades),2.480,1.770
4,2:25,,,,10,17,Timeout #3 by Washington Redskins,0.000,1.770
4,2:25,4,3,WAS 27,10,20,Shayne Graham 45 yard field goal good,1.770,3.000
4,,,,CIN 30,10,20,"Shayne Graham kicks off 70 yards, returned by Rock Cartwright for 87 yards (tackle by Leon Hall)",0.000,4.710
4,2:07,1,10,CIN 13,10,20,Clinton Portis right end for no gain (tackle by Brandon Johnson),4.710,4.050
4,2:00,2,10,CIN 13,10,20,Jason Campbell pass incomplete short left intended for Chris Cooley,4.050,3.120
4,1:51,3,10,CIN 13,10,20,Jason Campbell pass incomplete short right intended for Clinton Portis,3.120,2.570
4,1:47,4,10,CIN 13,10,20,"Penalty on Shaun Suisham: Delay of Game, 5 yards (no play)",2.570,2.250
4,1:47,4,15,CIN 18,13,20,Shaun Suisham 36 yard field goal good,2.250,3.000
4,,,,WAS 30,13,20,Shaun Suisham kicks onside 20 yards,0.000,2.260
4,1:43,1,10,,13,20,Ryan Fitzpatrick kneels for -1 yards,2.260,1.580
4,1:00,2,11,CIN 49,13,20,Ryan Fitzpatrick kneels for -1 yards,1.580,0.760
4,0:34,3,12,CIN 48,13,20,Ryan Fitzpatrick kneels for -1 yards,0.760,-0.260
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
