Quarter,Time,Down,ToGo,Location,MIN,JAX,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jaguars won the coin toss and deferred, Vikings to receive the opening kickoff.",,
1,15:00,,,JAX 35,0,0,"Jason Myers kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,MIN 25,0,0,Sam Bradford pass complete deep right to Kyle Rudolph for 44 yards (tackle by Jonathan Cyprien),0.610,3.510
1,14:29,1,10,JAX 31,0,0,Jerick McKinnon right end for 1 yard (tackle by Jonathan Cyprien),3.510,3.100
1,13:51,2,9,JAX 30,0,0,Jerick McKinnon middle for no gain (tackle by Sen'Derrick Marks),3.100,2.410
1,13:13,3,9,JAX 30,0,0,Sam Bradford pass complete short right to Cordarrelle Patterson for 5 yards (tackle by Dante Fowler),2.410,1.880
1,12:30,4,4,JAX 25,3,0,Kai Forbath 43 yard field goal good,1.880,3.000
1,12:20,,,MIN 35,3,0,"Kai Forbath kicks off 64 yards, returned by Marqise Lee for 20 yards (tackle by Laquon Treadwell)",0.000,-0.340
1,12:18,1,10,JAX 21,3,0,T.J. Yeldon right end for 5 yards (tackle by Shamar Stephen),0.340,0.480
1,11:39,2,5,JAX 26,3,0,"Penalty on Kelvin Beachum: False Start, 5 yards (no play)",0.480,-0.200
1,11:21,2,10,JAX 21,3,0,Blake Bortles pass incomplete short middle intended for Neal Sterling,-0.200,-0.890
1,11:16,3,10,JAX 21,3,0,Blake Bortles sacked by Brian Robison for -7 yards,-0.890,-2.470
1,10:40,4,17,JAX 14,3,0,"Brad Nortman punts 54 yards, returned by Adam Thielen for 9 yards (tackle by Corey Grant)",-2.470,-1.660
1,10:28,1,10,MIN 41,3,0,Sam Bradford pass complete deep left to Adam Thielen for 41 yards (tackle by Prince Amukamara),1.660,4.370
1,10:09,1,10,JAX 18,3,0,Matt Asiata middle for 1 yard (tackle by Malik Jackson),4.370,3.940
1,9:35,2,9,JAX 17,3,0,Sam Bradford pass incomplete deep right intended for Rhett Ellison,3.940,3.170
1,9:30,3,9,JAX 17,3,0,Sam Bradford pass complete short middle to Matt Asiata for 8 yards (tackle by Paul Posluszny),3.170,2.980
1,8:36,4,1,JAX 9,3,0,"Penalty on Sam Bradford: Delay of Game, 5 yards (no play)",2.980,2.530
1,7:57,4,6,JAX 14,6,0,Kai Forbath 32 yard field goal good,2.530,3.000
1,7:53,,,MIN 35,6,0,"Kai Forbath kicks off 65 yards, touchback",0.000,-0.610
1,7:53,1,10,JAX 25,6,0,Blake Bortles pass complete short right to Bryan Walters for 4 yards (tackle by Captain Munnerlyn),0.610,0.600
1,7:18,2,6,JAX 29,6,0,T.J. Yeldon left guard for 5 yards (tackle by Anthony Harris),0.600,0.560
1,6:42,3,1,JAX 34,6,0,T.J. Yeldon right end for no gain (tackle by Chad Greenway),0.560,-1.110
1,6:02,4,1,JAX 34,6,0,Corey Grant right end for 9 yards (tackle by Zach Line),-1.110,1.800
1,5:18,1,10,JAX 43,6,0,Blake Bortles sacked by Everson Griffen for -6 yards,1.800,0.440
1,4:41,2,16,JAX 37,6,0,T.J. Yeldon right end for 1 yard (tackle by Linval Joseph),0.440,-0.100
1,4:01,3,15,JAX 38,6,0,Blake Bortles pass complete short middle to Marqise Lee for 9 yards (tackle by Eric Kendricks and Anthony Barr),-0.100,-0.260
1,3:22,4,6,JAX 47,6,0,"Brad Nortman punts 41 yards, out of bounds. Penalty on Carson Tinker: Offensive Holding, 10 yards",-0.260,-0.410
1,3:12,1,10,MIN 22,6,0,Jerick McKinnon right end for -1 yards (tackle by Telvin Smith),0.410,-0.270
1,2:28,2,11,MIN 21,6,0,Sam Bradford pass complete short right to Jerick McKinnon for no gain,-0.270,-0.960
1,1:42,3,11,MIN 21,6,0,Sam Bradford pass complete short left to Cordarrelle Patterson for 2 yards (tackle by Paul Posluszny). Penalty on Jeremiah Sirles: Offensive Holding (Declined),-0.960,-1.830
1,1:17,4,9,MIN 23,6,0,"Jeff Locke punts 42 yards, returned by Bryan Walters for 4 yards (tackle by Cordarrelle Patterson)",-1.830,-1.530
1,1:07,1,10,JAX 39,6,0,Blake Bortles pass incomplete deep right intended for Allen Robinson (defended by Trae Waynes),1.530,0.990
1,1:00,2,10,JAX 39,6,0,T.J. Yeldon left end for 1 yard (tackle by Anthony Harris),0.990,0.430
1,0:21,3,9,JAX 40,6,0,Blake Bortles pass complete short right to Ben Koyack for 15 yards (tackle by Andrew Sendejo and Captain Munnerlyn),0.430,2.590
Quarter,Time,Down,ToGo,Location,MIN,JAX,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,MIN 45,6,0,T.J. Yeldon right end for 12 yards (tackle by Anthony Harris),2.590,3.380
2,14:29,1,10,MIN 33,6,0,T.J. Yeldon right end for 1 yard (tackle by Danielle Hunter),3.380,2.970
2,13:53,2,9,MIN 32,6,0,T.J. Yeldon middle for 5 yards (tackle by Anthony Barr),2.970,2.940
2,13:16,3,4,MIN 27,6,0,Blake Bortles pass incomplete short right intended for Allen Robinson (defended by Xavier Rhodes),2.940,1.750
2,13:12,4,4,MIN 27,6,3,Jason Myers 45 yard field goal good,1.750,3.000
2,13:07,,,JAX 35,6,3,"Jason Myers kicks off 66 yards, returned by Cordarrelle Patterson for 53 yards (tackle by Jarrod Wilson)",0.000,-2.390
2,13:00,1,10,JAX 48,6,3,Sam Bradford right end for 4 yards (tackle by Jonathan Cyprien),2.390,2.390
2,12:12,2,6,JAX 44,6,3,"Sam Bradford pass complete short left to Stefon Diggs for 5 yards (tackle by Jalen Ramsey). Penalty on Jalen Ramsey: Unnecessary Roughness, 15 yards",2.390,3.970
2,11:43,1,10,JAX 24,6,3,Jerick McKinnon middle for 2 yards (tackle by Tyson Alualu),3.970,3.700
2,11:04,2,8,JAX 22,6,3,Sam Bradford pass incomplete short middle intended for Stefon Diggs,3.700,3.010
2,11:00,3,8,JAX 22,6,3,Sam Bradford pass incomplete short left intended for Kyle Rudolph,3.010,1.990
2,10:53,4,8,JAX 22,9,3,Kai Forbath 40 yard field goal good,1.990,3.000
2,10:49,,,MIN 35,9,3,"Kai Forbath kicks off 58 yards, returned by Marqise Lee for 25 yards (tackle by Kentrell Brothers)",0.000,-1.070
2,10:43,1,10,JAX 32,9,3,Blake Bortles pass complete deep left to Marqise Lee for 22 yards (tackle by Terence Newman),1.070,2.520
2,10:16,1,10,MIN 46,9,3,T.J. Yeldon right end for 2 yards (tackle by Danielle Hunter),2.520,2.250
2,9:37,2,8,MIN 44,9,3,Blake Bortles pass complete short right to T.J. Yeldon for 9 yards (tackle by Terence Newman),2.250,3.250
2,9:07,1,10,MIN 35,9,3,Corey Grant right end for -3 yards (tackle by Eric Kendricks),3.250,2.300
2,8:30,2,13,MIN 38,9,3,"Penalty on Blake Bortles: False Start, 5 yards (no play)",2.300,1.620
2,8:15,2,18,MIN 43,9,3,Blake Bortles middle for 5 yards (tackle by Everson Griffen),1.620,1.620
2,7:28,3,13,MIN 38,9,3,"Penalty on Jermey Parnell: False Start, 5 yards (no play)",1.620,0.960
2,7:11,3,18,MIN 43,9,3,Blake Bortles pass complete short left to T.J. Yeldon for 6 yards (tackle by Terence Newman),0.960,0.790
2,6:22,4,12,MIN 37,9,6,Jason Myers 55 yard field goal good,0.790,3.000
2,6:18,,,JAX 35,9,6,"Jason Myers kicks off 65 yards, touchback",0.000,-0.610
2,6:18,1,10,MIN 25,9,6,"Sam Bradford pass complete short right to Jerick McKinnon for 15 yards (tackle by Jonathan Cyprien). Sam Bradford fumbles (forced by Yannick Ngakoue), recovered by Sam Bradford at MIN-19",0.610,1.600
2,5:27,1,10,MIN 40,9,6,Jerick McKinnon right end for 1 yard (tackle by Paul Posluszny),1.600,1.190
2,4:49,2,9,MIN 41,9,6,Sam Bradford pass complete deep middle to Stefon Diggs for 45 yards (tackle by Tashaun Gipson),1.190,4.650
2,4:23,1,10,JAX 14,9,6,Jerick McKinnon middle for 6 yards (tackle by Tashaun Gipson),4.650,5.090
2,3:43,2,4,JAX 8,9,6,Matt Asiata middle for 5 yards (tackle by Jonathan Cyprien),5.090,6.510
2,3:01,1,3,JAX 3,9,6,Sam Bradford pass incomplete short middle intended for Kyle Rudolph (defended by Jonathan Cyprien),6.510,5.530
2,2:57,2,3,JAX 3,9,6,Sam Bradford pass complete short right to Kyle Rudolph for 2 yards (tackle by Hayes Pullard),5.530,5.170
2,2:25,3,1,JAX 1,9,6,Matt Asiata right end for no gain (tackle by Paul Posluszny),5.170,3.550
,,,,,,,"MIN challenged the runner was down by contact ruling, and the play was upheld.",,
2,2:00,4,1,JAX 1,9,6,Matt Asiata left end for no gain (tackle by Sen'Derrick Marks),3.550,0.380
2,1:56,1,10,JAX 1,9,6,T.J. Yeldon middle for 2 yards (tackle by Eric Kendricks),-0.380,0.000
2,1:50,,,,9,6,Timeout #2 by Minnesota Vikings,0.000,0.630
2,1:50,2,8,JAX 3,9,6,T.J. Yeldon middle for 5 yards (tackle by Trae Waynes and Eric Kendricks),-0.630,0.000
2,1:46,,,,9,6,Timeout #3 by Minnesota Vikings,0.000,0.600
2,1:46,3,3,JAX 8,9,6,"Penalty on Tyler Shatley: False Start, 4 yards (no play)",-0.600,-1.070
2,1:46,3,7,JAX 4,9,6,"Blake Bortles pass incomplete deep right intended for Allen Robinson. Penalty on Xavier Rhodes: Defensive Pass Interference, 31 yards (no play)",-1.070,1.270
2,1:40,1,10,JAX 35,9,6,Blake Bortles pass incomplete short middle intended for Neal Sterling,1.270,0.720
2,1:36,2,10,JAX 35,9,6,Blake Bortles pass incomplete deep left intended for Marqise Lee,0.720,0.040
2,1:31,3,10,JAX 35,9,6,Blake Bortles pass complete short right to T.J. Yeldon for 10 yards (tackle by Eric Kendricks),0.040,1.930
2,1:03,1,10,JAX 45,9,6,Blake Bortles pass complete short middle to Marqise Lee for 39 yards (tackle by Anthony Harris),1.930,4.510
2,0:52,1,10,MIN 16,9,6,Blake Bortles pass complete short right to T.J. Yeldon for -4 yards (tackle by Tom Johnson),4.510,3.420
2,0:26,2,14,MIN 20,9,6,Blake Bortles pass complete short middle to Neal Sterling for 13 yards (tackle by Andrew Sendejo),3.420,0.000
2,0:19,,,,9,6,Timeout #1 by Jacksonville Jaguars,0.000,-4.850
2,0:19,3,1,MIN 7,9,6,Blake Bortles pass complete short right to T.J. Yeldon for no gain,4.850,3.010
2,0:13,4,1,MIN 7,9,9,Jason Myers 24 yard field goal good,3.010,3.000
2,0:09,,,JAX 35,9,9,"Jason Myers kicks off 65 yards, touchback",0.000,-0.610
2,0:09,1,10,MIN 25,9,9,Sam Bradford kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,MIN,JAX,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIN 35,9,9,"Kai Forbath kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,JAX 25,9,9,T.J. Yeldon right end for 2 yards (tackle by Anthony Barr),0.610,0.330
3,14:24,2,8,JAX 27,9,9,T.J. Yeldon left end for 4 yards (tackle by Danielle Hunter),0.330,0.170
3,13:47,3,4,JAX 31,9,9,Blake Bortles pass complete short middle to Bryan Walters for 5 yards (tackle by Captain Munnerlyn),0.170,1.330
3,13:09,1,10,JAX 36,9,9,Corey Grant middle for 3 yards (tackle by Terence Newman),1.330,1.200
3,12:32,2,7,JAX 39,9,9,Blake Bortles pass complete deep right to Marqise Lee for 34 yards (tackle by Xavier Rhodes),1.200,3.780
3,12:19,1,10,MIN 27,9,9,Corey Grant middle for 4 yards (tackle by Shamar Stephen),3.780,3.770
3,11:36,2,6,MIN 23,9,9,Blake Bortles pass incomplete short middle intended for Alex Ellis,3.770,3.070
3,11:32,3,6,MIN 23,9,9,Blake Bortles pass incomplete deep left intended for Marqise Lee. Penalty on Marqise Lee: Illegal Formation (Declined),3.070,1.950
3,11:27,4,6,MIN 23,9,9,Jason Myers 41 yard field goal no good,1.950,-1.000
3,11:22,1,10,MIN 31,9,9,Sam Bradford pass incomplete short right intended for Stefon Diggs,1.000,0.460
3,11:17,2,10,MIN 31,9,9,Sam Bradford pass complete short middle to Adam Thielen for 26 yards (tackle by Jonathan Cyprien),0.460,2.720
3,10:54,1,10,JAX 43,9,9,Jerick McKinnon middle for no gain (tackle by Tyson Alualu),2.720,2.180
3,10:14,2,10,JAX 43,9,9,Sam Bradford pass incomplete short right intended for Kyle Rudolph,2.180,1.490
3,10:08,3,10,JAX 43,9,9,Sam Bradford pass complete short middle to Adam Thielen for 11 yards (tackle by Tashaun Gipson),1.490,3.450
3,9:27,1,10,JAX 32,9,9,Matt Asiata middle for 4 yards (tackle by Jonathan Cyprien),3.450,3.440
3,8:46,2,6,JAX 28,9,9,Sam Bradford pass incomplete short right intended for Kyle Rudolph,3.440,2.740
3,8:41,3,6,JAX 28,9,9,Sam Bradford pass incomplete short left intended for Cordarrelle Patterson (defended by Jalen Ramsey),2.740,1.610
3,8:34,4,6,JAX 28,12,9,Kai Forbath 46 yard field goal good,1.610,3.000
3,8:29,,,MIN 35,12,9,"Kai Forbath kicks off 66 yards, returned by Marqise Lee for 21 yards (tackle by Audie Cole). Penalty on Hayes Pullard: Illegal Block Above the Waist, 10 yards",0.000,0.380
3,8:24,1,10,JAX 10,12,9,Blake Bortles pass complete short middle to Ben Koyack for 4 yards (tackle by Eric Kendricks),-0.380,-0.460
