Unnamed: 0,MIN,JAX
First Downs,22,18
Rush-Yds-TDs,29-85-1,24-85-0
Cmp-Att-Yd-TD-INT,24-34-292-1-0,23-37-257-1-0
Sacked-Yards,0-0,4-27
Net Pass Yards,292,230
Total Yards,377,315
Fumbles-Lost,2-1,0-0
Turnovers,1,0
Penalties-Yards,7-93,14-114
Third Down Conv.,3-11,7-16
Fourth Down Conv.,0-1,1-1
Time of Possession,30:56,29:04
