#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,MIN 25,5,2:40,50,Field Goal
2,1,10:28,MIN 41,5,2:35,45,Field Goal
3,1,3:12,MIN 22,3,2:05,1,Punt
4,2,13:07,JAX 48,6,2:18,26,Field Goal
5,2,6:18,MIN 25,8,4:22,74,Downs
6,2,0:09,MIN 25,1,0:09,-1,End of Half
7,3,11:22,MIN 31,9,2:53,41,Field Goal
8,3,3:50,MIN 38,9,4:37,62,Touchdown
9,4,12:40,MIN 41,10,6:21,58,Fumble
10,4,5:04,MIN 46,9,2:51,54,Touchdown
11,4,0:05,MIN 49,1,0:05,-1,End of Game
