Quarter,Time,Tm,Detail,MIN,JAX
1.0,12:20,Vikings,Kai Forbath 43 yard field goal,3,0
,7:53,Vikings,Kai Forbath 32 yard field goal,6,0
2.0,13:07,Jaguars,Jason Myers 45 yard field goal,6,3
,10:49,Vikings,Kai Forbath 40 yard field goal,9,3
,6:18,Jaguars,Jason Myers 55 yard field goal,9,6
,0:09,Jaguars,Jason Myers 24 yard field goal,9,9
3.0,8:29,Vikings,Kai Forbath 46 yard field goal,12,9
,3:50,Jaguars,Bryan Walters 14 yard pass from Blake Bortles (Jason Myers kick),12,16
4.0,14:13,Vikings,Matt Asiata 1 yard rush (Kai Forbath kick failed),18,16
,2:13,Vikings,Kyle Rudolph 3 yard pass from Sam Bradford (Kai Forbath kick),25,16
